index,run,trial,onset,duration,cond,repType,repCount,word,pic,resp,respRT,ISIresp,ISIrespRT
1,1,1,10.0019,2.0003,WI,4,1,CAMERA,dining_room,R,1.3633,NR,3.0000
2,1,2,22.0625,-10.0607,WI,4,1,CEREAL,florist_shop,R,1.4402,NR,3.0000
3,1,3,34.1211,-22.1194,WO,2,1,CHICKEN,phone_booth,NR,999.0000,UR,3.1857
4,1,4,46.1792,-34.1784,WO,2,1,LAMP,power_plant,UR,1.3161,NR,3.0000
5,1,5,58.2368,-46.2351,WI,4,1,CAGE,bakery,UR,1.6736,NR,3.0000
6,1,6,70.2950,-58.2931,WO,2,1,ROPE,marsh,R,1.8621,NR,3.0000
7,1,7,82.3533,-70.3519,WO,4,1,PIE,manufactured_home,R,1.2448,NR,3.0000
8,1,8,94.4117,-82.4105,WI,4,1,PIANO,elevator,R,0.8990,NR,3.0000
9,1,9,106.4693,-94.4680,WO,4,1,TROPHY,construction_site,R,1.9523,NR,3.0000
10,1,10,118.5277,-106.5255,WI,2,1,CORAL,limousine_interior,R,1.8770,NR,3.0000
11,1,11,130.5862,-118.5852,WO,2,1,BALLOON,balcony,R,1.4031,NR,3.0000
12,1,12,142.6438,-130.6420,WI,4,1,SHOVEL,badminton_court,R,2.0721,NR,3.0000
13,1,13,154.7027,-142.6995,WO,4,1,TYPEWRITER,fountain,R,2.3416,NR,6.1446
14,1,14,166.7625,-154.7608,WI,2,1,FAN,banquet_hall,R,1.4751,NR,3.0000
15,1,15,178.8210,-166.8191,WO,4,1,EMPEROR,moat,R,1.4088,NR,3.0000
16,1,16,190.8794,-178.8771,WO,4,2,PIE,manufactured_home,R,1.6551,NR,3.0000
17,1,17,202.9381,-190.9369,WI,4,1,PENNY,dentists_office,R,2.2207,NR,3.0000
18,1,18,214.9965,-202.9939,WI,2,1,VINE,bar,R,1.9296,NR,3.0000
19,1,19,227.0555,-215.0543,WI,4,2,CAMERA,dining_room,R,1.5759,NR,3.0000
20,1,20,239.1135,-227.1117,WO,4,2,TYPEWRITER,fountain,R,1.7714,NR,3.0000
21,1,21,251.1718,-239.1696,WI,2,1,MANURE,music_studio,R,1.7059,NR,3.0000
22,1,22,263.2304,-251.2285,WO,4,2,EMPEROR,moat,R,1.2721,NR,3.0000
23,1,23,275.2895,-263.2880,WO,4,2,TROPHY,construction_site,R,1.8522,NR,3.0000
24,1,24,287.3473,-275.3456,WO,4,1,WOLF,highway,R,1.2095,NR,3.0000
25,1,25,299.4060,-287.4047,WI,4,1,MOON,theater,R,1.9120,NR,3.0000
26,1,26,311.4639,-299.4622,WI,2,1,OPIUM,bookstore,R,2.8701,NR,3.0000
27,1,27,323.5221,-311.5208,WO,2,1,CROWN,formal_garden,R,1.2021,NR,3.0000
28,1,28,335.5806,-323.5789,WO,4,1,SHEEP,forest_path,R,1.4316,NR,3.0000
29,1,29,347.6390,-335.6369,WO,4,2,SHEEP,forest_path,R,1.3494,NR,3.0000
30,1,30,359.6982,-347.6972,WI,4,2,PIANO,elevator,R,0.7467,NR,3.0000
31,1,31,371.7559,-359.7539,WI,4,2,CEREAL,florist_shop,R,1.0644,NR,3.0000
32,1,32,383.8145,-371.8134,WO,2,1,SNOW,islet,UR,2.5816,NR,3.0000
33,1,33,395.8725,-383.8706,WI,4,2,PENNY,dentists_office,R,1.6037,NR,3.0000
34,1,34,407.9313,-395.9297,WI,2,1,NIGHTGOWN,office,R,2.5938,NR,3.0000
35,1,35,419.9902,-407.9883,WI,4,2,SHOVEL,badminton_court,R,1.3435,NR,3.0000
36,1,36,432.0487,-420.0470,WO,4,2,WOLF,highway,R,1.0768,NR,3.0000
37,1,37,444.1071,-432.1052,WI,2,1,TIGER,stable,R,1.9382,NR,3.0000
38,1,38,456.1661,-444.1639,WO,4,1,WRENCH,ice_shelf,R,2.2958,NR,3.0000
39,1,39,468.2251,-456.2229,WI,4,2,CAGE,bakery,NR,999.0000,NR,3.0000
40,1,40,480.2842,-468.2827,WO,2,1,OYSTER,plaza,R,1.5276,NR,3.0000
41,1,41,492.3427,-480.3406,WI,4,2,MOON,theater,R,0.7176,NR,3.0000
