index	block	cond	shockCond	shockTrial	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType
196	5	TI_4	threat	1	TI_4	Indoor	WI_58	W208	wwSEAWEED	Indoor49	courtroom	indoor_courtroom.jpg	indoor	indoor	4
197	5	F	threat	0	F	FOIL	F_59	W30	wwROCKER	FOIL	FOIL	FOIL	FOIL	FOIL	0
198	5	TO_2	threat	0	TO_2	Outdoor	WO_67	W58	wwPASTE	Outdoor71	ice_shelf	outdoor_ice_shelf.jpg	outdoor	natural	2
199	5	TI_4	threat	0	TI_4	Indoor	WI_64	W216	wwJUGGLER	Indoor88	museum	indoor_museum.jpg	indoor	indoor	4
200	5	TI_2	threat	0	TI_2	Indoor	WI_61	W126	wwHARPOON	Indoor105	shopping_mall	indoor_shopping_mall.jpg	indoor	indoor	2
201	5	TO_2	threat	0	TO_2	Outdoor	WO_59	W243	wwARMOR	Outdoor59	hangar	outdoor_hangar.jpg	outdoor	manmade	2
202	5	F	threat	0	F	FOIL	F_57	W73	wwCEREAL	FOIL	FOIL	FOIL	FOIL	FOIL	0
203	5	TO_4	threat	0	TO_4	Outdoor	WO_70	W50	wwROSARY	Outdoor82	lock_chamber	outdoor_lock_chamber.jpg	outdoor	manmade	4
204	5	F	threat	0	F	FOIL	F_64	W31	wwSEAL	FOIL	FOIL	FOIL	FOIL	FOIL	0
205	5	TO_4	threat	0	TO_4	Outdoor	WO_68	W52	wwUMBRELLA	Outdoor110	pond	outdoor_pond.jpg	outdoor	natural	4
206	5	TO_2	threat	0	TO_2	Outdoor	WO_57	W77	wwCAMEL	Outdoor5	athletic_field	outdoor_athletic_field.jpg	outdoor	manmade	2
207	5	TI_2	threat	1	TI_2	Indoor	WI_69	W229	wwLANTERN	Indoor101	restaurant_kitchen	indoor_restaurant_kitchen.jpg	indoor	indoor	2
208	5	TI_4	threat	0	TI_4	Indoor	WI_68	W165	wwMOON	Indoor99	reception	indoor_reception.jpg	indoor	indoor	4
209	5	TI_4	threat	0	TI_4	Indoor	WI_60	W112	wwMUSSEL	Indoor74	kindergarden_classroom	indoor_kindergarden_classroom.jpg	indoor	indoor	4
210	5	TO_4	threat	0	TO_4	Outdoor	WO_58	W82	wwCROWN	Outdoor52	formal_garden	outdoor_formal_garden.jpg	outdoor	natural	4
211	6	TI_2	safe	0	TI_2	Indoor	WI_73	W222	wwRING	Indoor109	stage	indoor_stage.jpg	indoor	indoor	2
212	6	TI_4	safe	0	TI_4	Indoor	WI_76	W121	wwCANNON	Indoor67	hotel_room	indoor_hotel_room.jpg	indoor	indoor	4
213	6	F	safe	0	F	FOIL	F_78	W235	wwBRACELET	FOIL	FOIL	FOIL	FOIL	FOIL	0
214	6	TO_4	safe	0	TO_4	Outdoor	WO_80	W219	wwOATMEAL	Outdoor101	palace	outdoor_palace.jpg	outdoor	manmade	4
215	6	TO_2	safe	0	TO_2	Outdoor	WO_81	W20	wwPOTATO	Outdoor21	bullring	outdoor_bullring.jpg	outdoor	manmade	2
216	6	F	safe	0	F	FOIL	F_72	W173	wwPENCIL	FOIL	FOIL	FOIL	FOIL	FOIL	0
217	6	TO_2	safe	0	TO_2	Outdoor	WO_77	W62	wwSHOVEL	Outdoor4	arch	outdoor_arch.jpg	outdoor	manmade	2
218	6	F	safe	0	F	FOIL	F_79	W119	wwLIME	FOIL	FOIL	FOIL	FOIL	FOIL	0
219	6	F	safe	0	F	FOIL	F_81	W15	wwVIOLIN	FOIL	FOIL	FOIL	FOIL	FOIL	0
220	6	TI_4	safe	0	TI_4	Indoor	WI_82	W79	wwSCOOTER	Indoor10	attic	indoor_attic.jpg	indoor	indoor	4
221	6	TI_2	safe	0	TI_2	Indoor	WI_75	W87	wwNET	Indoor65	home_office	indoor_home_office.jpg	indoor	indoor	2
222	6	TI_4	safe	0	TI_4	Indoor	WI_74	W204	wwSAIL	Indoor76	kitchenette	indoor_kitchenette.jpg	indoor	indoor	4
223	6	TO_2	safe	0	TO_2	Outdoor	WO_79	W249	wwRACQUET	Outdoor111	power_plant	outdoor_power_plant.jpg	outdoor	manmade	2
224	6	F	safe	0	F	FOIL	F_80	W179	wwHOOK	FOIL	FOIL	FOIL	FOIL	FOIL	0
225	6	TO_2	safe	0	TO_2	Outdoor	WO_75	W7	wwRABBIT	Outdoor26	canyon	outdoor_canyon.jpg	outdoor	natural	2
226	6	TO_4	safe	0	TO_4	Outdoor	WO_78	W220	wwWHIP	Outdoor58	greenhouse	outdoor_greenhouse.jpg	outdoor	manmade	4
227	6	TO_4	safe	0	TO_4	Outdoor	WO_84	W85	wwOPIUM	Outdoor25	canal	outdoor_canal.jpg	outdoor	manmade	4
228	6	F	safe	0	F	FOIL	F_74	W115	wwHATCHET	FOIL	FOIL	FOIL	FOIL	FOIL	0
229	6	TI_4	safe	0	TI_4	Indoor	WI_84	W18	wwOMELET	Indoor84	movie_theater	indoor_movie_theater.jpg	indoor	indoor	4
230	6	TI_4	safe	0	TI_4	Indoor	WI_72	W81	wwCHERRY	Indoor120	volleyball_court	indoor_volleyball_court.jpg	indoor	indoor	4
231	6	TO_4	safe	0	TO_4	Outdoor	WO_74	W86	wwSYRUP	Outdoor98	oil_refinery	outdoor_oil_refinery.jpg	outdoor	manmade	4
232	6	F	safe	0	F	FOIL	F_82	W95	wwQUAIL	FOIL	FOIL	FOIL	FOIL	FOIL	0
233	6	TI_2	safe	0	TI_2	Indoor	WI_77	W234	wwLAMB	Indoor113	synagogue	indoor_synagogue.jpg	indoor	indoor	2
234	6	TI_2	safe	0	TI_2	Indoor	WI_83	W207	wwLAMP	Indoor4	aquarium	indoor_aquarium.jpg	indoor	indoor	2
235	6	F	safe	0	F	FOIL	F_73	W199	wwBANDAGE	FOIL	FOIL	FOIL	FOIL	FOIL	0
236	6	F	safe	0	F	FOIL	F_83	W88	wwGOAT	FOIL	FOIL	FOIL	FOIL	FOIL	0
237	6	F	safe	0	F	FOIL	F_75	W91	wwFROG	FOIL	FOIL	FOIL	FOIL	FOIL	0
238	6	TI_2	safe	0	TI_2	Indoor	WI_79	W65	wwWAND	Indoor54	dorm_room	indoor_dorm_room.jpg	indoor	indoor	2
239	6	F	safe	0	F	FOIL	F_77	W130	wwCLOAK	FOIL	FOIL	FOIL	FOIL	FOIL	0
240	6	TO_4	safe	0	TO_4	Outdoor	WO_76	W167	wwSOAP	Outdoor118	rock_arch	outdoor_rock_arch.jpg	outdoor	natural	4
241	6	TI_4	safe	0	TI_4	Indoor	WI_80	W206	wwTRIBE	Indoor98	pulpit	indoor_pulpit.jpg	indoor	indoor	4
242	6	F	safe	0	F	FOIL	F_84	W113	wwFORK	FOIL	FOIL	FOIL	FOIL	FOIL	0
243	6	F	safe	0	F	FOIL	F_76	W1	wwSCROLL	FOIL	FOIL	FOIL	FOIL	FOIL	0
244	6	TO_4	safe	0	TO_4	Outdoor	WO_82	W101	wwRUDDER	Outdoor87	moat	outdoor_moat.jpg	outdoor	manmade	4
245	6	F	safe	0	F	FOIL	F_71	W221	wwCOFFEE	FOIL	FOIL	FOIL	FOIL	FOIL	0
246	6	TI_2	safe	0	TI_2	Indoor	WI_71	W218	wwCRAB	Indoor44	closet	indoor_closet.jpg	indoor	indoor	2
247	6	TI_4	safe	0	TI_4	Indoor	WI_78	W224	wwHAMMER	Indoor30	brewery	indoor_brewery.jpg	indoor	indoor	4
248	6	TO_2	safe	0	TO_2	Outdoor	WO_73	W251	wwBENCH	Outdoor91	mountain_snowy	outdoor_mountain_snowy.jpg	outdoor	natural	2
249	6	TI_2	safe	0	TI_2	Indoor	WI_81	W232	wwMAGICIAN	Indoor8	assembly_line	indoor_assembly_line.jpg	indoor	indoor	2
250	6	TO_4	safe	0	TO_4	Outdoor	WO_72	W152	wwPUMPKIN	Outdoor50	forest_needleleaf	outdoor_forest_needleleaf.jpg	outdoor	natural	4
251	6	TO_2	safe	0	TO_2	Outdoor	WO_71	W17	wwVELVET	Outdoor33	corn_field	outdoor_corn_field.jpg	outdoor	natural	2
252	6	TO_2	safe	0	TO_2	Outdoor	WO_83	W83	wwBRAIN	Outdoor113	putting_green	outdoor_putting_green.jpg	outdoor	natural	2
