index,run,trial,onset,duration,cond,subcond,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
1,1,1,12.0030,1.4992,object,natural,NR,0,999.0000,NR,0,999.0000
2,1,2,13.9381,1.0631,object,natural,NR,0,999.0000,NR,0,999.0000
3,1,3,15.0306,1.4696,object,natural,natural,1,0.3503,NR,0,999.0000
4,1,4,16.5319,1.4690,object,natural,NR,0,999.0000,natural,1,0.0711
5,1,5,18.0327,1.4682,object,manmade,manmade,1,0.4345,NR,0,999.0000
6,1,6,19.5333,1.4673,object,manmade,NR,0,999.0000,manmade,1,0.0482
7,1,7,21.0337,1.4675,object,natural,NR,0,999.0000,natural,1,0.2936
8,1,8,22.5349,1.4662,object,manmade,NR,0,999.0000,manmade,1,0.0135
9,1,9,24.0355,1.4658,object,manmade,NR,0,999.0000,manmade,1,0.1044
10,1,10,25.5366,1.4648,object,manmade,NR,0,999.0000,natural,0,0.1224
11,1,11,27.0464,10.4540,rest,rest,rest,1,999.0000,NR,1,0.0000
12,1,12,37.5514,1.4499,object,manmade,NR,0,999.0000,manmade,1,0.1603
13,1,13,39.0529,1.4473,object,manmade,manmade,1,0.4273,NR,0,999.0000
14,1,14,40.5373,1.4636,object,natural,manmade,0,0.2065,NR,0,999.0000
15,1,15,42.0380,1.4633,object,natural,manmade,0,0.3939,NR,0,999.0000
16,1,16,43.5399,1.4613,object,natural,natural,1,0.4165,NR,0,999.0000
17,1,17,45.0402,1.4611,object,natural,natural,1,0.3600,NR,0,999.0000
18,1,18,46.5409,1.4599,object,manmade,NR,0,999.0000,manmade,1,0.0743
19,1,19,48.0407,1.4594,object,manmade,natural,0,0.4149,NR,0,999.0000
20,1,20,49.5407,1.4606,object,natural,natural,1,0.4360,NR,0,999.0000
21,1,21,51.0434,1.4570,object,manmade,NR,0,999.0000,manmade,1,0.0091
22,1,22,52.5464,10.4539,rest,rest,rest,1,999.0000,NR,1,0.0000
23,1,23,63.0603,1.4405,face,female,NR,0,999.0000,female,1,0.0253
24,1,24,64.5620,1.4397,face,female,female,1,0.4001,NR,0,999.0000
25,1,25,66.0452,1.4561,face,male,male,1,0.3749,NR,0,999.0000
26,1,26,67.5454,1.4557,face,female,female,1,0.3669,NR,0,999.0000
27,1,27,69.0454,1.4552,face,male,male,1,0.4327,NR,0,999.0000
28,1,28,70.5454,1.4560,face,male,NR,0,999.0000,NR,0,999.0000
29,1,29,72.0471,1.4535,face,female,female,1,0.4158,NR,0,999.0000
30,1,30,73.5469,1.4541,face,male,male,1,0.4072,NR,0,999.0000
31,1,31,75.0479,1.4533,face,female,male,0,0.3436,female,1,0.0667
32,1,32,76.5498,1.4508,face,male,male,1,0.4299,NR,0,999.0000
33,1,33,78.0635,10.4370,rest,rest,rest,1,999.0000,NR,1,0.0000
34,1,34,88.5705,1.4297,object,natural,NR,0,999.0000,manmade,0,0.4701
35,1,35,90.0709,1.4306,object,natural,NR,0,999.0000,manmade,0,0.1162
36,1,36,91.5517,1.4492,object,manmade,NR,0,999.0000,manmade,1,0.0312
37,1,37,93.0511,1.4495,object,manmade,manmade,1,0.4039,NR,0,999.0000
38,1,38,94.5519,1.4490,object,natural,natural,1,0.3439,NR,0,999.0000
39,1,39,96.0523,1.4489,object,natural,NR,0,999.0000,NR,0,999.0000
40,1,40,97.5540,1.4463,object,manmade,NR,0,999.0000,manmade,1,0.0112
41,1,41,99.0528,1.4479,object,manmade,NR,0,999.0000,manmade,1,0.1539
42,1,42,100.5548,1.4455,object,manmade,NR,0,999.0000,NR,0,999.0000
43,1,43,102.0545,1.4465,object,natural,natural,1,0.3187,NR,0,999.0000
44,1,44,103.5640,10.4370,rest,rest,rest,1,999.0000,NR,1,0.0000
45,1,45,114.0812,1.4207,place,outdoor,NR,0,999.0000,indoor,0,0.3616
46,1,46,115.5819,1.4184,place,outdoor,NR,0,999.0000,indoor,0,0.1887
47,1,47,117.0577,1.4431,place,indoor,NR,0,999.0000,indoor,1,0.1293
48,1,48,118.5576,1.4433,place,indoor,NR,0,999.0000,indoor,1,0.0404
49,1,49,120.0585,1.4425,place,indoor,NR,0,999.0000,indoor,1,0.0882
50,1,50,121.5591,1.4417,place,outdoor,NR,0,999.0000,outdoor,1,0.0712
51,1,51,123.0598,1.4403,place,indoor,NR,0,999.0000,indoor,1,0.0375
52,1,52,124.5600,1.4404,place,outdoor,outdoor,1,0.3822,NR,0,999.0000
53,1,53,126.0603,1.4406,place,outdoor,indoor,0,0.3647,NR,0,999.0000
54,1,54,127.5619,1.4384,place,indoor,NR,0,999.0000,indoor,1,0.0355
55,1,55,129.0813,10.4195,rest,rest,rest,1,999.0000,NR,1,0.0000
56,1,56,139.5904,1.4100,face,female,NR,0,999.0000,female,1,0.1573
57,1,57,141.0902,1.4107,face,female,female,1,0.3819,NR,0,999.0000
58,1,58,142.5643,1.4361,face,female,female,1,0.4170,NR,0,999.0000
59,1,59,144.0637,1.4366,face,female,female,1,0.3908,NR,0,999.0000
60,1,60,145.5639,1.4370,face,female,male,0,0.4123,female,1,0.3123
61,1,61,147.0658,1.4353,face,male,male,1,0.4037,NR,0,999.0000
62,1,62,148.5671,1.4343,face,male,NR,0,999.0000,NR,0,999.0000
63,1,63,150.0672,1.4337,face,male,male,1,0.2672,NR,0,999.0000
64,1,64,151.5683,1.4325,face,male,male,1,0.3137,NR,0,999.0000
65,1,65,153.0675,1.4332,face,male,male,1,0.2867,NR,0,999.0000
66,1,66,154.5824,10.4184,rest,rest,rest,1,999.0000,NR,1,0.0000
67,1,67,165.0994,1.4027,place,indoor,NR,0,999.0000,indoor,1,0.3549
68,1,68,166.6022,1.3996,place,outdoor,NR,0,999.0000,outdoor,1,0.0934
69,1,69,168.0722,1.4279,place,indoor,NR,0,999.0000,indoor,1,0.1420
70,1,70,169.5697,1.4305,place,indoor,NR,0,999.0000,indoor,1,0.1180
71,1,71,171.0709,1.4293,place,outdoor,NR,0,999.0000,NR,0,999.0000
72,1,72,172.5716,1.4291,place,outdoor,NR,0,999.0000,indoor,0,0.0164
73,1,73,174.0724,1.4284,place,indoor,NR,0,999.0000,indoor,1,0.0370
74,1,74,175.5731,1.4279,place,outdoor,outdoor,1,0.3645,NR,0,999.0000
75,1,75,177.0742,1.4262,place,outdoor,NR,0,999.0000,outdoor,1,0.0218
76,1,76,178.5743,1.4260,place,indoor,NR,0,999.0000,indoor,1,0.0675
77,1,77,180.0826,10.4179,rest,rest,rest,1,999.0000,NR,1,0.0000
78,1,78,190.6086,1.3917,face,female,NR,0,999.0000,female,1,0.2145
79,1,79,192.1092,1.3923,face,male,NR,0,999.0000,male,1,0.0797
80,1,80,193.5778,1.4233,face,female,NR,0,999.0000,male,0,0.0137
81,1,81,195.0774,1.4227,face,male,male,1,0.3222,NR,0,999.0000
82,1,82,196.5774,1.4238,face,female,NR,0,999.0000,female,1,0.0133
83,1,83,198.0794,1.4216,face,female,female,1,0.3881,NR,0,999.0000
84,1,84,199.5792,1.4219,face,male,male,1,0.4002,NR,0,999.0000
85,1,85,201.0803,1.4201,face,male,male,1,0.3481,NR,0,999.0000
86,1,86,202.5795,1.4212,face,female,NR,0,999.0000,female,1,0.0051
87,1,87,204.0812,1.4197,face,male,NR,0,999.0000,male,1,0.0434
88,1,88,205.5999,10.4007,rest,rest,rest,1,999.0000,NR,1,0.0000
89,1,89,216.1183,1.3837,place,outdoor,NR,0,999.0000,outdoor,1,0.2232
90,1,90,217.6203,1.3820,place,indoor,NR,0,999.0000,indoor,1,0.1655
91,1,91,219.1215,1.3798,place,outdoor,NR,0,999.0000,indoor,0,0.1451
92,1,92,220.5841,1.4170,place,outdoor,NR,0,999.0000,indoor,0,0.1748
93,1,93,222.0847,1.4165,place,outdoor,NR,0,999.0000,outdoor,1,0.0300
94,1,94,223.5853,1.4158,place,indoor,NR,0,999.0000,indoor,1,0.1643
95,1,95,225.0866,1.4146,place,indoor,NR,0,999.0000,indoor,1,0.0965
96,1,96,226.5873,1.4136,place,indoor,NR,0,999.0000,indoor,1,0.1268
97,1,97,228.0874,1.4127,place,indoor,NR,0,999.0000,indoor,1,0.0466
98,1,98,229.5873,1.4141,place,outdoor,NR,0,999.0000,outdoor,1,0.0387
99,1,99,231.1003,10.4006,rest,rest,rest,1,999.0000,NR,1,0.0000
100,1,100,241.6280,1.3723,place,outdoor,NR,0,999.0000,outdoor,1,0.5981
101,1,101,243.1280,1.3726,place,indoor,NR,0,999.0000,indoor,1,0.0719
102,1,102,244.6293,1.3721,place,outdoor,NR,0,999.0000,indoor,0,0.0182
103,1,103,246.0914,1.4100,place,outdoor,NR,0,999.0000,outdoor,1,0.0628
104,1,104,247.5915,1.4087,place,indoor,NR,0,999.0000,indoor,1,0.0256
105,1,105,249.0908,1.4093,place,outdoor,NR,0,999.0000,outdoor,1,0.0522
106,1,106,250.5920,1.4084,place,indoor,NR,0,999.0000,indoor,1,0.1048
107,1,107,252.0929,1.4079,place,indoor,NR,0,999.0000,indoor,1,0.1261
108,1,108,253.5933,1.4078,place,indoor,NR,0,999.0000,outdoor,0,0.0963
109,1,109,255.0942,1.4068,place,outdoor,NR,0,999.0000,outdoor,1,0.0865
110,1,110,256.6015,10.3992,rest,rest,rest,1,999.0000,NR,1,0.0000
111,1,111,267.1372,1.3647,object,manmade,NR,0,999.0000,manmade,1,0.3769
112,1,112,268.6393,1.3621,object,manmade,NR,0,999.0000,manmade,1,0.0706
113,1,113,270.1401,1.3608,object,natural,NR,0,999.0000,manmade,0,0.0121
114,1,114,271.5970,1.4036,object,natural,NR,0,999.0000,natural,1,0.1370
115,1,115,273.0975,1.4037,object,natural,NR,0,999.0000,natural,1,0.0200
116,1,116,274.5980,1.4032,object,natural,NR,0,999.0000,natural,1,0.0083
117,1,117,276.0999,1.4011,object,manmade,NR,0,999.0000,manmade,1,0.0162
118,1,118,277.5994,1.4016,object,manmade,NR,0,999.0000,NR,0,999.0000
119,1,119,279.1006,1.3996,object,natural,NR,0,999.0000,manmade,0,0.0263
120,1,120,280.6002,1.4007,object,manmade,NR,0,999.0000,manmade,1,0.1100
121,1,121,282.1183,10.3825,rest,rest,rest,1,999.0000,NR,1,0.0000
122,1,122,292.6475,1.3544,face,female,NR,0,999.0000,female,1,0.2591
123,1,123,294.1514,1.3489,face,male,NR,0,999.0000,male,1,0.0857
124,1,124,295.6479,1.3524,face,male,NR,0,999.0000,male,1,0.4127
125,1,125,297.1029,1.3984,face,male,female,0,0.3524,male,1,0.1608
126,1,126,298.6039,1.3972,face,male,NR,0,999.0000,male,1,0.0204
127,1,127,300.1044,1.3962,face,male,NR,0,999.0000,NR,0,999.0000
128,1,128,301.6043,1.3961,face,female,NR,0,999.0000,female,1,0.0303
