index,run,trial,onset,duration,cond,repType,repCount,word,pic,resp,respRT,ISIresp,ISIrespRT
1,1,1,10.0027,1.9991,WO,4,1,HONEY,crosswalk,UR,1.3147,NR,3.0000
2,1,2,22.0645,-10.0637,WI,4,1,BUCKET,elevator,R,1.8801,NR,3.0000
3,1,3,34.1231,-22.1216,WI,4,1,SPATULA,locker_room,UR,2.1924,NR,3.0000
4,1,4,46.1825,-34.1807,WO,2,1,SHRIMP,orchard,R,1.9773,NR,3.0000
5,1,5,58.2420,-46.2409,WO,4,2,HONEY,crosswalk,UR,1.2015,NR,3.0000
6,1,6,70.3013,-58.2994,WI,4,1,MILK,dining_room,R,1.7823,NR,3.0000
7,1,7,82.3618,-70.3607,WI,2,1,TELEGRAPH,computer_room,UR,1.9285,NR,3.0000
8,1,8,94.4210,-82.4192,WI,4,2,MILK,dining_room,R,1.3374,NR,3.0000
9,1,9,106.4808,-94.4796,WO,4,1,WORM,fishpond,R,1.6808,NR,3.0000
10,1,10,118.5409,-106.5397,WI,4,1,CANDLE,cathedral,R,1.6131,NR,3.0000
11,1,11,130.6001,-118.5979,WI,2,1,SARDINE,riding_arena,UR,1.8623,NR,3.0000
12,1,12,142.6610,-130.6594,WI,4,2,CANDLE,cathedral,R,1.3842,NR,3.0000
13,1,13,154.7208,-142.7192,WO,2,1,BOWL,greenhouse,R,2.4159,NR,3.0000
14,1,14,166.7806,-154.7781,WI,4,2,BUCKET,elevator,R,1.4858,NR,3.0000
15,1,15,178.8411,-166.8392,WI,4,1,KEG,gymnasium,R,2.0014,NR,3.0000
16,1,16,190.9011,-178.8989,WO,4,1,VINE,mountain,R,1.9160,NR,3.0000
17,1,17,202.9620,-190.9607,WI,2,1,NEEDLE,courtroom,UR,2.0258,NR,3.0000
18,1,18,215.0218,-203.0201,WO,4,1,SCORPION,balcony,UR,1.4952,NR,3.0000
19,1,19,227.0817,-215.0805,WI,4,2,KEG,gymnasium,R,0.9122,NR,3.0000
20,1,20,239.1419,-227.1410,WI,2,1,BUTTER,kennel,UR,1.7337,NR,3.0000
21,1,21,251.2012,-239.1991,WO,2,1,SHOWER,garbage_dump,UR,2.0858,NR,3.0000
22,1,22,263.2621,-251.2608,WI,4,2,SPATULA,locker_room,UR,1.7078,NR,3.0000
23,1,23,275.3216,-263.3197,WO,2,1,PLUG,basketball_court,R,1.9432,NR,3.0000
24,1,24,287.3821,-275.3808,WO,4,1,MONKEY,pond,UR,1.7686,NR,3.0000
25,1,25,299.4418,-287.4400,WO,4,1,KALE,corn_field,R,2.5169,NR,3.0000
26,1,26,311.5019,-299.5002,WI,4,1,BEAVER,hospital_room,UR,1.6644,NR,3.0000
27,1,27,323.5617,-311.5605,WO,2,1,BARREL,raceway,UR,2.2423,NR,3.0000
28,1,28,335.6216,-323.6199,WI,2,1,RASH,burial_chamber,UR,2.8799,NR,3.0000
29,1,29,347.6814,-335.6802,WO,4,2,SCORPION,balcony,UR,1.0151,NR,3.0000
30,1,30,359.7411,-347.7391,WO,2,1,ROCK,corral,R,2.0067,NR,3.0000
31,1,31,371.8014,-359.8002,WI,4,2,BEAVER,hospital_room,UR,1.0427,NR,3.0000
32,1,32,383.8616,-371.8596,WO,4,1,BALLOON,islet,UR,1.7926,NR,3.0000
33,1,33,395.9218,-383.9194,WO,4,2,WORM,fishpond,R,1.2601,NR,3.0000
34,1,34,407.9825,-395.9808,WI,4,1,FROG,dentists_office,UR,1.4004,NR,3.0000
35,1,35,420.0431,-408.0410,WO,4,2,MONKEY,pond,UR,2.6298,NR,3.0000
36,1,36,432.1037,-420.1026,WO,4,2,KALE,corn_field,R,1.0597,NR,3.0000
37,1,37,444.1637,-432.1630,WO,2,1,STOOL,moat,UR,1.8529,NR,3.0000
38,1,38,456.2229,-444.2209,WI,4,2,FROG,dentists_office,UR,0.9133,NR,3.0000
39,1,39,468.2832,-456.2817,WI,2,1,GEESE,closet,UR,1.4532,NR,3.0000
40,1,40,480.3435,-468.3424,WO,4,2,VINE,mountain,R,1.5484,NR,3.0000
41,1,41,492.4031,-480.4010,WO,4,2,BALLOON,islet,UR,1.0986,NR,3.0000
