index,run,trial,onset,duration,cond,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,ISIresp,ISIacc,ISIaccSpec,ISIrespRT
201,5,33,335.7415,9.8910,F,safe,0,QUILT,foil,TO,FA,FAO_Lo,0.9259,NR,NR,NR,999.0000
202,5,34,345.6680,10.7023,TI_2,safe,0,FIDDLE,airplane_cabin,TO,SM,SMI_Lo,3.8517,NR,NR,NR,999.0000
203,5,35,356.4053,9.1740,TO_4,safe,0,SUNBURN,marsh,TI,SM,SMO_Lo,3.8548,NR,NR,NR,999.0000
204,5,36,365.6143,11.1808,F,safe,0,SHEEP,foil,F,CR,CR,1.6111,TO,FA,FAO_Lo,6.9165
205,5,37,376.8300,11.9383,F,safe,0,RIFLE,foil,F,CR,CR,2.0393,NR,NR,NR,999.0000
206,5,38,388.8031,9.6823,TO_2,safe,0,NEST,bamboo_forest,NR,NR,NR,999.0000,NR,NR,NR,999.0000
207,5,39,398.5208,9.8018,F,safe,0,SALAD,foil,TO,FA,FAO_Lo,2.7310,NR,NR,NR,999.0000
208,5,40,408.3577,12.3193,TI_2,safe,0,SLIPPER,synagogue,NR,NR,NR,999.0000,NR,NR,NR,999.0000
209,5,41,420.7118,9.5312,F,safe,0,WOLF,foil,TO,FA,FAO_Lo,3.8507,NR,NR,NR,999.0000
210,5,42,430.2777,10.0908,TO_2,safe,0,TRAY,mosque,F,M,MI,2.9825,NR,NR,NR,999.0000
211,6,1,12.0073,9.7121,TO_2,threat,0,KNIFE,kasbah,F,M,MI,2.8293,NR,NR,NR,999.0000
212,6,2,21.7563,9.9246,F,threat,0,FIRE,foil,F,CR,CR,0.6342,NR,NR,NR,999.0000
213,6,3,31.7168,12.3189,TO_2,threat,0,WAND,campsite,F,M,MI,0.9608,NR,NR,NR,999.0000
214,6,4,44.0708,10.5472,F,threat,0,ROPE,foil,F,CR,CR,0.5868,NR,NR,NR,999.0000
215,6,5,54.6534,11.6739,TO_2,threat,0,CAMEL,arch,F,M,MI,0.5263,NR,NR,NR,999.0000
216,6,6,66.3630,9.6274,TO_2,threat,0,SHELL,basilica,F,M,MI,0.5653,NR,NR,NR,999.0000
217,6,7,76.0259,9.8912,TO_2,threat,0,SWORD,boathouse,F,M,MI,0.5287,NR,NR,NR,999.0000
218,6,8,85.9534,9.2691,TO_4,threat,0,BATON,park,TI,SM,SMO_Lo,1.2665,NR,NR,NR,999.0000
219,6,9,95.2582,11.2593,TO_4,threat,0,STAPLER,carrousel,F,M,MI,3.7096,NR,NR,NR,999.0000
220,6,10,106.5533,9.3854,TI_4,threat,0,OATMEAL,orchestra_pit,F,M,MI,0.5525,NR,NR,NR,999.0000
221,6,11,115.9748,9.3671,TI_4,threat,0,PASTE,movie_theater,F,M,MI,0.4746,NR,NR,NR,999.0000
222,6,12,125.3775,9.6811,F,threat,0,RABBIT,foil,F,CR,CR,0.5614,NR,NR,NR,999.0000
223,6,13,135.0942,9.0534,TI_4,threat,0,PEDAL,limousine_interior,F,M,MI,1.0840,NR,NR,NR,999.0000
