index,run,trial,onset,duration,cond,repType,repCount,word,pic,resp,respRT,ISIresp,ISIrespRT
1,1,1,10.0044,1.9990,WO,4,1,BANDAGE,hayfield,UR,1.8895,NR,3.0000
2,1,2,22.0694,-10.0672,WI,4,1,SHOVEL,escalator,UR,1.6191,NR,3.0000
3,1,3,34.1291,-22.1259,WO,2,1,TROPHY,general_store,UR,2.3865,UR,9.5503
4,1,4,46.1909,-34.1885,WO,4,1,DAISY,gazebo,R,2.5032,NR,3.0000
5,1,5,58.2526,-46.2518,WO,4,1,PIGEON,barn,R,2.5431,NR,3.0000
6,1,6,70.3121,-58.3113,WI,4,1,SCISSORS,train_station,UR,2.5771,NR,3.0000
7,1,7,82.3724,-70.3707,WO,4,1,KNIFE,heliport,R,2.8732,NR,3.0000
8,1,8,94.4328,-82.4309,WI,2,1,DUST,subway_interior,R,2.1072,NR,3.0000
9,1,9,106.4936,-94.4924,WO,2,1,JACKET,lift_bridge,UR,1.8294,NR,3.0000
10,1,10,118.5541,-106.5529,WO,4,1,ARMOR,crevasse,UR,2.6476,NR,3.0000
11,1,11,130.6141,-118.6120,WO,2,1,DAMSEL,outhouse,UR,2.1026,NR,3.0000
12,1,12,142.6754,-130.6731,WI,4,1,SLIPPER,bar,UR,2.0920,NR,3.0000
13,1,13,154.7365,-142.7348,WI,4,1,CLARINET,operating_room,UR,2.3001,NR,3.0000
14,1,14,166.7972,-154.7955,WI,2,1,RICE,dentists_office,R,2.4498,NR,3.0000
15,1,15,178.8581,-166.8557,WO,2,1,VINE,orchard,R,1.5976,NR,3.0000
16,1,16,190.9195,-178.9176,WI,4,1,BEAVER,badminton_court,UR,2.1804,NR,3.0000
17,1,17,202.9812,-190.9797,WI,2,1,SCOTCH,auditorium,UR,1.8485,NR,3.0000
18,1,18,215.0415,-203.0393,WI,4,2,SHOVEL,escalator,UR,2.3827,NR,3.0000
19,1,19,227.1027,-215.1009,WO,4,2,ARMOR,crevasse,UR,1.7481,NR,3.0000
20,1,20,239.1647,-227.1636,WI,4,1,RASH,auto_factory,UR,2.1048,NR,3.0000
21,1,21,251.2250,-239.2241,WI,2,1,TROLLEY,closet,UR,2.0716,NR,3.0000
22,1,22,263.2856,-251.2848,WI,4,2,SLIPPER,bar,UR,1.0907,NR,3.0000
23,1,23,275.3454,-263.3446,WO,4,2,DAISY,gazebo,R,1.8404,NR,3.0000
24,1,24,287.4052,-275.4034,WO,4,1,CAGE,promenade_deck,UR,1.9264,NR,3.0000
25,1,25,299.4664,-287.4645,WI,4,2,CLARINET,operating_room,UR,1.7795,NR,3.0000
26,1,26,311.5275,-299.5263,WO,4,1,WALRUS,crosswalk,UR,1.8420,NR,3.0000
27,1,27,323.5883,-311.5870,WI,4,2,BEAVER,badminton_court,UR,1.3665,NR,3.0000
28,1,28,335.6486,-323.6477,WO,4,2,PIGEON,barn,R,1.8920,NR,3.0000
29,1,29,347.7085,-335.7063,WI,2,1,HAM,diner,R,1.7928,NR,3.0000
30,1,30,359.7704,-347.7674,WI,4,2,RASH,auto_factory,UR,1.1752,NR,3.0000
31,1,31,371.8327,-359.8313,WO,2,1,HAMMER,putting_green,UR,2.1405,NR,3.0000
32,1,32,383.8938,-371.8924,WI,4,1,LIGHTNING,candy_store,UR,2.2255,NR,3.0000
33,1,33,395.9541,-383.9522,WO,2,1,DOVE,oil_refinery,UR,2.6141,NR,3.0000
34,1,34,408.0150,-396.0141,WO,4,2,BANDAGE,hayfield,UR,2.4289,NR,3.0000
35,1,35,420.0755,-408.0735,WO,4,2,KNIFE,heliport,R,1.1234,NR,3.0000
36,1,36,432.1365,-420.1344,WI,2,1,NEST,control_room,UR,2.3200,NR,3.0000
37,1,37,444.1984,-432.1972,WI,4,2,SCISSORS,train_station,UR,2.1323,NR,3.0000
38,1,38,456.2589,-444.2578,WI,4,2,LIGHTNING,candy_store,UR,1.0746,NR,3.0000
39,1,39,468.3194,-456.3183,WO,4,2,CAGE,promenade_deck,UR,1.5990,NR,3.0000
40,1,40,480.3800,-468.3781,WO,2,1,APPLE,railroad_track,UR,1.7075,NR,3.0000
41,1,41,492.4409,-480.4388,WO,4,2,WALRUS,crosswalk,UR,1.4674,NR,3.0000
42,1,42,504.5029,-492.5012,WI,2,1,SOAP,bedroom,R,1.9433,NR,3.0000
43,2,19,10.0012,1.9999,WI,4,1,BLANKET,restaurant,UR,1.8802,NR,3.0000
44,2,20,22.0665,-10.0654,WO,4,1,GARBAGE,boardwalk,UR,1.6961,NR,3.0000
45,2,21,34.1300,-22.1286,WI,2,1,CARROT,archive,UR,2.4706,NR,3.0000
46,2,22,46.1932,-34.1917,WI,4,1,CANE,hospital_room,R,1.3952,NR,3.0000
47,2,23,58.2567,-46.2557,WI,4,1,LION,ice_cream_parlor,UR,2.2586,NR,3.0000
48,2,24,70.3192,-58.3179,WO,2,1,SCAB,pagoda,UR,1.9419,NR,3.0000
49,2,25,82.3826,-70.3817,WO,4,1,PANTS,carrousel,UR,2.3004,NR,3.0000
50,2,26,94.4480,-82.4458,WO,2,1,DESK,oilrig,UR,2.8176,NR,3.0000
51,2,27,106.5123,-94.5104,WI,4,1,ORNAMENT,classroom,R,2.9348,NR,3.0000
52,2,28,118.5764,-106.5751,WO,4,1,PAN,castle,UR,2.6686,NR,3.0000
53,2,29,130.6396,-118.6380,WO,2,1,TABLE,desert,UR,2.3138,NR,3.0000
54,2,30,142.7037,-130.7024,WI,2,1,FORK,biology_laboratory,R,2.1669,NR,3.0000
55,2,31,154.7667,-142.7657,WI,4,1,ROPE,television_studio,R,2.1946,NR,3.0000
56,2,32,166.8300,-154.8287,WO,4,1,CANARY,rice_paddy,R,1.5372,NR,3.0000
57,2,33,178.8939,-166.8922,WI,4,2,LION,ice_cream_parlor,UR,2.0074,NR,3.0000
58,2,34,190.9574,-178.9561,WI,4,1,DETECTIVE,living_room,R,1.8916,NR,3.0000
59,2,35,203.0212,-191.0202,WI,4,2,ROPE,television_studio,R,1.1039,NR,3.0000
60,2,36,215.0842,-203.0830,WO,4,1,PLUG,forest_path,UR,1.8365,NR,3.0000
61,2,37,227.1476,-215.1463,WI,4,2,DETECTIVE,living_room,R,1.3064,NR,3.0000
62,2,38,239.2114,-227.2093,WI,2,1,CHICKEN,cloister,UR,2.2800,NR,3.0000
63,2,39,251.2757,-239.2742,WO,4,2,PLUG,forest_path,UR,1.4533,NR,3.0000
64,2,40,263.3398,-251.3384,WO,4,2,PANTS,carrousel,UR,1.2179,NR,3.0000
65,2,41,275.4032,-263.4019,WI,4,2,CANE,hospital_room,R,1.0805,NR,3.0000
66,2,42,287.4663,-275.4650,WI,4,2,BLANKET,restaurant,UR,2.0294,NR,3.0000
67,2,43,299.5304,-287.5296,WO,4,1,HAWK,campsite,R,1.2980,NR,3.0000
68,2,44,311.5934,-299.5921,WO,2,1,SEAL,power_plant,UR,1.6964,NR,3.0000
69,2,45,323.6575,-311.6553,WI,2,1,OMELET,butchers_shop,R,1.3422,NR,3.0000
70,2,46,335.7217,-323.7201,WO,2,1,CANNON,fire_station,R,1.7701,NR,3.0000
71,2,47,347.7851,-335.7833,WI,2,1,PENNY,pulpit,UR,2.4973,NR,3.0000
72,2,48,359.8492,-347.8469,WI,2,1,BALLOON,nursery,R,2.0368,NR,3.0000
73,2,49,371.9135,-359.9124,WO,4,2,PAN,castle,UR,1.5943,NR,3.0000
74,2,50,383.9765,-371.9753,WO,4,2,HAWK,campsite,R,1.1828,NR,3.0000
75,2,51,396.0397,-384.0389,WI,2,1,BRAIN,theater,R,1.5813,NR,3.0000
76,2,52,408.1025,-396.1008,WO,4,1,MONKEY,hot_spring,R,1.9640,NR,3.0000
77,2,53,420.1665,-408.1658,WO,4,2,MONKEY,hot_spring,R,1.5528,NR,3.0000
78,2,54,432.2293,-420.2279,WO,2,1,BUTTER,rope_bridge,R,2.4688,NR,3.0000
79,2,55,444.2935,-432.2924,WI,4,2,ORNAMENT,classroom,R,1.3630,NR,3.0000
80,2,56,456.3565,-444.3556,WO,4,2,CANARY,rice_paddy,R,1.0307,NR,3.0000
81,2,57,468.4194,-456.4173,WO,4,2,GARBAGE,boardwalk,UR,1.5641,NR,3.0000
82,2,58,480.4844,-468.4834,WI,4,1,SUNBURN,bookstore,R,2.3061,NR,3.0000
83,2,59,492.5475,-480.5452,WI,4,2,SUNBURN,bookstore,R,1.0706,NR,3.0000
84,2,60,504.6122,-492.6109,WO,2,1,DOLL,nuclear_power_plant,UR,1.4773,NR,3.0000
85,3,37,150.2476,-138.2453,WI,2,1,BOAT,chicken_coop,UR,2.6305,NR,3.0000
86,3,38,162.3089,-150.3078,WO,4,1,MOTH,mountain_snowy,R,2.3028,NR,3.0000
87,3,39,174.3664,-162.3637,WI,2,1,SEAWEED,basement,UR,2.0486,NR,3.0000
88,3,40,186.4252,-174.4230,WO,2,1,KILT,cliff,UR,2.3276,NR,3.0000
89,3,41,198.4844,-186.4830,WO,4,2,MOTH,mountain_snowy,R,0.9501,NR,3.0000
90,3,42,210.5422,-198.5401,WO,4,1,CHEESE,inn,R,1.7312,NR,3.0000
91,3,43,222.6008,-210.5991,WI,4,1,EMPEROR,garage,UR,2.4399,NR,3.0000
92,3,44,234.6592,-222.6577,WI,4,1,SHELL,restaurant_kitchen,R,2.5341,NR,3.0000
93,3,45,246.7170,-234.7161,WI,4,1,ENVELOPE,kitchen,R,1.8758,NR,3.0000
94,3,46,258.7746,-246.7736,WO,4,1,ORANGE,botanical_garden,R,2.4490,NR,3.0000
95,3,47,270.8318,-258.8292,WO,4,1,PYTHON,moat,R,1.7495,NR,3.0000
96,3,48,282.8909,-270.8891,WI,2,1,SCOOTER,dorm_room,R,2.1231,NR,3.0000
97,3,49,294.9497,-282.9489,WO,2,1,QUILT,lock_chamber,R,2.3060,NR,3.0000
98,3,50,307.0070,-295.0054,WI,2,1,CRADLE,aquarium,UR,2.3760,NR,3.0000
99,3,51,319.0654,-307.0637,WO,4,1,NIGHTGOWN,butte,UR,2.3154,NR,3.0000
100,3,52,331.1236,-319.1216,WI,4,1,ANT,toyshop,R,2.2254,NR,3.0000
101,3,53,343.1818,-331.1788,WI,4,2,SHELL,restaurant_kitchen,R,1.3200,NR,3.0000
102,3,54,355.2415,-343.2392,WO,4,1,CLOAK,islet,R,2.8202,NR,3.0000
103,3,55,367.3003,-355.2981,WI,2,1,SQUIRREL,banquet_hall,R,1.5476,NR,3.0000
104,3,56,379.3593,-367.3581,WI,4,2,EMPEROR,garage,UR,1.6795,NR,3.0000
105,3,57,391.4172,-379.4160,WI,4,1,SADDLE,engine_room,UR,2.6223,NR,3.0000
106,3,58,403.4747,-391.4733,WO,4,1,SHEEP,phone_booth,NR,999.0000,R,3.0315
107,3,59,415.5330,-403.5317,WO,2,1,TRIBE,pavilion,R,2.1523,NR,3.0000
108,3,60,427.5907,-415.5888,WI,2,1,PASSPORT,reception,NR,999.0000,R,3.0093
109,3,61,439.6497,-427.6483,WO,4,2,ORANGE,botanical_garden,R,1.0359,NR,3.0000
110,3,62,451.7074,-439.7062,WI,4,1,POSTER,volleyball_court,R,1.7222,NR,3.0000
111,3,63,463.7649,-451.7632,WO,2,1,PIANO,plaza,R,1.4459,NR,3.0000
112,3,64,475.8233,-463.8221,WI,2,1,SUBMARINE,airplane_cabin,UR,2.3890,NR,3.0000
113,3,65,487.8810,-475.8802,WO,4,2,NIGHTGOWN,butte,UR,1.0900,NR,3.0000
114,3,66,499.9388,-487.9379,WI,4,1,RACQUET,dining_room,UR,2.5752,NR,3.0000
115,3,67,511.9963,-499.9949,WO,2,1,SHARK,office_building,UR,2.3101,NR,3.0000
116,3,68,524.0544,-512.0533,WO,4,2,SHEEP,phone_booth,R,0.9394,NR,3.0000
117,3,69,536.1124,-524.1108,WO,2,1,MOUSE,cottage_garden,R,1.9995,NR,3.0000
118,3,70,548.1707,-536.1696,WI,4,2,ANT,toyshop,R,0.9498,NR,3.0000
119,3,71,560.2291,-548.2275,WO,4,2,CLOAK,islet,R,1.7545,NR,3.0000
120,3,72,572.2875,-560.2863,WI,4,2,POSTER,volleyball_court,R,1.0729,NR,3.0000
121,3,73,584.3452,-572.3440,WO,4,2,PYTHON,moat,R,0.9182,NR,3.0000
122,3,74,596.4036,-584.4011,WI,4,2,RACQUET,dining_room,UR,1.9638,NR,3.0000
123,3,75,608.4628,-596.4617,WI,4,2,SADDLE,engine_room,R,2.2660,NR,3.0000
124,3,76,620.5212,-608.5190,WO,2,1,ROSARY,river,UR,2.7029,NR,3.0000
125,3,77,632.5800,-620.5782,WI,4,2,ENVELOPE,kitchen,R,0.9639,NR,3.0000
126,3,78,644.6384,-632.6376,WO,4,2,CHEESE,inn,R,1.1760,NR,3.0000
127,4,55,10.0023,2.0000,WI,4,1,BASKET,shopping_mall,R,1.4574,NR,3.0000
128,4,56,22.0621,-10.0611,WO,4,1,OATMEAL,fire_escape,R,1.2554,NR,3.0000
