roi,hemi,roi_type
hippocampus-tail,lh,anat
hippocampus-tail,rh,anat
hippocampus-head,lh,anat
hippocampus-head,rh,anat
hippocampus-body,lh,anat
hippocampus-body,rh,anat
hippocampus,lh,anat
hippocampus,rh,anat
hippocampus,bilat,anat
parahippocampal,bilat,anat
DefaultC_Rsp,lh,anat
DefaultC_Rsp,rh,anat
frontoparietal,lh,anat
frontoparietal,rh,anat
dorsalattn,lh,anat
dorsalattn,rh,anat
DefaultA_IPL,lh,anat
