index,run,trial,onset,duration,cond,repType,repCount,word,pic,resp,respRT,ISIresp,ISIrespRT
1,1,1,10.0042,1.9975,WO,2,1,ZIPPER,cabin,UR,2.2689,NR,3.0000
2,1,2,22.0620,-10.0612,WI,4,1,OWL,natural_history_museum,R,1.9441,NR,3.0000
3,1,3,34.1141,-22.1125,WI,4,1,SCAB,lecture_room,R,2.8444,NR,3.0000
4,1,4,46.1682,-34.1675,WO,4,1,MANURE,corn_field,R,2.0585,NR,3.0000
5,1,5,58.2221,-46.2210,WI,4,1,LETTUCE,bookstore,NR,999.0000,R,3.3610
6,1,6,70.2757,-58.2742,WI,4,2,SCAB,lecture_room,R,2.3492,NR,3.0000
7,1,7,82.3305,-70.3287,WO,2,1,CHOCOLATE,chalet,R,2.6448,NR,3.0000
8,1,8,94.3850,-82.3829,WO,4,1,SARDINE,raceway,UR,1.8761,NR,3.0000
9,1,9,106.4399,-94.4392,WI,4,1,DETECTIVE,banquet_hall,R,2.4906,NR,3.0000
10,1,10,118.4934,-106.4914,WO,4,2,MANURE,corn_field,R,1.8053,NR,3.0000
11,1,11,130.5481,-118.5465,WI,2,1,MUFFIN,bazaar,R,2.1377,NR,3.0000
12,1,12,142.6031,-130.6012,WO,4,1,DRUM,lido_deck,UR,2.4469,NR,3.0000
13,1,13,154.6578,-142.6563,WI,4,2,DETECTIVE,banquet_hall,R,1.8821,NR,3.0000
14,1,14,166.7120,-154.7100,WI,4,1,WORM,closet,UR,2.5361,NR,3.0000
15,1,15,178.7676,-166.7658,WO,4,1,FAN,dam,UR,2.7519,NR,3.0000
16,1,16,190.8221,-178.8202,WO,2,1,DOUGHNUT,motel,UR,2.9642,NR,3.0000
17,1,17,202.8774,-190.8753,WI,4,1,NOODLE,escalator,UR,2.5661,NR,3.0000
18,1,18,214.9325,-202.9309,WO,4,1,VODKA,oilrig,NR,999.0000,R,3.0110
19,1,19,226.9870,-214.9855,WI,2,1,QUILT,cubicle,NR,999.0000,UR,3.1235
20,1,20,239.0420,-227.0407,WI,2,1,TURTLE,garage,NR,999.0000,R,3.4646
21,1,21,251.0962,-239.0945,WO,2,1,CORAL,herb_garden,R,2.8514,NR,3.0000
22,1,22,263.1515,-251.1492,WI,4,2,OWL,natural_history_museum,R,1.6102,NR,3.0000
23,1,23,275.2067,-263.2053,WO,4,1,KILT,islet,UR,2.6176,NR,3.0000
24,1,24,287.2609,-275.2600,WO,2,1,SUBMARINE,pavilion,NR,999.0000,R,3.7372
25,1,25,299.3153,-287.3137,WO,4,2,VODKA,oilrig,R,2.1937,NR,3.0000
26,1,26,311.3699,-299.3684,WI,2,1,DIAMOND,pulpit,R,2.2152,NR,3.0000
27,1,27,323.4250,-311.4243,WO,4,2,KILT,islet,UR,2.9261,NR,3.0000
28,1,28,335.4788,-323.4770,WO,4,2,DRUM,lido_deck,R,1.8836,NR,3.0000
29,1,29,347.5335,-335.5327,WO,4,2,SARDINE,raceway,UR,2.6006,NR,3.0000
30,1,30,359.5879,-347.5872,WI,2,1,LIME,theater,UR,2.8782,NR,3.0000
31,1,31,371.6418,-359.6396,WI,4,2,LETTUCE,bookstore,R,1.9106,NR,3.0000
