,category,mask_name,mean,sd,subid,type,group
134,object,lh-inferiorparietal,0.666449228093,0.0637095020657,ap152,f1 score,stress
136,place,lh-inferiorparietal,0.768318965517,0.0441810344828,ap152,f1 score,stress
138,face,lh-inferiorparietal,0.779364049319,0.00324464633355,ap153,f1 score,stress
140,object,lh-inferiorparietal,0.694567404427,0.0659959758551,ap153,f1 score,stress
142,place,lh-inferiorparietal,0.722260273973,0.0722602739726,ap153,f1 score,stress
144,face,lh-inferiorparietal,0.761162296244,0.0623671155209,ap154,f1 score,stress
146,object,lh-inferiorparietal,0.664697864607,0.0449795547478,ap154,f1 score,stress
148,place,lh-inferiorparietal,0.857078245138,0.0085933966531,ap154,f1 score,stress
150,face,lh-inferiorparietal,0.69718969555,0.0742388758782,ap155,f1 score,stress
152,object,lh-inferiorparietal,0.725247004415,0.0210216523019,ap155,f1 score,stress
154,place,lh-inferiorparietal,0.77780720339,0.0659427966102,ap155,f1 score,stress
156,face,lh-inferiorparietal,0.885221778432,0.0401513558966,ap157,f1 score,stress
158,object,lh-inferiorparietal,0.856060606061,0.0227272727273,ap157,f1 score,stress
160,place,lh-inferiorparietal,0.924603174603,0.00396825396825,ap157,f1 score,stress
162,face,lh-inferiorparietal,0.711711711712,0.045045045045,ap158,f1 score,control
164,object,lh-inferiorparietal,0.704649232046,0.0076795350768,ap158,f1 score,control
166,place,lh-inferiorparietal,0.812181746964,0.0283979631806,ap158,f1 score,control
168,face,lh-inferiorparietal,0.747510668563,0.0633001422475,ap159,f1 score,stress
170,object,lh-inferiorparietal,0.771409749671,0.0467720685112,ap159,f1 score,stress
172,place,lh-inferiorparietal,0.820289855072,0.0202898550725,ap159,f1 score,stress
174,face,lh-inferiorparietal,0.849318131008,0.0239213056114,ap160,f1 score,stress
176,object,lh-inferiorparietal,0.868227424749,0.085618729097,ap160,f1 score,stress
178,place,lh-inferiorparietal,0.910192444761,0.0406272273699,ap160,f1 score,stress
180,face,lh-inferiorparietal,0.75873827792,0.0528559249787,ap161,f1 score,stress
