,category,mask_name,mean,sd,subid,type,group
116,object,bilat-parahipp_fusi_inftemp,0.836007130125,0.0124777183601,ap121,f1 score,control
118,place,bilat-parahipp_fusi_inftemp,0.826361151987,0.00945974353584,ap121,f1 score,control
120,face,bilat-parahipp_fusi_inftemp,0.92530657748,0.00222965440357,ap122,f1 score,control
122,object,bilat-parahipp_fusi_inftemp,0.878227908079,0.0424070125563,ap122,f1 score,control
124,place,bilat-parahipp_fusi_inftemp,0.854166666667,0.0208333333333,ap122,f1 score,control
126,face,bilat-parahipp_fusi_inftemp,0.851449275362,0.018115942029,ap150,f1 score,stress
128,object,bilat-parahipp_fusi_inftemp,0.708662936523,0.0237314296739,ap150,f1 score,stress
130,place,bilat-parahipp_fusi_inftemp,0.837265286471,0.00144439094848,ap150,f1 score,stress
132,face,bilat-parahipp_fusi_inftemp,0.844553529687,0.090930341281,ap152,f1 score,stress
134,object,bilat-parahipp_fusi_inftemp,0.760442260442,0.0577395577396,ap152,f1 score,stress
136,place,bilat-parahipp_fusi_inftemp,0.813985627418,0.0378662244334,ap152,f1 score,stress
138,face,bilat-parahipp_fusi_inftemp,0.878989667049,0.0133180252583,ap153,f1 score,stress
140,object,bilat-parahipp_fusi_inftemp,0.797339593114,0.0195618153365,ap153,f1 score,stress
142,place,bilat-parahipp_fusi_inftemp,0.857112750263,0.0351949420443,ap153,f1 score,stress
144,face,bilat-parahipp_fusi_inftemp,0.941013824885,0.0267281105991,ap154,f1 score,stress
146,object,bilat-parahipp_fusi_inftemp,0.804264392324,0.061407249467,ap154,f1 score,stress
148,place,bilat-parahipp_fusi_inftemp,0.79466966967,0.0108858858859,ap154,f1 score,stress
150,face,bilat-parahipp_fusi_inftemp,0.768618387262,0.0110426296867,ap155,f1 score,stress
152,object,bilat-parahipp_fusi_inftemp,0.836007130125,0.0124777183601,ap155,f1 score,stress
154,place,bilat-parahipp_fusi_inftemp,0.917025862069,0.020474137931,ap155,f1 score,stress
156,face,bilat-parahipp_fusi_inftemp,0.947945845005,0.0361811391223,ap157,f1 score,stress
158,object,bilat-parahipp_fusi_inftemp,0.947639083684,0.0201028517999,ap157,f1 score,stress
160,place,bilat-parahipp_fusi_inftemp,0.9670995671,0.0147186147186,ap157,f1 score,stress
162,face,bilat-parahipp_fusi_inftemp,0.923624288425,0.0118595825427,ap158,f1 score,control
164,object,bilat-parahipp_fusi_inftemp,0.851754739814,0.0139169019766,ap158,f1 score,control
166,place,bilat-parahipp_fusi_inftemp,0.941176470588,0.0588235294118,ap158,f1 score,control
168,face,bilat-parahipp_fusi_inftemp,0.846248211,0.0791249233286,ap159,f1 score,stress
170,object,bilat-parahipp_fusi_inftemp,0.817095588235,0.0358455882353,ap159,f1 score,stress
172,place,bilat-parahipp_fusi_inftemp,0.863354037267,0.00621118012422,ap159,f1 score,stress
174,face,bilat-parahipp_fusi_inftemp,0.807808455565,0.0446505608283,ap160,f1 score,stress
176,object,bilat-parahipp_fusi_inftemp,0.864333057167,0.0474316487158,ap160,f1 score,stress
178,place,bilat-parahipp_fusi_inftemp,0.880597014925,0.0149253731343,ap160,f1 score,stress
180,face,bilat-parahipp_fusi_inftemp,0.921702960607,0.00367017372156,ap161,f1 score,stress
182,object,bilat-parahipp_fusi_inftemp,0.867788461538,0.0552884615385,ap161,f1 score,stress
184,place,bilat-parahipp_fusi_inftemp,0.823315853167,0.0125050423558,ap161,f1 score,stress
186,face,bilat-parahipp_fusi_inftemp,0.844293785311,0.0709604519774,ap162,f1 score,stress
188,object,bilat-parahipp_fusi_inftemp,0.777225672878,0.0343685300207,ap162,f1 score,stress
190,place,bilat-parahipp_fusi_inftemp,0.8955453149,0.0568356374808,ap162,f1 score,stress
192,face,bilat-parahipp_fusi_inftemp,0.930735930736,0.021645021645,ap163,f1 score,stress
194,object,bilat-parahipp_fusi_inftemp,0.852339181287,0.0365497076023,ap163,f1 score,stress
196,place,bilat-parahipp_fusi_inftemp,0.969696969697,0.030303030303,ap163,f1 score,stress
198,face,bilat-parahipp_fusi_inftemp,0.900432900433,0.0519480519481,ap164,f1 score,stress
200,object,bilat-parahipp_fusi_inftemp,0.91933385376,0.00130106687484,ap164,f1 score,stress
202,place,bilat-parahipp_fusi_inftemp,0.827815829528,0.033295281583,ap164,f1 score,stress
204,face,bilat-parahipp_fusi_inftemp,0.912242686891,0.0108342361863,ap165,f1 score,stress
206,object,bilat-parahipp_fusi_inftemp,0.936491935484,0.00100806451613,ap165,f1 score,stress
208,place,bilat-parahipp_fusi_inftemp,0.957555178268,0.0101867572156,ap165,f1 score,stress
210,face,bilat-parahipp_fusi_inftemp,0.908212560386,0.0193236714976,ap166,f1 score,stress
212,object,bilat-parahipp_fusi_inftemp,0.877405559515,0.00784034212402,ap166,f1 score,stress
214,place,bilat-parahipp_fusi_inftemp,0.876332622601,0.0191897654584,ap166,f1 score,stress
216,face,bilat-parahipp_fusi_inftemp,0.946608946609,0.037518037518,ap167,f1 score,stress
218,object,bilat-parahipp_fusi_inftemp,0.815757279178,0.0694886224615,ap167,f1 score,stress
220,place,bilat-parahipp_fusi_inftemp,0.858598962194,0.04280948851,ap167,f1 score,stress
222,face,bilat-parahipp_fusi_inftemp,0.730403348554,0.0915144596651,ap168,f1 score,stress
