,index,group,subid,run,onset,condition,category,0,2,4,6,8,10,12,avg_logit,cond,reps
101,104,control,ap100,1.0,346.674,M-4,place,-5.08306943384,-0.868259058537,-2.6765719205,-0.911346414407,6.28567732894,10.0658935272,-2.36564041774,3.19091313031,M,4
104,107,control,ap100,1.0,356.5106,CR-0,place,10.0577696646,-1.88749290762,-7.92712282416,-3.3417295289,1.70167630286,6.94999624819,6.38197877526,-0.654294950503,CR,0
107,110,control,ap100,1.0,367.8075,sourcehit-4,place,7.40267559735,6.77930580003,12.8226887203,12.298534701,11.1401512365,8.71856830128,4.62333655911,11.2449857398,sourcehit,4
110,113,control,ap100,1.0,377.7596,sourcemiss_hi-2,place,9.15188646545,4.65448897226,4.74981516724,2.24876116122,3.14627922642,4.4588413384,-1.74406448025,3.65092422332,sourcemiss_hi,2
113,116,control,ap100,1.0,387.4766,CR-0,place,4.23344434832,-1.42148756092,-4.22760600404,0.567577760383,9.98735102436,14.7352776105,5.45110255835,5.2656500978,CR,0
116,119,control,ap100,1.0,396.6541,sourcehit-4,place,14.6994563224,6.05464913954,-5.07962200514,1.4610847351,4.57937595465,-6.66124768269,-3.83992421802,-1.42510224952,sourcehit,4
119,122,control,ap100,1.0,407.8698,CR-0,place,-6.09039397591,-3.32680653933,2.08610044472,-4.66912604367,-11.522274418,-7.78849637619,0.379539402298,-5.47344909829,CR,0
122,125,control,ap100,1.0,417.8134,sourcehit-4,place,-6.75588666533,0.871656302131,-2.95369988591,-0.541448743075,-0.0130986568111,-5.77502366682,-13.3511496197,-2.32081773815,sourcehit,4
125,128,control,ap100,2.0,0.0051,CR-0,place,0.254321130036,-4.20407410894,-2.09703133677,-3.6907293692,-2.78174092294,-2.29661345493,5.16726313195,-2.71652877096,CR,0
128,131,control,ap100,2.0,9.8151,sourcehit-4,place,-2.7702607345,0.0477553825649,6.30326481678,10.803074078,10.9616470979,13.1686228874,5.2845678268,10.30915222,sourcehit,4
131,134,control,ap100,2.0,20.4959,FA-0,place,3.63026512867,-9.88492297237,-0.291833541318,5.41562567446,-6.03419508906,-3.92999054612,-1.35404149958,-1.21009837551,FA,0
134,137,control,ap100,2.0,29.6727,sourcehit-2,place,-6.91306388379,-2.35162478047,-0.0838085779431,-3.06786433461,-3.40871111155,-3.4477930642,-6.96572585053,-2.50204427208,sourcehit,2
137,140,control,ap100,2.0,39.4644,sourcehit-2,place,-3.3335248629,-6.25833113242,-2.5865227384,4.3135996191,3.87883895025,-1.16244197928,-4.87418155564,1.11086846292,sourcehit,2
140,143,control,ap100,2.0,49.1284,CR-0,place,-1.27252545963,-4.27521182841,-3.08218873514,2.6373564732,4.26466023573,0.00443038111965,0.154561762763,0.956064588727,CR,0
143,146,control,ap100,2.0,58.5756,CR-0,place,0.444920523484,0.840065733895,-0.590417892603,0.494178603878,-2.87971761519,-6.87615861276,-7.23025126214,-2.46302887917,CR,0
146,149,control,ap100,2.0,67.721,CR-0,place,-2.98995047151,-5.05667904614,-6.0100558379,-3.96425764158,-3.61440800533,-2.02584665017,1.90903571349,-3.90364203375,CR,0
149,152,control,ap100,2.0,78.7475,itemhit_lo-4,place,0.251685634031,-1.54499092554,-4.86795231416,-3.28843830896,-2.8126531229,-2.70911380763,-5.20562347684,-3.41953938841,itemhit_lo,4
152,155,control,ap100,2.0,88.6737,CR-0,place,-2.74495347101,-4.62022609759,-2.6330331011,4.64830294077,10.7369405804,15.8014323499,9.08008439133,7.13841069249,CR,0
155,158,control,ap100,2.0,100.6455,sourcehit-4,place,7.0413073587,5.82764634226,5.24105187167,1.92315652184,6.36434784824,6.82553554555,-0.808206907798,5.08852294682,sourcehit,4
158,161,control,ap100,2.0,112.9987,CR-0,place,-2.0912679992,5.31426252318,9.87251345506,-1.92471757866,-6.56710892147,-7.2679480426,-5.64816421426,-1.47181527192,CR,0
161,167,control,ap100,2.0,132.0653,CR-0,place,,0.0620653728373,-9.0974736196,-4.39569848377,-3.6006025434,-4.07992873335,-0.227754566676,-5.29342584503,CR,0
164,170,control,ap100,2.0,144.425,FA-0,place,-1.8597157794,3.48927845705,3.81049157602,-4.46351563087,-3.33023144674,1.96189848024,1.77667228428,-0.505339255338,FA,0
167,173,control,ap100,2.0,154.4444,M-2,place,2.88044913916,1.69844096215,-2.902918509,-2.31289982588,-3.07132140249,-0.98138031717,2.69096782801,-2.31713001363,M,2
170,176,control,ap100,2.0,166.154,itemhit_lo-4,place,1.2825498917,3.5513877793,-2.05463081727,-3.08151667118,1.70732550762,0.979601768157,0.119354085017,-0.612305053168,itemhit_lo,4
173,179,control,ap100,2.0,177.371,FA-0,place,1.51692955173,0.378242303299,6.62174423323,8.79101448959,0.629987400556,-1.5789295513,7.72547335913,3.61595414302,FA,0
176,182,control,ap100,2.0,187.9686,M-2,place,-1.30667520115,7.91194938376,3.35687559879,-2.31922514543,-2.39547014885,-1.23147026975,2.56614209538,-0.64732249131,M,2
179,185,control,ap100,2.0,198.5524,CR-0,place,1.58934893837,0.237727157553,-4.54333687849,-7.21620297659,-2.24677579344,-1.37321179826,-4.80338347399,-3.8448818617,CR,0
182,188,control,ap100,2.0,207.7599,sourcehit-2,place,-1.96913426501,0.87785691467,-3.64871992542,0.430258102654,-1.03862575591,-4.8739976999,0.0610226075254,-2.28277131964,sourcehit,2
185,191,control,ap100,2.0,217.4774,sourcehit-2,place,-4.83892041652,0.463608776988,2.42361338215,6.39968075031,9.20792028736,9.52320487357,8.35600385881,6.88860482335,sourcehit,2
188,194,control,ap100,2.0,226.6075,itemhit_lo-4,place,10.512661109,8.68459376824,6.55103818554,1.40548292975,-1.52963515696,0.467500345719,-1.58343892276,1.72359657601,itemhit_lo,4
191,197,control,ap100,2.0,237.9052,CR-0,place,0.950037839064,-1.3610147358,-0.974577887202,-4.4219456541,2.26833062726,11.4846885932,7.53128026176,2.08912391979,CR,0
194,200,control,ap100,2.0,247.8464,sourcehit-4,place,12.1534898943,7.99241424913,-2.02365748171,-2.09989260632,-1.24222335535,1.25299265932,1.83203606455,-1.02819519601,sourcehit,4
197,203,control,ap100,2.0,257.9834,sourcehit-4,place,1.81991216434,2.22165102848,-0.888174634191,-0.947281804848,-1.92576939222,-0.427803800475,8.71242211277,-1.04725740793,sourcehit,4
200,206,control,ap100,2.0,267.0624,CR-0,place,0.24631398053,8.92618644933,8.4993847211,-2.9420862518,-4.75459861458,1.53199131592,-2.35442611824,0.58367279266,CR,0
203,209,control,ap100,2.0,276.7917,M-4,place,1.96373864579,-1.7217084914,-3.86977964848,0.826154198263,-4.35688869658,-7.42313090623,-2.55366891067,-3.70591126326,M,4
206,212,control,ap100,2.0,287.0143,CR-0,place,-7.34241418138,-2.19455584137,1.74332141536,-7.6693590276,-0.0670048742479,3.52245525446,-4.32193209646,-0.617646808007,CR,0
209,215,control,ap100,2.0,296.4334,sourcehit-2,place,3.77388654167,-3.89841766925,-0.957886980431,4.06647792503,2.96833608012,2.63300084507,6.76030684244,2.17748196745,sourcehit,2
212,218,control,ap100,2.0,306.9353,itemhit_lo-2,place,3.04240360322,7.27420483483,5.79577978153,-0.848789135199,3.68496045558,3.26038166347,-5.26425633128,2.97308319135,itemhit_lo,2
215,221,control,ap100,2.0,316.4999,M-4,place,3.53967934246,-4.70792713662,-3.25394596641,1.89100894462,-1.43559666626,-9.68580556522,-4.79313257747,-3.12108481332,M,4
218,224,control,ap100,2.0,325.9044,sourcemiss_hi-2,place,-2.32922316412,-7.99379736341,-3.80935588378,-5.47905253679,-5.37949984231,-6.56191741582,-12.6463384588,-5.30745641968,sourcemiss_hi,2
221,227,control,ap100,2.0,335.2092,M-4,place,-6.31374401712,-11.9849946523,-15.8018420844,-9.65481961163,-1.59403073464,-2.03304189049,-5.3904420135,-7.27093358029,M,4
224,230,control,ap100,2.0,346.5767,sourcehit-2,place,-6.58177109006,1.13193724421,-4.79618687714,-3.53464426386,-0.722628139456,-1.34429876111,-2.31168381501,-2.59943951039,sourcehit,2
227,233,control,ap100,2.0,356.4136,itemhit_lo-2,place,-0.524835670928,-2.10319037897,-1.67340932932,1.91118403167,-1.64844552885,-5.88310638959,-2.56084293179,-1.82344430402,itemhit_lo,2
230,236,control,ap100,2.0,366.3649,sourcehit-2,place,-6.41206221606,-2.01893430485,7.66093488628,5.47901415382,3.04443680529,0.239054877673,2.14025595923,4.10586018077,sourcehit,2
233,239,control,ap100,2.0,376.4892,sourcemiss_hi-4,place,1.04068534284,2.28450141946,0.315913323135,1.40407595298,-0.817521315856,-1.03158263103,-5.09315833776,-0.0322786676928,sourcemiss_hi,4
236,242,control,ap100,2.0,387.2287,M-2,place,-0.422079090384,-4.42144401916,-6.47930191138,-1.93305615607,-3.18821262351,-5.73107228047,-0.78748441174,-4.33291074286,M,2
239,245,control,ap100,2.0,398.8797,sourcehit-4,place,-2.17674527107,0.183510555044,-0.890123116365,-0.472822454074,6.65449623784,0.1144118723,-1.60221455433,1.35149063493,sourcehit,4
242,248,control,ap100,2.0,408.0332,sourcehit-4,place,0.540414784777,-1.28484303061,2.2089843451,4.59209936637,0.735363437376,2.78001509974,6.66064491518,2.57911556215,sourcehit,4
245,251,control,ap100,2.0,417.9967,sourcehit-4,place,1.85536641135,5.04506035509,8.06515184203,5.36919857606,2.71655760365,-3.2492168243,-2.43181075109,3.22542279936,sourcehit,4
248,254,control,ap100,3.0,0.0056,sourcehit-2,place,-1.96484522151,-4.66038876554,0.386206773719,-0.300794211534,-3.01545227695,-5.66996302582,0.462142222686,-2.15000068515,sourcehit,2
251,260,control,ap100,3.0,20.4679,sourcehit-4,place,2.07532665463,2.81799879392,4.07565615106,2.41199149402,-2.18265377944,0.0499931546049,3.65278918552,1.08874675506,sourcehit,4
254,263,control,ap100,3.0,32.8262,sourcehit-2,place,2.28377563384,5.17866842831,-1.97626008306,3.16960197775,3.37909904405,-1.85276881838,1.63886815308,0.67991803009,sourcehit,2
257,266,control,ap100,3.0,44.7968,sourcehit-4,place,0.202795521837,0.127403850394,-5.35129432513,-4.29073685139,0.885092586168,2.23391796671,1.44056445354,-1.63075515591,sourcehit,4
260,269,control,ap100,3.0,54.5814,sourcehit-2,place,1.56228878669,1.59129825431,0.11660445665,4.43684148865,7.03773548494,-1.66385306685,-0.729680501813,2.48183209085,sourcehit,2
263,272,control,ap100,3.0,64.8105,itemhit_lo-2,place,-2.25608463341,-0.581384015438,2.93579129976,2.29975709688,-1.48625327522,-4.16246891141,0.0828744098095,-0.103293447497,itemhit_lo,2
266,275,control,ap100,3.0,73.9646,CR-0,place,0.0459114871465,-3.08980571159,-1.2329549695,-4.84505295406,-6.14949853975,-3.26756112735,1.20590600347,-3.87376689766,CR,0
269,278,control,ap100,3.0,83.7552,CR-0,place,-3.75080682958,1.27762453923,-3.09729343351,-9.83736303649,-9.33097533212,-4.62833431679,-3.68696714514,-6.72349152973,CR,0
272,284,control,ap100,3.0,112.2753,sourcemiss_hi-4,place,7.02516573692,2.91284727897,-2.31349317957,4.4404597797,7.00577798511,-3.74708520825,-3.67298210694,1.34641484425,sourcemiss_hi,4
275,287,control,ap100,3.0,122.2197,sourcehit-4,place,-4.48989911517,-3.26320869978,0.634315815764,-0.380008401801,-0.638345288257,0.978692509132,0.422943636371,0.148663658709,sourcehit,4
278,290,control,ap100,3.0,132.343,CR-0,place,0.38005216302,0.58810204798,-2.73379942761,-1.88682495336,-1.39298265201,-2.53368623207,-5.52168446992,-2.13682331626,CR,0
281,293,control,ap100,3.0,141.4732,CR-0,place,0.00140023820543,-1.72197012907,-6.59192089091,-5.72153771243,-2.47682584204,-1.45275193088,-2.700189741,-4.06075909407,CR,0
284,296,control,ap100,3.0,150.8955,sourcehit-2,place,-2.22918493918,-2.74814244931,-4.71061020679,1.5458215011,7.08882237509,7.67322793733,-3.28991152659,2.89931540168,sourcehit,2
287,299,control,ap100,3.0,162.1897,CR-0,place,-4.31260221394,-2.1551645355,2.61072094241,4.54033864913,4.5347254126,0.622030178319,-0.880840778239,3.07695379561,CR,0
290,302,control,ap100,3.0,172.1522,sourcehit-2,place,-0.102826892761,-1.01889568185,3.34691564456,-2.46619594973,-5.27675036757,-7.65226544706,-6.74010735849,-3.01207402995,sourcehit,2
293,308,control,ap100,3.0,193.7877,sourcehit-4,place,,,-6.07054759363,-1.63529421761,-6.25774954985,-8.2582385627,-5.95742808855,-5.55545748095,sourcehit,4
296,311,control,ap100,3.0,203.3552,M-4,place,-8.57787112976,-5.56183953781,2.83966577776,-3.53819718408,-5.24189574947,-0.880263256066,0.329923650768,-1.70517260296,M,4
299,314,control,ap100,3.0,215.0054,CR-0,place,-0.99296464752,-0.84446957295,-2.50268989958,-6.13105354373,-8.8909323108,-0.201666709541,-1.19294585394,-4.43158561591,CR,0
302,317,control,ap100,3.0,224.1514,M-4,place,-0.573146762006,-1.29925933434,-8.2711966818,-8.58440872479,-2.45696469322,-3.08065027118,-6.92285442384,-5.59830509275,M,4
305,320,control,ap100,3.0,234.65,FA-0,place,-3.57620929138,-6.82986053501,-3.95272128403,-1.50268200244,-1.83062898085,1.22385310095,7.48700046316,-1.51554479159,FA,0
308,323,control,ap100,3.0,245.6762,sourcehit-4,place,0.470515995394,7.48278676398,3.8676358864,2.77803211389,8.7302898003,16.6554395506,19.3078743512,8.0078493378,sourcehit,4
311,326,control,ap100,3.0,255.6946,sourcehit-4,place,16.1533235224,18.8523874448,10.5734046034,7.56444169578,13.6558764924,17.4502861144,15.8614832121,12.3110022265,sourcehit,4
314,329,control,ap100,3.0,264.9989,itemhit_lo-4,place,17.6300312986,15.3242027091,9.87069371714,3.73717618114,3.5813728558,-2.58428310047,-9.56253459994,3.6512399134,itemhit_lo,4
317,332,control,ap100,3.0,274.405,sourcehit-2,place,-3.03714845903,-9.26853816288,-2.479767939,6.94942072552,3.1053296033,1.68200054864,-3.9210326031,2.31424573461,sourcehit,2
320,335,control,ap100,3.0,284.1226,CR-0,place,1.00989960792,-3.63330438625,-4.0606545714,-3.89749647494,-7.08471640126,-10.6609039075,-4.4814826014,-6.42594283877,CR,0
323,338,control,ap100,4.0,0.0138,sourcemiss_hi-4,place,-1.33799926087,-1.04971193218,1.64213924928,3.40161667993,-0.427830133479,-2.16926872797,-0.0762737676053,0.61166426694,sourcemiss_hi,4
326,341,control,ap100,4.0,9.7462,M-2,place,-0.200188475274,-1.25776188362,-0.12138859616,-0.874666562491,-0.995166318738,4.33913663968,0.767593167372,0.586978790573,M,2
329,344,control,ap100,4.0,19.1725,itemhit_lo-4,place,3.87956451186,0.680865264424,-3.19963669461,4.40224128698,7.39721154245,5.02574992999,0.0505496951363,3.4063915162,itemhit_lo,4
332,347,control,ap100,4.0,29.7634,sourcehit-4,place,4.70592769929,-0.575807279844,-2.58256341216,-2.40151107809,-4.23490670168,-3.78017442198,2.37700089978,-3.24978890348,sourcehit,4
335,350,control,ap100,4.0,40.4453,CR-0,place,0.821111238254,1.4344035307,0.715490721846,1.83939276859,-0.293765265511,-0.569594154373,-0.890431573865,0.422881017638,CR,0
338,353,control,ap100,4.0,52.7992,sourcehit-2,place,-2.82865064754,1.07740668033,-1.15048792393,-3.44095369855,0.76802345553,-1.62908207887,-5.92103600628,-1.36312506145,sourcehit,2
341,356,control,ap100,4.0,61.9537,sourcehit-2,place,0.728950640525,-0.723079382078,-6.88692315903,-0.796989608757,1.61818631025,-2.4097834598,-3.6711176232,-2.11887747933,sourcehit,2
344,359,control,ap100,4.0,73.9273,M-4,place,-5.51130811773,-2.45226499171,-4.43230764815,-6.64472547527,-2.02988475184,3.34802825517,-0.635466559569,-2.43972240502,M,4
347,362,control,ap100,4.0,83.0567,sourcehit-2,place,3.01032484391,-1.27291050495,1.3528678388,5.20826712586,1.36421548066,-5.90225208071,-4.20028121767,0.505774591153,sourcehit,2
350,365,control,ap100,4.0,94.424,sourcehit-4,place,-5.90119236096,-0.93470001634,-0.688124166752,-7.84280215612,-4.29548965029,-1.79498052906,-1.53596004394,-3.65534912556,sourcehit,4
