index,run,trial,onset,duration,cond,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,ISIresp,ISIacc,ISIaccSpec,ISIrespRT
74,2,32,329.5690,9.6894,TO_4,threat,0,JACKET,pond,F,M,MI,1.8762,NR,NR,NR,999.0000
75,2,33,339.2875,12.3292,TI_2,threat,0,GOAT,diner,TI,H,HI_Lo,2.2030,NR,NR,NR,999.0000
76,2,34,351.6463,11.3364,TI_2,threat,0,KNIFE,archive,TI,H,HI_Lo,1.6020,NR,NR,NR,999.0000
77,2,35,363.0119,10.6531,TO_4,threat,0,ACCORDIAN,ice_floe,TO,H,HO_Lo,1.4880,NR,NR,NR,999.0000
78,2,36,373.6941,9.1477,F,threat,0,SYRUP,foil,F,CR,CR,1.2332,NR,NR,NR,999.0000
79,2,37,382.8714,9.7605,F,threat,0,CLOAK,foil,F,CR,CR,1.1645,NR,NR,NR,999.0000
80,2,38,392.6608,11.2684,TO_4,threat,0,BROOM,creek,TO,H,HO_Lo,2.4982,NR,NR,NR,999.0000
81,2,39,403.9582,9.7555,F,threat,0,SNAIL,foil,TO,FA,FAO_Lo,1.7364,NR,NR,NR,999.0000
82,2,40,413.7435,9.1779,TI_4,threat,0,SWORD,beauty_salon,TO,SM,SMI_Lo,2.3205,NR,NR,NR,999.0000
83,2,41,422.9506,9.7540,TO_2,threat,0,EASEL,herb_garden,TO,H,HO_Lo,1.5849,NR,NR,NR,999.0000
84,2,42,432.7337,9.6337,TO_2,threat,0,OMELET,hill,TO,H,HO_Lo,2.2001,NR,NR,NR,999.0000
85,3,1,12.0034,9.7816,F,safe,0,RING,foil,TI,FA,FAI_Lo,1.5755,NR,NR,NR,999.0000
86,3,2,21.8168,9.3895,TO_2,safe,0,BARREL,boathouse,TO,H,HO_Lo,1.9559,NR,NR,NR,999.0000
87,3,3,31.2370,9.2516,F,safe,0,WHIP,foil,F,CR,CR,1.2517,NR,NR,NR,999.0000
88,3,4,40.5193,9.8956,TO_2,safe,0,CRADLE,harbor,TI,SM,SMO_Lo,1.5485,NR,NR,NR,999.0000
89,3,5,50.4449,11.1858,TI_2,safe,0,BELL,playroom,TI,H,HI_Lo,1.7257,NR,NR,NR,999.0000
90,3,6,61.6611,9.6845,F,safe,0,SAXOPHONE,foil,F,CR,CR,1.2800,NR,NR,NR,999.0000
91,3,7,71.3765,12.3234,F,safe,0,DETECTIVE,foil,F,CR,CR,1.0273,NR,NR,NR,999.0000
92,3,8,83.7303,9.7603,TI_2,safe,0,RACQUET,galley,TO,SM,SMI_Lo,2.0615,NR,NR,NR,999.0000
93,3,9,93.5209,10.3722,F,safe,0,ORNAMENT,foil,TI,FA,FAI_Lo,1.6653,NR,NR,NR,999.0000
94,3,10,103.9239,9.1000,TI_4,safe,0,CARROT,engine_room,TI,H,HI_Lo,1.2944,NR,NR,NR,999.0000
95,3,11,113.0542,9.2739,TO_4,safe,0,ROCKER,barn,TI,SM,SMO_Lo,1.8608,NR,NR,NR,999.0000
96,3,12,122.3583,9.1475,F,safe,0,FLASK,foil,TI,FA,FAI_Lo,1.8246,NR,NR,NR,999.0000
97,3,13,131.5365,10.7075,F,safe,0,WHEAT,foil,F,CR,CR,1.0831,NR,NR,NR,999.0000
98,3,14,142.2743,9.4190,TO_2,safe,0,FIRE,beach,F,M,MI,1.4389,NR,NR,NR,999.0000
99,3,15,151.7235,11.2656,TO_4,safe,0,WALLET,electrical_substation,TI,SM,SMO_Lo,2.3051,NR,NR,NR,999.0000
100,3,16,163.0190,10.9965,TO_2,safe,0,SAIL,chalet,TI,SM,SMO_Lo,1.6984,NR,NR,NR,999.0000
101,3,17,174.0458,9.0580,F,safe,0,SANDAL,foil,F,CR,CR,1.4800,NR,NR,NR,999.0000
102,3,18,183.1340,9.9879,TO_2,safe,0,SHOWER,motel,F,M,MI,1.5946,NR,NR,NR,999.0000
103,3,19,193.1527,9.6874,TI_4,safe,0,SCOTCH,bus_interior,TI,H,HI_Lo,2.2257,NR,NR,NR,999.0000
104,3,20,202.8705,10.5694,TI_4,safe,0,BONE,home_office,TI,H,HI_Lo,1.2401,NR,NR,NR,999.0000
105,3,21,213.4703,11.3357,TI_4,safe,0,THONG,fastfood_restaurant,TI,H,HI_Lo,1.8803,NR,NR,NR,999.0000
106,3,22,224.8364,9.1772,TO_4,safe,0,BOWL,basilica,TI,SM,SMO_Lo,1.5502,NR,NR,NR,999.0000
107,3,23,234.0441,11.9414,TO_4,safe,0,RUDDER,lido_deck,TO,H,HO_Lo,1.2593,NR,NR,NR,999.0000
108,3,24,246.0159,9.9211,TO_2,safe,0,QUAIL,hangar,TI,SM,SMO_Lo,2.5233,NR,NR,NR,999.0000
109,3,25,255.9679,9.7527,F,safe,0,OWL,foil,TO,FA,FAO_Lo,2.6834,NR,NR,NR,999.0000
110,3,26,265.7509,9.9125,TO_4,safe,0,BANANA,athletic_field,F,M,MI,1.5921,NR,NR,NR,999.0000
111,3,27,275.6937,9.1231,TI_4,safe,0,RIFLE,assembly_line,TI,H,HI_Lo,2.6015,NR,NR,NR,999.0000
112,3,28,284.8480,9.8075,F,safe,0,TWEEZERS,foil,F,CR,CR,1.0116,NR,NR,NR,999.0000
113,3,29,294.6860,9.1135,TI_2,safe,0,JUGGLER,hospital_room,TI,H,HI_Lo,1.8954,NR,NR,NR,999.0000
114,3,30,303.8299,11.6812,TI_2,safe,0,ELEPHANT,basement,TI,H,HI_Lo,2.4033,NR,NR,NR,999.0000
115,3,31,315.5426,10.1953,TI_4,safe,0,TURTLE,synagogue,TO,SM,SMI_Lo,2.7932,NR,NR,NR,999.0000
116,3,32,325.7685,9.6330,TI_2,safe,0,UMBRELLA,athletic_field,TI,H,HI_Lo,2.0964,NR,NR,NR,999.0000
117,3,33,335.4320,10.1053,TI_4,safe,0,TELEGRAPH,auto_factory,TI,H,HI_Lo,2.8355,NR,NR,NR,999.0000
