index	block	cond	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType	repCount
1	1	WO	WO	Outdoor	WO_2	W175	wwBATON	Outdoor14	beach	outdoor_beach.jpg	outdoor	natural	4	1
2	1	WO	WO	Outdoor	WO_5	W22	wwDOUGHNUT	Outdoor41	dock	outdoor_dock.jpg	outdoor	natural	2	1
3	1	WI	WI	Indoor	WI_2	W25	wwTOWEL	Indoor91	office	indoor_office.jpg	indoor	indoor	4	1
4	1	WI	WI	Indoor	WI_9	W78	wwELEPHANT	Indoor20	basement	indoor_basement.jpg	indoor	indoor	2	1
5	1	WI	WI	Indoor	WI_2	W25	wwTOWEL	Indoor91	office	indoor_office.jpg	indoor	indoor	4	2
6	1	WO	WO	Outdoor	WO_14	W232	wwMAGICIAN	Outdoor47	fire_escape	outdoor_fire_escape.jpg	outdoor	manmade	4	1
7	1	WI	WI	Indoor	WI_14	W65	wwWAND	Indoor49	courtroom	indoor_courtroom.jpg	indoor	indoor	4	1
8	1	WO	WO	Outdoor	WO_7	W125	wwSCISSORS	Outdoor1	amphitheater	outdoor_amphitheater.jpg	outdoor	manmade	2	1
9	1	WO	WO	Outdoor	WO_11	W218	wwCRAB	Outdoor55	gas_station	outdoor_gas_station.jpg	outdoor	manmade	2	1
10	1	WI	WI	Indoor	WI_6	W45	wwPENNY	Indoor32	bus_interior	indoor_bus_interior.jpg	indoor	indoor	4	1
11	1	WI	WI	Indoor	WI_4	W81	wwCHERRY	Indoor96	parlor	indoor_parlor.jpg	indoor	indoor	4	1
12	1	WO	WO	Outdoor	WO_8	W197	wwGLOBE	Outdoor2	amusement_park	outdoor_amusement_park.jpg	outdoor	manmade	4	1
13	1	WI	WI	Indoor	WI_3	W19	wwROPE	Indoor61	galley	indoor_galley.jpg	indoor	indoor	2	1
14	1	WI	WI	Indoor	WI_7	W199	wwBANDAGE	Indoor104	shoe_shop	indoor_shoe_shop.jpg	indoor	indoor	2	1
15	1	WO	WO	Outdoor	WO_4	W66	wwSHARK	Outdoor116	rice_paddy	outdoor_rice_paddy.jpg	outdoor	natural	4	1
16	1	WO	WO	Outdoor	WO_9	W247	wwFENCE	Outdoor88	mosque	outdoor_mosque.jpg	outdoor	manmade	2	1
17	1	WI	WI	Indoor	WI_8	W6	wwPIGEON	Indoor112	swimming_pool	indoor_swimming_pool.jpg	indoor	indoor	4	1
18	1	WO	WO	Outdoor	WO_10	W215	wwBLANKET	Outdoor81	lighthouse	outdoor_lighthouse.jpg	outdoor	manmade	4	1
19	1	WI	WI	Indoor	WI_5	W114	wwBUTTER	Indoor35	candy_store	indoor_candy_store.jpg	indoor	indoor	2	1
20	1	WI	WI	Indoor	WI_12	W210	wwAPPLE	Indoor24	bedroom	indoor_bedroom.jpg	indoor	indoor	4	1
21	1	WI	WI	Indoor	WI_11	W201	wwASPIRIN	Indoor73	kennel	indoor_kennel.jpg	indoor	indoor	2	1
22	1	WO	WO	Outdoor	WO_6	W122	wwPEDAL	Outdoor75	islet	outdoor_islet.jpg	outdoor	natural	4	1
23	1	WI	WI	Indoor	WI_10	W194	wwCHICKEN	Indoor75	kitchen	indoor_kitchen.jpg	indoor	indoor	4	1
24	1	WI	WI	Indoor	WI_4	W81	wwCHERRY	Indoor96	parlor	indoor_parlor.jpg	indoor	indoor	4	2
25	1	WO	WO	Outdoor	WO_12	W75	wwDOVE	Outdoor53	fountain	outdoor_fountain.jpg	outdoor	manmade	4	1
26	1	WO	WO	Outdoor	WO_2	W175	wwBATON	Outdoor14	beach	outdoor_beach.jpg	outdoor	natural	4	2
27	1	WI	WI	Indoor	WI_14	W65	wwWAND	Indoor49	courtroom	indoor_courtroom.jpg	indoor	indoor	4	2
28	1	WO	WO	Outdoor	WO_10	W215	wwBLANKET	Outdoor81	lighthouse	outdoor_lighthouse.jpg	outdoor	manmade	4	2
29	1	WO	WO	Outdoor	WO_13	W12	wwSTAPLER	Outdoor71	ice_shelf	outdoor_ice_shelf.jpg	outdoor	natural	2	1
30	1	WI	WI	Indoor	WI_6	W45	wwPENNY	Indoor32	bus_interior	indoor_bus_interior.jpg	indoor	indoor	4	2
31	1	WO	WO	Outdoor	WO_14	W232	wwMAGICIAN	Outdoor47	fire_escape	outdoor_fire_escape.jpg	outdoor	manmade	4	2
32	1	WI	WI	Indoor	WI_1	W170	wwSOOT	Indoor21	bathroom	indoor_bathroom.jpg	indoor	indoor	2	1
33	1	WO	WO	Outdoor	WO_8	W197	wwGLOBE	Outdoor2	amusement_park	outdoor_amusement_park.jpg	outdoor	manmade	4	2
34	1	WO	WO	Outdoor	WO_6	W122	wwPEDAL	Outdoor75	islet	outdoor_islet.jpg	outdoor	natural	4	2
35	1	WO	WO	Outdoor	WO_4	W66	wwSHARK	Outdoor116	rice_paddy	outdoor_rice_paddy.jpg	outdoor	natural	4	2
36	1	WI	WI	Indoor	WI_13	W9	wwMAP	Indoor2	amusement_arcade	indoor_amusement_arcade.jpg	indoor	indoor	2	1
37	1	WI	WI	Indoor	WI_12	W210	wwAPPLE	Indoor24	bedroom	indoor_bedroom.jpg	indoor	indoor	4	2
38	1	WI	WI	Indoor	WI_8	W6	wwPIGEON	Indoor112	swimming_pool	indoor_swimming_pool.jpg	indoor	indoor	4	2
39	1	WO	WO	Outdoor	WO_3	W21	wwNEEDLE	Outdoor61	hayfield	outdoor_hayfield.jpg	outdoor	natural	2	1
40	1	WO	WO	Outdoor	WO_1	W155	wwBAYONET	Outdoor93	ocean	outdoor_ocean.jpg	outdoor	natural	2	1
41	1	WI	WI	Indoor	WI_10	W194	wwCHICKEN	Indoor75	kitchen	indoor_kitchen.jpg	indoor	indoor	4	2
42	1	WO	WO	Outdoor	WO_12	W75	wwDOVE	Outdoor53	fountain	outdoor_fountain.jpg	outdoor	manmade	4	2
43	2	WO	WO	Outdoor	WO_22	W181	wwHAWK	Outdoor117	river	outdoor_river.jpg	outdoor	natural	4	1
44	2	WI	WI	Indoor	WI_19	W151	wwHONEY	Indoor47	computer_room	indoor_computer_room.jpg	indoor	indoor	2	1
45	2	WI	WI	Indoor	WI_17	W62	wwSHOVEL	Indoor4	aquarium	indoor_aquarium.jpg	indoor	indoor	2	1
46	2	WI	WI	Indoor	WI_22	W137	wwKEG	Indoor40	chicken_coop	indoor_chicken_coop.jpg	indoor	indoor	4	1
47	2	WO	WO	Outdoor	WO_18	W168	wwDRUG	Outdoor32	construction_site	outdoor_construction_site.jpg	outdoor	manmade	4	1
48	2	WO	WO	Outdoor	WO_15	W200	wwTULIP	Outdoor78	landing_deck	outdoor_landing_deck.jpg	outdoor	manmade	2	1
49	2	WI	WI	Indoor	WI_22	W137	wwKEG	Indoor40	chicken_coop	indoor_chicken_coop.jpg	indoor	indoor	4	2
50	2	WO	WO	Outdoor	WO_26	W31	wwSEAL	Outdoor112	promenade_deck	outdoor_promenade_deck.jpg	outdoor	manmade	4	1
51	2	WI	WI	Indoor	WI_28	W70	wwRICE	Indoor86	music_store	indoor_music_store.jpg	indoor	indoor	4	1
52	2	WO	WO	Outdoor	WO_27	W159	wwSQUIRREL	Outdoor34	corral	outdoor_corral.jpg	outdoor	natural	2	1
53	2	WI	WI	Indoor	WI_26	W49	wwRASH	Indoor1	airplane_cabin	indoor_airplane_cabin.jpg	indoor	indoor	4	1
54	2	WI	WI	Indoor	WI_21	W1	wwSCROLL	Indoor85	natural_history_museum	indoor_natural_history_museum.jpg	indoor	indoor	2	1
55	2	WI	WI	Indoor	WI_16	W124	wwSNAIL	Indoor18	banquet_hall	indoor_banquet_hall.jpg	indoor	indoor	4	1
56	2	WO	WO	Outdoor	WO_19	W99	wwTIGER	Outdoor5	athletic_field	outdoor_athletic_field.jpg	outdoor	manmade	2	1
57	2	WO	WO	Outdoor	WO_24	W164	wwPASSPORT	Outdoor48	fire_station	outdoor_fire_station.jpg	outdoor	manmade	4	1
58	2	WO	WO	Outdoor	WO_20	W105	wwGARBAGE	Outdoor25	canal	outdoor_canal.jpg	outdoor	manmade	4	1
59	2	WI	WI	Indoor	WI_15	W138	wwVODKA	Indoor58	escalator	indoor_escalator.jpg	indoor	indoor	2	1
60	2	WO	WO	Outdoor	WO_20	W105	wwGARBAGE	Outdoor25	canal	outdoor_canal.jpg	outdoor	manmade	4	2
61	2	WI	WI	Indoor	WI_25	W90	wwCARROT	Indoor117	throne_room	indoor_throne_room.jpg	indoor	indoor	2	1
62	2	WI	WI	Indoor	WI_20	W166	wwFAN	Indoor9	athletic_field	indoor_athletic_field.jpg	indoor	indoor	4	1
63	2	WO	WO	Outdoor	WO_22	W181	wwHAWK	Outdoor117	river	outdoor_river.jpg	outdoor	natural	4	2
64	2	WI	WI	Indoor	WI_26	W49	wwRASH	Indoor1	airplane_cabin	indoor_airplane_cabin.jpg	indoor	indoor	4	2
65	2	WO	WO	Outdoor	WO_28	W37	wwACCORDIAN	Outdoor38	crosswalk	outdoor_crosswalk.jpg	outdoor	manmade	4	1
66	2	WI	WI	Indoor	WI_20	W166	wwFAN	Indoor9	athletic_field	indoor_athletic_field.jpg	indoor	indoor	4	2
67	2	WO	WO	Outdoor	WO_28	W37	wwACCORDIAN	Outdoor38	crosswalk	outdoor_crosswalk.jpg	outdoor	manmade	4	2
68	2	WI	WI	Indoor	WI_24	W192	wwORCHID	Indoor99	reception	indoor_reception.jpg	indoor	indoor	4	1
69	2	WO	WO	Outdoor	WO_23	W214	wwWALLET	Outdoor54	garbage_dump	outdoor_garbage_dump.jpg	outdoor	manmade	2	1
70	2	WO	WO	Outdoor	WO_16	W239	wwSPONGE	Outdoor98	oil_refinery	outdoor_oil_refinery.jpg	outdoor	manmade	4	1
71	2	WO	WO	Outdoor	WO_18	W168	wwDRUG	Outdoor32	construction_site	outdoor_construction_site.jpg	outdoor	manmade	4	2
72	2	WI	WI	Indoor	WI_18	W39	wwSADDLE	Indoor56	elevator	indoor_elevator.jpg	indoor	indoor	4	1
