index	block	cond	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType	repCount
1	1	WO	WO	Outdoor	WO_4	W169	wwSHEEP	Outdoor57	general_store	outdoor_general_store.jpg	outdoor	manmade	4	1
2	1	WO	WO	Outdoor	WO_10	W174	wwTRAY	Outdoor94	office_building	outdoor_office_building.jpg	outdoor	manmade	4	1
3	1	WI	WI	Indoor	WI_11	W151	wwHONEY	Indoor94	pantry	indoor_pantry.jpg	indoor	indoor	2	1
4	1	WO	WO	Outdoor	WO_6	W159	wwSQUIRREL	Outdoor8	bamboo_forest	outdoor_bamboo_forest.jpg	outdoor	natural	4	1
5	1	WO	WO	Outdoor	WO_11	W145	wwBIBLE	Outdoor117	river	outdoor_river.jpg	outdoor	natural	2	1
6	1	WI	WI	Indoor	WI_10	W2	wwSLIPPER	Indoor46	cockpit	indoor_cockpit.jpg	indoor	indoor	4	1
7	1	WI	WI	Indoor	WI_2	W62	wwSHOVEL	Indoor66	hospital_room	indoor_hospital_room.jpg	indoor	indoor	4	1
8	1	WI	WI	Indoor	WI_4	W231	wwHAM	Indoor118	toyshop	indoor_toyshop.jpg	indoor	indoor	4	1
9	1	WO	WO	Outdoor	WO_10	W174	wwTRAY	Outdoor94	office_building	outdoor_office_building.jpg	outdoor	manmade	4	2
10	1	WI	WI	Indoor	WI_1	W147	wwWOLF	Indoor63	garage	indoor_garage.jpg	indoor	indoor	2	1
11	1	WO	WO	Outdoor	WO_2	W37	wwACCORDIAN	Outdoor31	cliff	outdoor_cliff.jpg	outdoor	natural	4	1
12	1	WI	WI	Indoor	WI_6	W44	wwGEESE	Indoor113	synagogue	indoor_synagogue.jpg	indoor	indoor	4	1
13	1	WO	WO	Outdoor	WO_12	W48	wwNEST	Outdoor93	ocean	outdoor_ocean.jpg	outdoor	natural	4	1
14	1	WI	WI	Indoor	WI_7	W127	wwYACHT	Indoor30	brewery	indoor_brewery.jpg	indoor	indoor	2	1
15	1	WI	WI	Indoor	WI_5	W102	wwCLARINET	Indoor108	stable	indoor_stable.jpg	indoor	indoor	2	1
16	1	WI	WI	Indoor	WI_3	W191	wwANCHOR	Indoor102	riding_arena	indoor_riding_arena.jpg	indoor	indoor	2	1
17	1	WO	WO	Outdoor	WO_2	W37	wwACCORDIAN	Outdoor31	cliff	outdoor_cliff.jpg	outdoor	natural	4	2
18	1	WI	WI	Indoor	WI_14	W55	wwBASKET	Indoor17	ballroom	indoor_ballroom.jpg	indoor	indoor	4	1
19	1	WO	WO	Outdoor	WO_9	W173	wwPENCIL	Outdoor86	mausoleum	outdoor_mausoleum.jpg	outdoor	manmade	2	1
20	1	WO	WO	Outdoor	WO_8	W97	wwASPARAGUS	Outdoor25	canal	outdoor_canal.jpg	outdoor	manmade	4	1
21	1	WI	WI	Indoor	WI_6	W44	wwGEESE	Indoor113	synagogue	indoor_synagogue.jpg	indoor	indoor	4	2
22	1	WO	WO	Outdoor	WO_14	W56	wwBROWNIE	Outdoor58	greenhouse	outdoor_greenhouse.jpg	outdoor	manmade	4	1
23	1	WI	WI	Indoor	WI_12	W57	wwSHOWER	Indoor32	bus_interior	indoor_bus_interior.jpg	indoor	indoor	4	1
24	1	WO	WO	Outdoor	WO_5	W100	wwCANARY	Outdoor92	nuclear_power_plant	outdoor_nuclear_power_plant.jpg	outdoor	manmade	2	1
25	1	WO	WO	Outdoor	WO_8	W97	wwASPARAGUS	Outdoor25	canal	outdoor_canal.jpg	outdoor	manmade	4	2
26	1	WI	WI	Indoor	WI_9	W70	wwRICE	Indoor103	sauna	indoor_sauna.jpg	indoor	indoor	2	1
27	1	WO	WO	Outdoor	WO_12	W48	wwNEST	Outdoor93	ocean	outdoor_ocean.jpg	outdoor	natural	4	2
28	1	WI	WI	Indoor	WI_2	W62	wwSHOVEL	Indoor66	hospital_room	indoor_hospital_room.jpg	indoor	indoor	4	2
29	1	WO	WO	Outdoor	WO_14	W56	wwBROWNIE	Outdoor58	greenhouse	outdoor_greenhouse.jpg	outdoor	manmade	4	2
30	1	WI	WI	Indoor	WI_12	W57	wwSHOWER	Indoor32	bus_interior	indoor_bus_interior.jpg	indoor	indoor	4	2
31	1	WO	WO	Outdoor	WO_7	W63	wwCANDLE	Outdoor28	castle	outdoor_castle.jpg	outdoor	manmade	2	1
32	1	WI	WI	Indoor	WI_4	W231	wwHAM	Indoor118	toyshop	indoor_toyshop.jpg	indoor	indoor	4	2
33	1	WO	WO	Outdoor	WO_13	W152	wwPUMPKIN	Outdoor76	kasbah	outdoor_kasbah.jpg	outdoor	manmade	2	1
34	1	WI	WI	Indoor	WI_14	W55	wwBASKET	Indoor17	ballroom	indoor_ballroom.jpg	indoor	indoor	4	2
