index	block	cond	shockCond	shockTrial	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType
1	1	TO_2	safe	0	TO_2	Outdoor	WO_7	W63	wwCANDLE	Outdoor28	castle	outdoor_castle.jpg	outdoor	manmade	2
2	1	F	safe	0	F	FOIL	F_6	W155	wwBAYONET	FOIL	FOIL	FOIL	FOIL	FOIL	0
3	1	TI_4	safe	0	TI_4	Indoor	WI_4	W231	wwHAM	Indoor118	toyshop	indoor_toyshop.jpg	indoor	indoor	4
4	1	TO_4	safe	0	TO_4	Outdoor	WO_4	W169	wwSHEEP	Outdoor57	general_store	outdoor_general_store.jpg	outdoor	manmade	4
5	1	TO_2	safe	0	TO_2	Outdoor	WO_11	W145	wwBIBLE	Outdoor117	river	outdoor_river.jpg	outdoor	natural	2
6	1	F	safe	0	F	FOIL	F_12	W25	wwTOWEL	FOIL	FOIL	FOIL	FOIL	FOIL	0
7	1	F	safe	0	F	FOIL	F_13	W53	wwHELMET	FOIL	FOIL	FOIL	FOIL	FOIL	0
8	1	F	safe	0	F	FOIL	F_7	W198	wwANT	FOIL	FOIL	FOIL	FOIL	FOIL	0
9	1	TO_4	safe	0	TO_4	Outdoor	WO_14	W56	wwBROWNIE	Outdoor58	greenhouse	outdoor_greenhouse.jpg	outdoor	manmade	4
10	1	TO_2	safe	0	TO_2	Outdoor	WO_3	W16	wwPEARL	Outdoor82	lock_chamber	outdoor_lock_chamber.jpg	outdoor	manmade	2
11	1	F	safe	0	F	FOIL	F_2	W90	wwCARROT	FOIL	FOIL	FOIL	FOIL	FOIL	0
12	1	TI_4	safe	0	TI_4	Indoor	WI_10	W2	wwSLIPPER	Indoor46	cockpit	indoor_cockpit.jpg	indoor	indoor	4
13	1	TI_2	safe	0	TI_2	Indoor	WI_1	W147	wwWOLF	Indoor63	garage	indoor_garage.jpg	indoor	indoor	2
14	1	TO_4	safe	0	TO_4	Outdoor	WO_2	W37	wwACCORDIAN	Outdoor31	cliff	outdoor_cliff.jpg	outdoor	natural	4
15	1	TI_4	safe	0	TI_4	Indoor	WI_12	W57	wwSHOWER	Indoor32	bus_interior	indoor_bus_interior.jpg	indoor	indoor	4
16	1	TO_2	safe	0	TO_2	Outdoor	WO_5	W100	wwCANARY	Outdoor92	nuclear_power_plant	outdoor_nuclear_power_plant.jpg	outdoor	manmade	2
17	1	TI_2	safe	0	TI_2	Indoor	WI_11	W151	wwHONEY	Indoor94	pantry	indoor_pantry.jpg	indoor	indoor	2
18	1	F	safe	0	F	FOIL	F_5	W248	wwDOLL	FOIL	FOIL	FOIL	FOIL	FOIL	0
