index	block	cond	shockCond	shockTrial	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType
1	1	TI_2	threat	0	TI_2	Indoor	WI_13	W247	wwFENCE	Indoor74	kindergarden_classroom	indoor_kindergarden_classroom.jpg	indoor	indoor	2
2	1	TI_2	threat	0	TI_2	Indoor	WI_3	W181	wwHAWK	Indoor23	beauty_salon	indoor_beauty_salon.jpg	indoor	indoor	2
3	1	F	threat	0	F	FOIL	F_9	W212	wwDAMSEL	FOIL	FOIL	FOIL	FOIL	FOIL	0
4	1	F	threat	0	F	FOIL	F_10	W71	wwDUST	FOIL	FOIL	FOIL	FOIL	FOIL	0
5	1	TO_4	threat	0	TO_4	Outdoor	WO_6	W234	wwLAMB	Outdoor28	castle	outdoor_castle.jpg	outdoor	manmade	4
6	1	TO_4	threat	0	TO_4	Outdoor	WO_4	W204	wwSAIL	Outdoor94	office_building	outdoor_office_building.jpg	outdoor	manmade	4
7	1	TI_2	threat	0	TI_2	Indoor	WI_1	W214	wwWALLET	Indoor24	bedroom	indoor_bedroom.jpg	indoor	indoor	2
8	1	TO_4	threat	0	TO_4	Outdoor	WO_14	W134	wwICICLE	Outdoor1	amphitheater	outdoor_amphitheater.jpg	outdoor	manmade	4
9	1	F	threat	0	F	FOIL	F_11	W185	wwBABY	FOIL	FOIL	FOIL	FOIL	FOIL	0
10	1	TO_2	threat	0	TO_2	Outdoor	WO_3	W26	wwSHELL	Outdoor19	botanical_garden	outdoor_botanical_garden.jpg	outdoor	natural	2
11	1	TI_2	threat	0	TI_2	Indoor	WI_5	W115	wwHATCHET	Indoor50	cubicle	indoor_cubicle.jpg	indoor	indoor	2
12	1	TO_2	threat	0	TO_2	Outdoor	WO_11	W128	wwTOAST	Outdoor68	hotel	outdoor_hotel.jpg	outdoor	manmade	2
13	1	TO_2	threat	0	TO_2	Outdoor	WO_7	W117	wwHOSE	Outdoor100	pagoda	outdoor_pagoda.jpg	outdoor	manmade	2
14	1	TI_2	threat	0	TI_2	Indoor	WI_11	W168	wwDRUG	Indoor13	badminton_court	indoor_badminton_court.jpg	indoor	indoor	2
15	1	F	threat	0	F	FOIL	F_8	W100	wwCANARY	FOIL	FOIL	FOIL	FOIL	FOIL	0
16	1	TO_4	threat	0	TO_4	Outdoor	WO_12	W146	wwMEDAL	Outdoor30	chalet	outdoor_chalet.jpg	outdoor	manmade	4
17	1	F	threat	0	F	FOIL	F_4	W205	wwBOWL	FOIL	FOIL	FOIL	FOIL	FOIL	0
18	1	TI_4	threat	0	TI_4	Indoor	WI_14	W149	wwOWL	Indoor57	engine_room	indoor_engine_room.jpg	indoor	indoor	4
19	1	TO_2	threat	0	TO_2	Outdoor	WO_9	W95	wwQUAIL	Outdoor118	rock_arch	outdoor_rock_arch.jpg	outdoor	natural	2
20	1	TO_2	threat	0	TO_2	Outdoor	WO_13	W6	wwPIGEON	Outdoor42	driving_range	outdoor_driving_range.jpg	outdoor	manmade	2
21	1	F	threat	1	F	FOIL	F_14	W245	wwMILK	FOIL	FOIL	FOIL	FOIL	FOIL	0
22	1	F	threat	0	F	FOIL	F_1	W35	wwBOOT	FOIL	FOIL	FOIL	FOIL	FOIL	0
23	1	TO_4	threat	0	TO_4	Outdoor	WO_2	W107	wwCRADLE	Outdoor87	moat	outdoor_moat.jpg	outdoor	manmade	4
24	1	TO_4	threat	0	TO_4	Outdoor	WO_8	W224	wwHAMMER	Outdoor13	bayou	outdoor_bayou.jpg	outdoor	natural	4
25	1	F	threat	0	F	FOIL	F_2	W105	wwGARBAGE	FOIL	FOIL	FOIL	FOIL	FOIL	0
26	1	TO_4	threat	0	TO_4	Outdoor	WO_10	W80	wwDETECTIVE	Outdoor37	crevasse	outdoor_crevasse.jpg	outdoor	natural	4
27	1	TI_4	threat	0	TI_4	Indoor	WI_4	W42	wwCHEESE	Indoor30	brewery	indoor_brewery.jpg	indoor	indoor	4
28	1	F	threat	0	F	FOIL	F_6	W215	wwBLANKET	FOIL	FOIL	FOIL	FOIL	FOIL	0
29	1	TI_4	threat	0	TI_4	Indoor	WI_8	W96	wwSHRIMP	Indoor58	escalator	indoor_escalator.jpg	indoor	indoor	4
30	1	TI_4	threat	0	TI_4	Indoor	WI_6	W182	wwWRENCH	Indoor109	stage	indoor_stage.jpg	indoor	indoor	4
31	1	F	threat	0	F	FOIL	F_13	W93	wwALLIGATOR	FOIL	FOIL	FOIL	FOIL	FOIL	0
32	1	TO_2	threat	0	TO_2	Outdoor	WO_5	W230	wwCAMERA	Outdoor56	gazebo	outdoor_gazebo.jpg	outdoor	manmade	2
33	1	F	threat	0	F	FOIL	F_3	W174	wwTRAY	FOIL	FOIL	FOIL	FOIL	FOIL	0
34	1	TI_2	threat	0	TI_2	Indoor	WI_7	W92	wwBONE	Indoor48	control_room	indoor_control_room.jpg	indoor	indoor	2
35	1	TI_4	threat	0	TI_4	Indoor	WI_10	W28	wwMUSTARD	Indoor76	kitchenette	indoor_kitchenette.jpg	indoor	indoor	4
36	1	TI_2	threat	0	TI_2	Indoor	WI_9	W240	wwTABLE	Indoor17	ballroom	indoor_ballroom.jpg	indoor	indoor	2
37	1	F	threat	0	F	FOIL	F_7	W113	wwFORK	FOIL	FOIL	FOIL	FOIL	FOIL	0
38	1	TO_2	threat	0	TO_2	Outdoor	WO_1	W208	wwSEAWEED	Outdoor14	beach	outdoor_beach.jpg	outdoor	natural	2
39	1	F	threat	0	F	FOIL	F_12	W23	wwSALAD	FOIL	FOIL	FOIL	FOIL	FOIL	0
40	1	TI_4	threat	0	TI_4	Indoor	WI_12	W225	wwCUCUMBER	Indoor56	elevator	indoor_elevator.jpg	indoor	indoor	4
41	1	F	threat	0	F	FOIL	F_5	W251	wwBENCH	FOIL	FOIL	FOIL	FOIL	FOIL	0
42	1	TI_4	threat	0	TI_4	Indoor	WI_2	W143	wwWINE	Indoor27	bookstore	indoor_bookstore.jpg	indoor	indoor	4
43	2	F	safe	0	F	FOIL	F_15	W3	wwGLOVE	FOIL	FOIL	FOIL	FOIL	FOIL	0
44	2	F	safe	0	F	FOIL	F_22	W114	wwBUTTER	FOIL	FOIL	FOIL	FOIL	FOIL	0
45	2	F	safe	0	F	FOIL	F_28	W50	wwROSARY	FOIL	FOIL	FOIL	FOIL	FOIL	0
46	2	TO_2	safe	0	TO_2	Outdoor	WO_15	W175	wwBATON	Outdoor4	arch	outdoor_arch.jpg	outdoor	manmade	2
47	2	TI_4	safe	0	TI_4	Indoor	WI_20	W138	wwVODKA	Indoor22	bazaar	indoor_bazaar.jpg	indoor	indoor	4
48	2	TO_4	safe	0	TO_4	Outdoor	WO_26	W8	wwKILT	Outdoor99	observatory	outdoor_observatory.jpg	outdoor	manmade	4
49	2	TI_2	safe	0	TI_2	Indoor	WI_21	W82	wwCROWN	Indoor35	candy_store	indoor_candy_store.jpg	indoor	indoor	2
50	2	TO_4	safe	0	TO_4	Outdoor	WO_16	W57	wwSHOWER	Outdoor81	lighthouse	outdoor_lighthouse.jpg	outdoor	manmade	4
51	2	TO_2	safe	0	TO_2	Outdoor	WO_19	W108	wwCAGE	Outdoor75	islet	outdoor_islet.jpg	outdoor	natural	2
