,subid,group,cond,run,trial,onset,duration,acc,respRT,duration_adj,onset_adj
67,loc150,stress,object,1.0,89.0,216.1172,1.3882,1.0,0.6234,0.3882,204.1172
68,loc150,stress,place,1.0,78.0,190.6068,1.3944,1.0,0.6104,0.3944,178.6068
69,loc151,stress,face,2.0,56.0,139.5799,1.3801,1.0,0.5897,0.3801,127.5799
70,loc151,stress,object,1.5,78.0,190.65955,1.3855,1.0,0.6977,0.3855,178.65955
71,loc151,stress,place,2.0,89.0,216.1084,1.3909,1.0,0.7084,0.3909,204.1084
72,loc152,stress,face,1.0,48.0,118.5528,1.4069,1.0,0.3476,0.4069,106.5528
73,loc152,stress,object,1.0,52.0,124.6366,1.4004,1.0,0.4077,0.4004,112.6366
74,loc152,stress,place,1.0,102.5,245.35425,1.3732,1.0,0.3576,0.3732,233.35425
75,loc153,stress,face,2.0,32.0,76.5484,1.3926,1.0,0.6837,0.3926,64.5484
76,loc153,stress,object,1.0,89.0,216.1748,1.3729,1.0,0.7421,0.3729,204.1748
77,loc153,stress,place,2.0,64.0,151.5677,1.3847,1.0,0.7532,0.3847,139.5677
78,loc154,stress,face,2.0,69.0,168.2184,1.3644,1.0,0.6005,0.3644,156.2184
79,loc154,stress,object,2.0,65.0,153.1469,1.3824,1.0,0.6411,0.3824,141.1469
80,loc154,stress,place,2.0,74.0,175.5726,1.3762,1.0,0.6464,0.3762,163.5726
81,loc155,stress,face,2.0,86.0,202.6199,1.36815,1.0,0.62835,0.36815,190.6199
82,loc155,stress,object,2.0,68.0,166.6021,1.3874,1.0,0.6481,0.3874,154.6021
83,loc155,stress,place,2.0,37.0,93.0513,1.382,1.0,0.6371,0.382,81.0513
84,loc156,stress,face,1.0,52.0,124.5598,1.3995,1.0,0.4269,0.3995,112.5598
85,loc156,stress,object,2.0,46.0,115.6997,1.3791,1.0,0.5602,0.3791,103.6997
86,loc156,stress,place,1.0,76.0,178.61365,1.3793,1.0,0.5746,0.3793,166.61365
87,loc157,stress,face,2.0,67.5,165.9677,1.37295,1.0,0.56605,0.37295,153.9677
88,loc157,stress,object,2.0,53.5,126.8916,1.3865,1.0,0.6118,0.3865,114.8916
89,loc157,stress,place,2.0,64.0,151.6468,1.3803,1.0,0.63,0.3803,139.6468
90,loc158,control,face,2.0,60.0,145.5008,1.49965,1.0,0.4497,0.49965,133.5008
91,loc158,control,object,1.0,79.0,192.00185,1.4998,1.0,0.53665,0.4998,180.00185
92,loc158,control,place,1.0,58.0,142.5012,1.4997,1.0,0.5643,0.4997,130.5012
93,loc159,stress,face,1.5,55.0,133.6367,1.3887,1.0,0.3715,0.3887,121.6367
94,loc159,stress,object,2.0,57.5,141.9574,1.3832,1.0,0.42315,0.3832,129.9574
95,loc159,stress,place,2.0,96.0,226.6646,1.34925,1.0,0.5042,0.34925,214.6646
96,loc160,stress,face,2.0,64.0,151.56435,1.37485,1.0,0.22395,0.37485,139.56435
97,loc160,stress,object,1.0,70.0,169.5687,1.3995,1.0,0.2805,0.3995,157.5687
98,loc160,stress,place,1.0,51.5,123.8065,1.41315,1.0,0.2707,0.41315,111.8065
99,loc161,stress,face,2.0,76.5,183.84285,1.3884,1.0,0.6826,0.3884,171.84285
100,loc161,stress,object,1.5,71.5,171.86005,1.37515,1.0,0.78375,0.37515,159.86005
101,loc161,stress,place,2.0,47.5,117.9159,1.38185,1.0,0.7981,0.38185,105.9159
102,loc162,stress,face,2.0,89.5,216.7511,1.4998,1.0,0.4729,0.4998,204.7511
103,loc162,stress,object,1.5,55.0,133.50095,1.49955,1.0,0.5946,0.49955,121.50095
104,loc162,stress,place,2.0,62.0,148.5006,1.4998,1.0,0.5634,0.4998,136.5006
105,loc163,stress,face,1.0,52.0,124.5006,1.4997,1.0,0.5267,0.4997,112.5006
106,loc163,stress,object,2.0,82.5,197.2508,1.49975,1.0,0.547,0.49975,185.2508
107,loc163,stress,place,2.0,69.0,168.0012,1.4998,1.0,0.55825,0.4998,156.0012
108,loc164,stress,face,1.5,94.5,224.25085,1.4998,1.0,0.44375,0.4998,212.25085
109,loc164,stress,object,2.0,60.5,146.25095,1.4997,1.0,0.48495,0.4997,134.25095
110,loc164,stress,place,2.0,37.0,93.0003,1.4997,1.0,0.486,0.4997,81.0003
111,loc165,stress,face,1.5,77.0,184.50095,1.4998,1.0,0.4592,0.4998,172.50095
112,loc165,stress,object,2.0,79.0,192.0022,1.4998,1.0,0.5063,0.4998,180.0022
113,loc165,stress,place,2.0,62.5,149.25105,1.4997,1.0,0.56745,0.4997,137.25105
114,loc166,stress,face,1.5,66.0,159.0005,1.4997,1.0,0.4294,0.4997,147.0005
115,loc166,stress,object,2.0,61.5,147.7509,1.4996,1.0,0.4746,0.4996,135.7509
116,loc166,stress,place,2.0,75.5,177.75085,1.4998,1.0,0.4654,0.4998,165.75085
117,loc167,stress,face,1.0,64.0,151.5015,1.4997,1.0,0.4528,0.4997,139.5015
118,loc167,stress,object,2.0,102.0,244.502,1.4998,1.0,0.5167,0.4998,232.502
119,loc167,stress,place,1.0,49.0,120.00085,1.4997,1.0,0.49665,0.4997,108.00085
120,loc168,stress,face,1.0,58.5,143.25075,1.4997,1.0,0.36325,0.4997,131.25075
121,loc168,stress,object,2.0,65.0,153.0005,1.4999,1.0,0.3605,0.4999,141.0005
122,loc168,stress,place,1.0,71.0,171.0008,1.49965,1.0,0.3726,0.49965,159.0008
123,loc169,stress,face,2.0,80.5,194.25115,1.4997,1.0,0.4596,0.4997,182.25115
124,loc169,stress,object,1.0,89.0,216.0008,1.4996,1.0,0.5243,0.4996,204.0008
