index	block	cond	shockCond	shockTrial	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType
1	1	TO_4	safe	0	TO_4	Outdoor	WO_2	W69	wwWALRUS	Outdoor38	crosswalk	outdoor_crosswalk.jpg	outdoor	manmade	4
2	1	TI_4	safe	0	TI_4	Indoor	WI_6	W125	wwSCISSORS	Indoor119	train_station	indoor_train_station.jpg	indoor	indoor	4
3	1	F	safe	0	F	FOIL	F_6	W151	wwHONEY	FOIL	FOIL	FOIL	FOIL	FOIL	0
4	1	F	safe	0	F	FOIL	F_9	W171	wwSARDINE	FOIL	FOIL	FOIL	FOIL	FOIL	0
5	1	TI_4	safe	0	TI_4	Indoor	WI_8	W2	wwSLIPPER	Indoor19	bar	indoor_bar.jpg	indoor	indoor	4
6	1	TO_2	safe	0	TO_2	Outdoor	WO_13	W75	wwDOVE	Outdoor98	oil_refinery	outdoor_oil_refinery.jpg	outdoor	manmade	2
7	1	F	safe	0	F	FOIL	F_14	W93	wwALLIGATOR	FOIL	FOIL	FOIL	FOIL	FOIL	0
8	1	F	safe	0	F	FOIL	F_11	W163	wwROSE	FOIL	FOIL	FOIL	FOIL	FOIL	0
9	1	TO_4	safe	0	TO_4	Outdoor	WO_14	W6	wwPIGEON	Outdoor9	barn	outdoor_barn.jpg	outdoor	natural	4
10	1	TI_4	safe	0	TI_4	Indoor	WI_4	W61	wwLIGHTNING	Indoor35	candy_store	indoor_candy_store.jpg	indoor	indoor	4
11	1	TO_4	safe	0	TO_4	Outdoor	WO_6	W36	wwDAISY	Outdoor56	gazebo	outdoor_gazebo.jpg	outdoor	manmade	4
12	1	TO_2	safe	0	TO_2	Outdoor	WO_3	W211	wwTROPHY	Outdoor57	general_store	outdoor_general_store.jpg	outdoor	manmade	2
13	1	TO_4	safe	0	TO_4	Outdoor	WO_10	W199	wwBANDAGE	Outdoor61	hayfield	outdoor_hayfield.jpg	outdoor	natural	4
14	1	F	safe	0	F	FOIL	F_13	W122	wwPEDAL	FOIL	FOIL	FOIL	FOIL	FOIL	0
15	1	TO_4	safe	0	TO_4	Outdoor	WO_8	W108	wwCAGE	Outdoor112	promenade_deck	outdoor_promenade_deck.jpg	outdoor	manmade	4
16	1	TO_2	safe	0	TO_2	Outdoor	WO_1	W210	wwAPPLE	Outdoor115	railroad_track	outdoor_railroad_track.jpg	outdoor	manmade	2
17	1	F	safe	0	F	FOIL	F_5	W92	wwBONE	FOIL	FOIL	FOIL	FOIL	FOIL	0
18	1	TI_2	safe	0	TI_2	Indoor	WI_3	W183	wwSCOTCH	Indoor11	auditorium	indoor_auditorium.jpg	indoor	indoor	2
19	1	F	safe	0	F	FOIL	F_8	W56	wwBROWNIE	FOIL	FOIL	FOIL	FOIL	FOIL	0
20	1	TI_2	safe	0	TI_2	Indoor	WI_7	W167	wwSOAP	Indoor24	bedroom	indoor_bedroom.jpg	indoor	indoor	2
21	1	TO_2	safe	0	TO_2	Outdoor	WO_9	W224	wwHAMMER	Outdoor113	putting_green	outdoor_putting_green.jpg	outdoor	natural	2
22	1	TI_4	safe	0	TI_4	Indoor	WI_10	W102	wwCLARINET	Indoor90	operating_room	indoor_operating_room.jpg	indoor	indoor	4
23	1	TO_2	safe	0	TO_2	Outdoor	WO_7	W212	wwDAMSEL	Outdoor97	outhouse	outdoor_outhouse.jpg	outdoor	natural	2
24	1	TI_4	safe	0	TI_4	Indoor	WI_12	W103	wwBEAVER	Indoor13	badminton_court	indoor_badminton_court.jpg	indoor	indoor	4
25	1	TO_4	safe	0	TO_4	Outdoor	WO_12	W243	wwARMOR	Outdoor37	crevasse	outdoor_crevasse.jpg	outdoor	natural	4
26	1	F	safe	0	F	FOIL	F_2	W220	wwWHIP	FOIL	FOIL	FOIL	FOIL	FOIL	0
27	1	TI_2	safe	0	TI_2	Indoor	WI_13	W84	wwTROLLEY	Indoor44	closet	indoor_closet.jpg	indoor	indoor	2
28	1	F	safe	0	F	FOIL	F_7	W3	wwGLOVE	FOIL	FOIL	FOIL	FOIL	FOIL	0
