index,run,trial,onset,duration,cond,repType,repCount,word,pic,resp,respRT,ISIresp,ISIrespRT
1,1,1,10.0053,1.9986,WI,2,1,BASKET,reception,R,1.3993,NR,3.0000
2,1,2,22.0693,-10.0672,WO,4,1,JUGGLER,river,UR,1.5990,NR,3.0000
3,1,3,34.1268,-22.1259,WO,2,1,BRAIN,lock_chamber,UR,1.6698,NR,3.0000
4,1,4,46.1842,-34.1823,WI,4,1,STORK,florist_shop,UR,1.7162,NR,3.0000
5,1,5,58.2425,-46.2408,WI,4,1,OWL,throne_room,R,2.1821,NR,3.0000
6,1,6,70.3010,-58.2998,WO,4,1,SQUIRREL,baseball_field,R,1.5597,NR,3.0000
7,1,7,82.3595,-70.3587,WI,4,1,OPIUM,jewelry_shop,R,2.2631,NR,3.0000
8,1,8,94.4172,-82.4154,WO,2,1,RICE,lido_deck,UR,2.1258,NR,3.0000
9,1,9,106.4759,-94.4736,WO,2,1,DETECTIVE,moat,R,2.5007,NR,3.0000
10,1,10,118.5359,-106.5338,WI,2,1,CLAM,pantry,R,2.2088,NR,3.0000
11,1,11,130.5949,-118.5940,WI,4,1,KALE,television_studio,UR,1.8914,NR,3.0000
12,1,12,142.6531,-130.6511,WO,4,1,MONKEY,boathouse,UR,1.7681,NR,3.0000
13,1,13,154.7119,-142.7099,WI,2,1,DOLL,toyshop,R,1.7662,NR,3.0000
14,1,14,166.7710,-154.7688,WO,4,2,JUGGLER,river,UR,2.6519,NR,3.0000
15,1,15,178.8307,-166.8299,WO,4,2,SQUIRREL,baseball_field,R,2.2017,NR,3.0000
16,1,16,190.8887,-178.8873,WI,2,1,WINE,museum,NR,999.0000,NR,3.0000
17,1,17,202.9478,-190.9459,WI,2,1,TROLLEY,athletic_field,UR,1.4695,NR,3.0000
18,1,18,215.0065,-203.0051,WO,4,1,SHOVEL,cemetery,R,1.2657,NR,3.0000
19,1,19,227.0648,-215.0632,WO,4,1,QUAIL,forest_needleleaf,UR,1.6168,NR,3.0000
20,1,20,239.1240,-227.1222,WI,4,1,WAND,childs_room,R,1.5723,NR,3.0000
21,1,21,251.1829,-239.1812,WI,4,2,OWL,throne_room,R,1.9077,NR,3.0000
22,1,22,263.2425,-251.2414,WO,2,1,SPATULA,formal_garden,UR,1.8250,NR,3.0000
23,1,23,275.3009,-263.2998,WI,2,1,BLANKET,closet,R,2.2308,NR,3.0000
24,1,24,287.3590,-275.3582,WO,4,2,MONKEY,boathouse,UR,2.0838,NR,3.0000
25,1,25,299.4174,-287.4156,WO,4,1,OLIVE,general_store,R,2.4181,NR,3.0000
26,1,26,311.4763,-299.4745,WI,2,1,WALRUS,nursery,R,2.0383,NR,3.0000
