index	block	cond	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType	repCount
1	1	WO	WO	Outdoor	WO_4	W193	wwCLAM	Outdoor49	fishpond	outdoor_fishpond.jpg	outdoor	natural	4	1
2	1	WO	WO	Outdoor	WO_13	W94	wwORANGE	Outdoor6	badlands	outdoor_badlands.jpg	outdoor	natural	2	1
3	1	WI	WI	Indoor	WI_5	W87	wwNET	Indoor40	chicken_coop	indoor_chicken_coop.jpg	indoor	indoor	2	1
4	1	WO	WO	Outdoor	WO_10	W190	wwKALE	Outdoor18	boathouse	outdoor_boathouse.jpg	outdoor	natural	4	1
5	1	WI	WI	Indoor	WI_12	W4	wwSWORD	Indoor93	optician	indoor_optician.jpg	indoor	indoor	4	1
6	1	WO	WO	Outdoor	WO_14	W115	wwHATCHET	Outdoor31	cliff	outdoor_cliff.jpg	outdoor	natural	4	1
7	1	WO	WO	Outdoor	WO_14	W115	wwHATCHET	Outdoor31	cliff	outdoor_cliff.jpg	outdoor	natural	4	2
8	1	WI	WI	Indoor	WI_10	W30	wwROCKER	Indoor46	cockpit	indoor_cockpit.jpg	indoor	indoor	4	1
9	1	WI	WI	Indoor	WI_1	W218	wwCRAB	Indoor65	home_office	indoor_home_office.jpg	indoor	indoor	2	1
10	1	WO	WO	Outdoor	WO_8	W196	wwBROOM	Outdoor103	pasture	outdoor_pasture.jpg	outdoor	natural	4	1
11	1	WO	WO	Outdoor	WO_10	W190	wwKALE	Outdoor18	boathouse	outdoor_boathouse.jpg	outdoor	natural	4	2
12	1	WO	WO	Outdoor	WO_1	W24	wwQUILL	Outdoor28	castle	outdoor_castle.jpg	outdoor	manmade	2	1
13	1	WI	WI	Indoor	WI_10	W30	wwROCKER	Indoor46	cockpit	indoor_cockpit.jpg	indoor	indoor	4	2
14	1	WO	WO	Outdoor	WO_3	W6	wwPIGEON	Outdoor32	construction_site	outdoor_construction_site.jpg	outdoor	manmade	2	1
15	1	WI	WI	Indoor	WI_6	W206	wwTRIBE	Indoor72	jewelry_shop	indoor_jewelry_shop.jpg	indoor	indoor	4	1
16	1	WI	WI	Indoor	WI_2	W134	wwICICLE	Indoor26	bistro	indoor_bistro.jpg	indoor	indoor	4	1
17	1	WO	WO	Outdoor	WO_6	W67	wwFIDDLE	Outdoor111	power_plant	outdoor_power_plant.jpg	outdoor	manmade	4	1
18	1	WO	WO	Outdoor	WO_12	W46	wwBARREL	Outdoor115	railroad_track	outdoor_railroad_track.jpg	outdoor	manmade	4	1
19	1	WI	WI	Indoor	WI_9	W230	wwCAMERA	Indoor106	shower	indoor_shower.jpg	indoor	indoor	2	1
20	1	WI	WI	Indoor	WI_8	W157	wwSCAB	Indoor64	gymnasium	indoor_gymnasium.jpg	indoor	indoor	4	1
21	1	WI	WI	Indoor	WI_6	W206	wwTRIBE	Indoor72	jewelry_shop	indoor_jewelry_shop.jpg	indoor	indoor	4	2
22	1	WO	WO	Outdoor	WO_6	W67	wwFIDDLE	Outdoor111	power_plant	outdoor_power_plant.jpg	outdoor	manmade	4	2
23	1	WI	WI	Indoor	WI_3	W136	wwBALLOON	Indoor44	closet	indoor_closet.jpg	indoor	indoor	2	1
24	1	WO	WO	Outdoor	WO_5	W231	wwHAM	Outdoor114	raceway	outdoor_raceway.jpg	outdoor	manmade	2	1
25	1	WI	WI	Indoor	WI_8	W157	wwSCAB	Indoor64	gymnasium	indoor_gymnasium.jpg	indoor	indoor	4	2
26	1	WI	WI	Indoor	WI_2	W134	wwICICLE	Indoor26	bistro	indoor_bistro.jpg	indoor	indoor	4	2
27	1	WI	WI	Indoor	WI_4	W202	wwWALNUT	Indoor35	candy_store	indoor_candy_store.jpg	indoor	indoor	4	1
28	1	WO	WO	Outdoor	WO_11	W154	wwMOUSE	Outdoor79	lido_deck	outdoor_lido_deck.jpg	outdoor	manmade	2	1
29	1	WO	WO	Outdoor	WO_9	W73	wwCEREAL	Outdoor9	barn	outdoor_barn.jpg	outdoor	natural	2	1
30	1	WI	WI	Indoor	WI_13	W19	wwROPE	Indoor117	throne_room	indoor_throne_room.jpg	indoor	indoor	2	1
31	1	WO	WO	Outdoor	WO_2	W47	wwKNIFE	Outdoor4	arch	outdoor_arch.jpg	outdoor	manmade	4	1
32	1	WO	WO	Outdoor	WO_2	W47	wwKNIFE	Outdoor4	arch	outdoor_arch.jpg	outdoor	manmade	4	2
33	1	WI	WI	Indoor	WI_14	W111	wwSOCK	Indoor116	theater	indoor_theater.jpg	indoor	indoor	4	1
34	1	WI	WI	Indoor	WI_12	W4	wwSWORD	Indoor93	optician	indoor_optician.jpg	indoor	indoor	4	2
35	1	WI	WI	Indoor	WI_11	W184	wwQUARTER	Indoor18	banquet_hall	indoor_banquet_hall.jpg	indoor	indoor	2	1
36	1	WO	WO	Outdoor	WO_8	W196	wwBROOM	Outdoor103	pasture	outdoor_pasture.jpg	outdoor	natural	4	2
37	1	WI	WI	Indoor	WI_14	W111	wwSOCK	Indoor116	theater	indoor_theater.jpg	indoor	indoor	4	2
38	1	WO	WO	Outdoor	WO_7	W45	wwPENNY	Outdoor116	rice_paddy	outdoor_rice_paddy.jpg	outdoor	natural	2	1
39	1	WI	WI	Indoor	WI_7	W185	wwBABY	Indoor10	attic	indoor_attic.jpg	indoor	indoor	2	1
40	1	WI	WI	Indoor	WI_4	W202	wwWALNUT	Indoor35	candy_store	indoor_candy_store.jpg	indoor	indoor	4	2
41	1	WO	WO	Outdoor	WO_4	W193	wwCLAM	Outdoor49	fishpond	outdoor_fishpond.jpg	outdoor	natural	4	2
42	1	WO	WO	Outdoor	WO_12	W46	wwBARREL	Outdoor115	railroad_track	outdoor_railroad_track.jpg	outdoor	manmade	4	2
43	2	WI	WI	Indoor	WI_19	W96	wwSHRIMP	Indoor77	laundromat	indoor_laundromat.jpg	indoor	indoor	2	1
44	2	WO	WO	Outdoor	WO_21	W82	wwCROWN	Outdoor117	river	outdoor_river.jpg	outdoor	natural	2	1
45	2	WO	WO	Outdoor	WO_28	W83	wwBRAIN	Outdoor43	electrical_substation	outdoor_electrical_substation.jpg	outdoor	manmade	4	1
46	2	WI	WI	Indoor	WI_24	W59	wwSNOW	Indoor55	drugstore	indoor_drugstore.jpg	indoor	indoor	4	1
47	2	WI	WI	Indoor	WI_17	W204	wwSAIL	Indoor114	television_studio	indoor_television_studio.jpg	indoor	indoor	2	1
48	2	WO	WO	Outdoor	WO_26	W240	wwTABLE	Outdoor81	lighthouse	outdoor_lighthouse.jpg	outdoor	manmade	4	1
49	2	WO	WO	Outdoor	WO_17	W141	wwTORNADO	Outdoor2	amusement_park	outdoor_amusement_park.jpg	outdoor	manmade	2	1
50	2	WI	WI	Indoor	WI_26	W158	wwVINE	Indoor89	nursery	indoor_nursery.jpg	indoor	indoor	4	1
51	2	WO	WO	Outdoor	WO_18	W3	wwGLOVE	Outdoor93	ocean	outdoor_ocean.jpg	outdoor	natural	4	1
52	2	WO	WO	Outdoor	WO_22	W36	wwDAISY	Outdoor110	pond	outdoor_pond.jpg	outdoor	natural	4	1
53	2	WI	WI	Indoor	WI_22	W89	wwBOAT	Indoor17	ballroom	indoor_ballroom.jpg	indoor	indoor	4	1
54	2	WO	WO	Outdoor	WO_25	W199	wwBANDAGE	Outdoor11	basilica	outdoor_basilica.jpg	outdoor	manmade	2	1
55	2	WI	WI	Indoor	WI_26	W158	wwVINE	Indoor89	nursery	indoor_nursery.jpg	indoor	indoor	4	2
56	2	WO	WO	Outdoor	WO_15	W171	wwSARDINE	Outdoor48	fire_station	outdoor_fire_station.jpg	outdoor	manmade	2	1
57	2	WI	WI	Indoor	WI_27	W120	wwGORILLA	Indoor104	shoe_shop	indoor_shoe_shop.jpg	indoor	indoor	2	1
58	2	WO	WO	Outdoor	WO_20	W79	wwSCOOTER	Outdoor113	putting_green	outdoor_putting_green.jpg	outdoor	natural	4	1
59	2	WO	WO	Outdoor	WO_19	W143	wwWINE	Outdoor74	inn	outdoor_inn.jpg	outdoor	manmade	2	1
60	2	WI	WI	Indoor	WI_20	W188	wwPLUG	Indoor71	jail_cell	indoor_jail_cell.jpg	indoor	indoor	4	1
61	2	WO	WO	Outdoor	WO_18	W3	wwGLOVE	Outdoor93	ocean	outdoor_ocean.jpg	outdoor	natural	4	2
62	2	WI	WI	Indoor	WI_28	W155	wwBAYONET	Indoor99	reception	indoor_reception.jpg	indoor	indoor	4	1
63	2	WI	WI	Indoor	WI_18	W11	wwPOWDER	Indoor58	escalator	indoor_escalator.jpg	indoor	indoor	4	1
64	2	WO	WO	Outdoor	WO_26	W240	wwTABLE	Outdoor81	lighthouse	outdoor_lighthouse.jpg	outdoor	manmade	4	2
65	2	WI	WI	Indoor	WI_16	W226	wwLION	Indoor85	natural_history_museum	indoor_natural_history_museum.jpg	indoor	indoor	4	1
66	2	WI	WI	Indoor	WI_25	W252	wwNIGHTGOWN	Indoor61	galley	indoor_galley.jpg	indoor	indoor	2	1
67	2	WO	WO	Outdoor	WO_22	W36	wwDAISY	Outdoor110	pond	outdoor_pond.jpg	outdoor	natural	4	2
68	2	WI	WI	Indoor	WI_21	W69	wwWALRUS	Indoor8	assembly_line	indoor_assembly_line.jpg	indoor	indoor	2	1
69	2	WO	WO	Outdoor	WO_27	W234	wwLAMB	Outdoor107	picnic_area	outdoor_picnic_area.jpg	outdoor	natural	2	1
70	2	WO	WO	Outdoor	WO_20	W79	wwSCOOTER	Outdoor113	putting_green	outdoor_putting_green.jpg	outdoor	natural	4	2
71	2	WI	WI	Indoor	WI_18	W11	wwPOWDER	Indoor58	escalator	indoor_escalator.jpg	indoor	indoor	4	2
72	2	WO	WO	Outdoor	WO_16	W244	wwNOODLE	Outdoor16	boardwalk	outdoor_boardwalk.jpg	outdoor	natural	4	1
73	2	WI	WI	Indoor	WI_22	W89	wwBOAT	Indoor17	ballroom	indoor_ballroom.jpg	indoor	indoor	4	2
74	2	WI	WI	Indoor	WI_15	W93	wwALLIGATOR	Indoor92	orchestra_pit	indoor_orchestra_pit.jpg	indoor	indoor	2	1
75	2	WO	WO	Outdoor	WO_28	W83	wwBRAIN	Outdoor43	electrical_substation	outdoor_electrical_substation.jpg	outdoor	manmade	4	2
76	2	WI	WI	Indoor	WI_28	W155	wwBAYONET	Indoor99	reception	indoor_reception.jpg	indoor	indoor	4	2
77	2	WO	WO	Outdoor	WO_23	W243	wwARMOR	Outdoor70	ice_floe	outdoor_ice_floe.jpg	outdoor	natural	2	1
78	2	WI	WI	Indoor	WI_24	W59	wwSNOW	Indoor55	drugstore	indoor_drugstore.jpg	indoor	indoor	4	2
79	2	WI	WI	Indoor	WI_23	W31	wwSEAL	Indoor13	badminton_court	indoor_badminton_court.jpg	indoor	indoor	2	1
80	2	WO	WO	Outdoor	WO_16	W244	wwNOODLE	Outdoor16	boardwalk	outdoor_boardwalk.jpg	outdoor	natural	4	2
81	2	WI	WI	Indoor	WI_16	W226	wwLION	Indoor85	natural_history_museum	indoor_natural_history_museum.jpg	indoor	indoor	4	2
82	2	WO	WO	Outdoor	WO_24	W145	wwBIBLE	Outdoor3	aqueduct	outdoor_aqueduct.jpg	outdoor	natural	4	1
83	2	WI	WI	Indoor	WI_20	W188	wwPLUG	Indoor71	jail_cell	indoor_jail_cell.jpg	indoor	indoor	4	2
