index,run,trial,onset,duration,cond,subcond,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
1,1,1,12.0023,1.4982,place,indoor,NR,0,999.0000,NR,0,999.0000
2,1,2,13.5008,1.4999,place,outdoor,indoor,0,0.0736,outdoor,1,0.2281
3,1,3,15.0009,1.4999,place,outdoor,outdoor,1,0.4685,NR,0,999.0000
4,1,4,16.5010,1.5001,place,outdoor,NR,0,999.0000,outdoor,1,0.0957
5,1,5,18.0013,1.4989,place,indoor,NR,0,999.0000,indoor,1,0.0251
6,1,6,19.5005,1.5007,place,indoor,NR,0,999.0000,indoor,1,0.1028
7,1,7,21.0014,1.4987,place,outdoor,NR,0,999.0000,outdoor,1,0.3342
8,1,8,22.5003,1.5008,place,indoor,NR,0,999.0000,NR,0,999.0000
9,1,9,24.0014,1.4996,place,indoor,NR,0,999.0000,indoor,1,0.0406
10,1,10,25.5012,1.4992,place,outdoor,NR,0,999.0000,NR,0,999.0000
11,1,11,27.0154,10.4854,rest,rest,rest,1,999.0000,NR,1,0.0000
12,1,12,37.5011,1.4992,object,manmade,NR,0,999.0000,NR,0,999.0000
13,1,13,39.0006,1.5011,object,natural,NR,0,999.0000,natural,1,0.1216
14,1,14,40.5020,1.4988,object,manmade,NR,0,999.0000,manmade,1,0.0222
15,1,15,42.0011,1.5003,object,natural,natural,1,0.4734,NR,0,999.0000
16,1,16,43.5016,1.4989,object,manmade,NR,0,999.0000,manmade,1,0.0314
17,1,17,45.0007,1.5001,object,manmade,NR,0,999.0000,natural,0,0.0129
18,1,18,46.5011,1.5002,object,natural,NR,0,999.0000,natural,1,0.0450
19,1,19,48.0015,1.4992,object,natural,natural,1,0.4799,NR,0,999.0000
20,1,20,49.5009,1.4998,object,manmade,NR,0,999.0000,manmade,1,0.0206
21,1,21,51.0009,1.5000,object,natural,NR,0,999.0000,NR,0,999.0000
22,1,22,52.5155,10.4854,rest,rest,rest,1,999.0000,NR,1,0.0000
23,1,23,63.0012,1.5000,face,female,NR,0,999.0000,female,1,0.2565
24,1,24,64.5015,1.4998,face,male,NR,0,999.0000,male,1,0.0479
25,1,25,66.0017,1.4985,face,male,male,1,0.4228,NR,0,999.0000
26,1,26,67.5004,1.5002,face,female,female,1,0.4594,NR,0,999.0000
27,1,27,69.0008,1.4995,face,male,male,1,0.4713,NR,0,999.0000
28,1,28,70.5006,1.5006,face,female,NR,0,999.0000,female,1,0.0185
29,1,29,72.0014,1.4995,face,male,NR,0,999.0000,NR,0,999.0000
30,1,30,73.5011,1.4998,face,female,female,1,0.4531,NR,0,999.0000
31,1,31,75.0011,1.5003,face,male,male,1,0.4206,NR,0,999.0000
32,1,32,76.5017,1.4992,face,female,female,1,0.4213,NR,0,999.0000
33,1,33,78.0161,10.4850,rest,rest,rest,1,999.0000,NR,1,0.0000
34,1,34,88.5013,1.5007,place,outdoor,NR,0,999.0000,outdoor,1,0.0046
35,1,35,90.0023,1.4993,place,outdoor,NR,0,999.0000,outdoor,1,0.0336
36,1,36,91.5019,1.4993,place,indoor,outdoor,0,0.4672,indoor,1,0.1513
37,1,37,93.0015,1.4995,place,outdoor,outdoor,1,0.4024,NR,0,999.0000
38,1,38,94.5012,1.4999,place,outdoor,NR,0,999.0000,outdoor,1,0.3934
39,1,39,96.0013,1.4995,place,indoor,NR,0,999.0000,indoor,1,0.1031
40,1,40,97.5011,1.4993,place,outdoor,NR,0,999.0000,outdoor,1,0.0521
41,1,41,99.0006,1.5006,place,indoor,NR,0,999.0000,indoor,1,0.3299
42,1,42,100.5015,1.4990,place,indoor,NR,0,999.0000,indoor,1,0.1377
43,1,43,102.0007,1.4994,place,indoor,outdoor,0,0.3731,indoor,1,0.6552
44,1,44,103.5167,10.4846,rest,rest,rest,1,999.0000,NR,1,0.0000
45,1,45,114.0015,1.4996,object,manmade,NR,0,999.0000,manmade,1,0.0531
46,1,46,115.5014,1.4990,object,natural,NR,0,999.0000,natural,1,0.0655
47,1,47,117.0008,1.4998,object,natural,NR,0,999.0000,natural,1,0.2296
48,1,48,118.5008,1.4994,object,manmade,NR,0,999.0000,manmade,1,0.0330
49,1,49,120.0005,1.5008,object,natural,natural,1,0.4704,NR,0,999.0000
50,1,50,121.5015,1.4990,object,natural,natural,1,0.4504,NR,0,999.0000
51,1,51,123.0007,1.4995,object,natural,natural,1,0.3864,NR,0,999.0000
52,1,52,124.5005,1.4998,object,manmade,manmade,1,0.3663,NR,0,999.0000
53,1,53,126.0005,1.5003,object,manmade,NR,0,999.0000,manmade,1,0.0560
54,1,54,127.5010,1.4992,object,manmade,manmade,1,0.4499,NR,0,999.0000
55,1,55,129.0174,10.4830,rest,rest,rest,1,999.0000,NR,1,0.0000
56,1,56,139.5006,1.4997,place,outdoor,NR,0,999.0000,outdoor,1,0.5783
57,1,57,141.0007,1.5010,place,outdoor,NR,0,999.0000,outdoor,1,0.1476
58,1,58,142.5019,1.4983,place,indoor,NR,0,999.0000,indoor,1,0.1057
59,1,59,144.0004,1.5003,place,outdoor,NR,0,999.0000,outdoor,1,0.0665
60,1,60,145.5010,1.4999,place,indoor,NR,0,999.0000,NR,0,999.0000
61,1,61,147.0011,1.4998,place,indoor,outdoor,0,0.3886,indoor,1,0.4850
62,1,62,148.5012,1.4991,place,indoor,NR,0,999.0000,indoor,1,0.1618
63,1,63,150.0005,1.5008,place,outdoor,NR,0,999.0000,NR,0,999.0000
64,1,64,151.5016,1.4998,place,indoor,NR,0,999.0000,NR,0,999.0000
65,1,65,153.0016,1.4985,place,outdoor,NR,0,999.0000,outdoor,1,0.0980
66,1,66,154.5179,10.4830,rest,rest,rest,1,999.0000,NR,1,0.0000
67,1,67,165.0011,1.4997,face,male,NR,0,999.0000,female,0,0.2717
68,1,68,166.5011,1.4994,face,female,female,1,0.4546,NR,0,999.0000
69,1,69,168.0009,1.4994,face,female,female,1,0.3945,NR,0,999.0000
70,1,70,169.5005,1.5008,face,male,male,1,0.3831,NR,0,999.0000
71,1,71,171.0015,1.4991,face,female,female,1,0.4567,NR,0,999.0000
72,1,72,172.5008,1.4996,face,male,NR,0,999.0000,NR,0,999.0000
73,1,73,174.0006,1.4999,face,female,female,1,0.4055,NR,0,999.0000
74,1,74,175.5008,1.5005,face,female,NR,0,999.0000,female,1,0.2091
75,1,75,177.0015,1.4992,face,male,male,1,0.4532,NR,0,999.0000
76,1,76,178.5010,1.5002,face,male,male,1,0.4529,NR,0,999.0000
77,1,77,180.0186,10.4820,rest,rest,rest,1,999.0000,NR,1,0.0000
78,1,78,190.5009,1.5008,face,male,NR,0,999.0000,male,1,0.0277
79,1,79,192.0020,1.4997,face,female,female,1,0.3374,NR,0,999.0000
80,1,80,193.5020,1.4986,face,female,female,1,0.3751,NR,0,999.0000
81,1,81,195.0009,1.5000,face,male,male,1,0.4024,NR,0,999.0000
82,1,82,196.5011,1.4990,face,male,NR,0,999.0000,NR,0,999.0000
83,1,83,198.0004,1.4998,face,female,female,1,0.4349,NR,0,999.0000
84,1,84,199.5004,1.5002,face,male,NR,0,999.0000,male,1,0.0157
85,1,85,201.0008,1.5003,face,female,NR,0,999.0000,NR,0,999.0000
86,1,86,202.5014,1.4994,face,female,female,1,0.4319,NR,0,999.0000
87,1,87,204.0011,1.4992,face,male,NR,0,999.0000,male,1,0.0825
88,1,88,205.5192,10.4812,rest,rest,rest,1,999.0000,NR,1,0.0000
89,1,89,216.0007,1.5013,object,natural,NR,0,999.0000,natural,1,0.5134
90,1,90,217.5022,1.4999,object,manmade,NR,0,999.0000,manmade,1,0.3579
91,1,91,219.0024,1.4985,object,manmade,NR,0,999.0000,manmade,1,0.1540
92,1,92,220.5011,1.4996,object,manmade,NR,0,999.0000,manmade,1,0.6087
93,1,93,222.0009,1.4997,object,natural,natural,1,0.4156,NR,0,999.0000
94,1,94,223.5008,1.4997,object,natural,natural,1,0.4453,NR,0,999.0000
95,1,95,225.0007,1.4995,object,manmade,NR,0,999.0000,manmade,1,0.0171
96,1,96,226.5004,1.5008,object,manmade,NR,0,999.0000,manmade,1,0.3473
97,1,97,228.0015,1.4990,object,natural,natural,1,0.4477,NR,0,999.0000
98,1,98,229.5008,1.5004,object,natural,NR,0,999.0000,natural,1,0.0068
99,1,99,231.0198,10.4806,rest,rest,rest,1,999.0000,NR,1,0.0000
100,1,100,241.5007,1.4998,place,outdoor,NR,0,999.0000,outdoor,1,0.1116
101,1,101,243.0008,1.4993,place,outdoor,outdoor,1,0.4279,NR,0,999.0000
102,1,102,244.5004,1.4998,place,indoor,indoor,1,0.3544,NR,0,999.0000
103,1,103,246.0004,1.4997,place,outdoor,outdoor,1,0.3248,NR,0,999.0000
104,1,104,247.5004,1.5008,place,indoor,NR,0,999.0000,indoor,1,0.3402
105,1,105,249.0014,1.4997,place,indoor,NR,0,999.0000,indoor,1,0.0710
106,1,106,250.5013,1.4999,place,indoor,NR,0,999.0000,indoor,1,0.0114
107,1,107,252.0015,1.4992,place,outdoor,NR,0,999.0000,outdoor,1,0.0194
108,1,108,253.5009,1.5004,place,indoor,NR,0,999.0000,indoor,1,0.2551
109,1,109,255.0016,1.4998,place,outdoor,NR,0,999.0000,outdoor,1,0.0806
110,1,110,256.5204,10.4799,rest,rest,rest,1,999.0000,NR,1,0.0000
111,1,111,267.0005,1.5001,face,female,NR,0,999.0000,female,1,0.2182
112,1,112,268.5009,1.5009,face,male,male,1,0.3946,NR,0,999.0000
113,1,113,270.0022,1.4990,face,male,NR,0,999.0000,male,1,0.0688
114,1,114,271.5014,1.4999,face,male,NR,0,999.0000,male,1,0.0117
115,1,115,273.0015,1.4996,face,female,female,1,0.4590,NR,0,999.0000
116,1,116,274.5013,1.4992,face,male,male,1,0.4364,NR,0,999.0000
117,1,117,276.0008,1.4998,face,female,female,1,0.3192,NR,0,999.0000
118,1,118,277.5008,1.4997,face,female,NR,0,999.0000,female,1,0.0434
119,1,119,279.0007,1.5007,face,male,male,1,0.3752,NR,0,999.0000
120,1,120,280.5016,1.4987,face,female,female,1,0.4128,NR,0,999.0000
121,1,121,282.0040,10.4964,rest,rest,rest,1,999.0000,NR,1,0.0000
122,1,122,292.5007,1.5006,object,natural,NR,0,999.0000,natural,1,0.1483
123,1,123,294.0016,1.4989,object,natural,natural,1,0.4396,NR,0,999.0000
124,1,124,295.5008,1.4999,object,manmade,manmade,1,0.4547,NR,0,999.0000
125,1,125,297.0009,1.4993,object,natural,natural,1,0.3728,NR,0,999.0000
126,1,126,298.5004,1.4999,object,natural,natural,1,0.4451,NR,0,999.0000
127,1,127,300.0006,1.5007,object,natural,NR,0,999.0000,natural,1,0.0063
128,1,128,301.5016,1.4997,object,manmade,natural,0,0.4183,manmade,1,0.1941
129,1,129,303.0015,1.4999,object,manmade,NR,0,999.0000,manmade,1,0.0441
130,1,130,304.5016,1.4985,object,manmade,NR,0,999.0000,manmade,1,0.0117
