,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
66,CR,,70.0,mni,sourcehit-cr,smoothed,ap113,-88.3228759766,control
67,FA,,70.0,mni,sourcehit-cr,smoothed,ap113,-79.1064071655,control
68,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap113,263.603637695,control
69,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap113,-20.8002624512,control
70,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap113,314.827941895,control
71,M,,70.0,mni,sourcehit-cr,smoothed,ap113,-210.424346924,control
72,CR,,70.0,mni,sourcehit-cr,smoothed,ap114,703.737792969,control
73,FA,,70.0,mni,sourcehit-cr,smoothed,ap114,283.737792969,control
74,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap114,948.119995117,control
75,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap114,507.238830566,control
76,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap114,1726.4342041,control
77,M,,70.0,mni,sourcehit-cr,smoothed,ap114,388.315124512,control
78,CR,,70.0,mni,sourcehit-cr,smoothed,ap115,-591.565429688,control
79,FA,,70.0,mni,sourcehit-cr,smoothed,ap115,-434.494812012,control
80,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap115,353.808532715,control
81,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap115,-655.673217773,control
82,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap115,247.644088745,control
83,M,,70.0,mni,sourcehit-cr,smoothed,ap115,-1054.13085938,control
84,CR,,70.0,mni,sourcehit-cr,smoothed,ap116,257.534820557,control
85,FA,,70.0,mni,sourcehit-cr,smoothed,ap116,1218.34631348,control
86,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap116,813.620727539,control
87,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap116,492.62789917,control
88,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap116,819.572998047,control
89,M,,70.0,mni,sourcehit-cr,smoothed,ap116,-262.445800781,control
