,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
873,CR,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,38.6208267212,control
901,FA,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,-788.870788574,control
902,FA,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,-573.392456055,control
930,sourcehit,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,238.222717285,control
931,sourcehit,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,282.550994873,control
959,itemhit_lo,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,-618.034729004,control
960,itemhit_lo,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,-403.767303467,control
988,sourcemiss_hi,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,-294.84085083,control
989,sourcemiss_hi,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,-247.46585083,control
1017,M,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,-607.006103516,control
1018,M,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,-335.341766357,control
1046,CR,lh,58.0,epi,hippocampus-head,unsmoothed,ap107,-670.59954834,control
1047,CR,rh,64.0,epi,hippocampus-head,unsmoothed,ap107,-581.94543457,control
1075,FA,lh,58.0,epi,hippocampus-head,unsmoothed,ap107,-851.167785645,control
1076,FA,rh,64.0,epi,hippocampus-head,unsmoothed,ap107,-832.027893066,control
1104,sourcehit,lh,58.0,epi,hippocampus-head,unsmoothed,ap107,146.624694824,control
1105,sourcehit,rh,64.0,epi,hippocampus-head,unsmoothed,ap107,77.6778869629,control
1133,itemhit_lo,lh,58.0,epi,hippocampus-head,unsmoothed,ap107,-726.764953613,control
1134,itemhit_lo,rh,64.0,epi,hippocampus-head,unsmoothed,ap107,-703.431396484,control
1162,sourcemiss_hi,lh,58.0,epi,hippocampus-head,unsmoothed,ap107,-693.20715332,control
1163,sourcemiss_hi,rh,64.0,epi,hippocampus-head,unsmoothed,ap107,-739.866577148,control
1191,M,lh,58.0,epi,hippocampus-head,unsmoothed,ap107,-1175.55834961,control
1192,M,rh,64.0,epi,hippocampus-head,unsmoothed,ap107,-1053.14941406,control
1220,CR,lh,65.0,epi,hippocampus-head,unsmoothed,ap108,14.4937124252,control
1221,CR,rh,65.0,epi,hippocampus-head,unsmoothed,ap108,110.991607666,control
1249,FA,lh,65.0,epi,hippocampus-head,unsmoothed,ap108,-381.077697754,control
1250,FA,rh,65.0,epi,hippocampus-head,unsmoothed,ap108,-218.645141602,control
1278,sourcehit,lh,65.0,epi,hippocampus-head,unsmoothed,ap108,-339.416290283,control
1279,sourcehit,rh,65.0,epi,hippocampus-head,unsmoothed,ap108,-362.038360596,control
1307,itemhit_lo,lh,65.0,epi,hippocampus-head,unsmoothed,ap108,-763.483459473,control
1308,itemhit_lo,rh,65.0,epi,hippocampus-head,unsmoothed,ap108,-402.105438232,control
1336,sourcemiss_hi,lh,65.0,epi,hippocampus-head,unsmoothed,ap108,374.003295898,control
1337,sourcemiss_hi,rh,65.0,epi,hippocampus-head,unsmoothed,ap108,664.854309082,control
1365,M,lh,65.0,epi,hippocampus-head,unsmoothed,ap108,-687.652832031,control
1366,M,rh,65.0,epi,hippocampus-head,unsmoothed,ap108,-747.737609863,control
1394,CR,lh,62.0,epi,hippocampus-head,unsmoothed,ap109,19.4368877411,control
1395,CR,rh,70.0,epi,hippocampus-head,unsmoothed,ap109,170.984512329,control
1423,FA,lh,62.0,epi,hippocampus-head,unsmoothed,ap109,-34.0418663025,control
1424,FA,rh,70.0,epi,hippocampus-head,unsmoothed,ap109,196.021026611,control
1452,sourcehit,lh,62.0,epi,hippocampus-head,unsmoothed,ap109,58.7262077332,control
1453,sourcehit,rh,70.0,epi,hippocampus-head,unsmoothed,ap109,233.565322876,control
