,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
823,sourcemiss_hi,rh,49.0,epi,DefaultC_Rsp,unsmoothed,ap104,927.249572754,control
851,M,lh,46.0,epi,DefaultC_Rsp,unsmoothed,ap104,-432.848510742,control
852,M,rh,49.0,epi,DefaultC_Rsp,unsmoothed,ap104,-636.805786133,control
880,CR,lh,34.0,epi,DefaultC_Rsp,unsmoothed,ap105,-408.181365967,control
881,CR,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap105,21.2553730011,control
909,FA,lh,34.0,epi,DefaultC_Rsp,unsmoothed,ap105,-590.097473145,control
910,FA,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap105,222.680206299,control
938,sourcehit,lh,34.0,epi,DefaultC_Rsp,unsmoothed,ap105,164.271392822,control
939,sourcehit,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap105,2528.74267578,control
967,itemhit_lo,lh,34.0,epi,DefaultC_Rsp,unsmoothed,ap105,-1142.07336426,control
968,itemhit_lo,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap105,474.635925293,control
996,sourcemiss_hi,lh,34.0,epi,DefaultC_Rsp,unsmoothed,ap105,1270.52050781,control
997,sourcemiss_hi,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap105,3502.69677734,control
1025,M,lh,34.0,epi,DefaultC_Rsp,unsmoothed,ap105,-623.990722656,control
1026,M,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap105,257.273376465,control
1054,CR,lh,40.0,epi,DefaultC_Rsp,unsmoothed,ap107,-34.6920661926,control
1055,CR,rh,49.0,epi,DefaultC_Rsp,unsmoothed,ap107,-376.633850098,control
1083,FA,lh,40.0,epi,DefaultC_Rsp,unsmoothed,ap107,-221.667816162,control
1084,FA,rh,49.0,epi,DefaultC_Rsp,unsmoothed,ap107,-761.1953125,control
1112,sourcehit,lh,40.0,epi,DefaultC_Rsp,unsmoothed,ap107,1762.55786133,control
1113,sourcehit,rh,49.0,epi,DefaultC_Rsp,unsmoothed,ap107,1525.60070801,control
1141,itemhit_lo,lh,40.0,epi,DefaultC_Rsp,unsmoothed,ap107,1220.2890625,control
1142,itemhit_lo,rh,49.0,epi,DefaultC_Rsp,unsmoothed,ap107,1145.3182373,control
1170,sourcemiss_hi,lh,40.0,epi,DefaultC_Rsp,unsmoothed,ap107,1842.88244629,control
1171,sourcemiss_hi,rh,49.0,epi,DefaultC_Rsp,unsmoothed,ap107,1489.58447266,control
1199,M,lh,40.0,epi,DefaultC_Rsp,unsmoothed,ap107,-780.528015137,control
1200,M,rh,49.0,epi,DefaultC_Rsp,unsmoothed,ap107,-1099.07141113,control
1228,CR,lh,39.0,epi,DefaultC_Rsp,unsmoothed,ap108,993.029418945,control
1229,CR,rh,42.0,epi,DefaultC_Rsp,unsmoothed,ap108,530.344238281,control
1257,FA,lh,39.0,epi,DefaultC_Rsp,unsmoothed,ap108,823.2734375,control
1258,FA,rh,42.0,epi,DefaultC_Rsp,unsmoothed,ap108,-127.992362976,control
1286,sourcehit,lh,39.0,epi,DefaultC_Rsp,unsmoothed,ap108,1859.20349121,control
1287,sourcehit,rh,42.0,epi,DefaultC_Rsp,unsmoothed,ap108,1146.39526367,control
1315,itemhit_lo,lh,39.0,epi,DefaultC_Rsp,unsmoothed,ap108,850.795349121,control
1316,itemhit_lo,rh,42.0,epi,DefaultC_Rsp,unsmoothed,ap108,160.742538452,control
1344,sourcemiss_hi,lh,39.0,epi,DefaultC_Rsp,unsmoothed,ap108,2860.1652832,control
1345,sourcemiss_hi,rh,42.0,epi,DefaultC_Rsp,unsmoothed,ap108,1653.17578125,control
1373,M,lh,39.0,epi,DefaultC_Rsp,unsmoothed,ap108,-712.905090332,control
1374,M,rh,42.0,epi,DefaultC_Rsp,unsmoothed,ap108,-587.746887207,control
1402,CR,lh,49.0,epi,DefaultC_Rsp,unsmoothed,ap109,-170.147506714,control
1403,CR,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap109,-241.446807861,control
1431,FA,lh,49.0,epi,DefaultC_Rsp,unsmoothed,ap109,119.548339844,control
1432,FA,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap109,-390.708770752,control
1460,sourcehit,lh,49.0,epi,DefaultC_Rsp,unsmoothed,ap109,837.939025879,control
1461,sourcehit,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap109,270.349884033,control
1489,itemhit_lo,lh,49.0,epi,DefaultC_Rsp,unsmoothed,ap109,486.148010254,control
1490,itemhit_lo,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap109,197.292358398,control
1518,sourcemiss_hi,lh,49.0,epi,DefaultC_Rsp,unsmoothed,ap109,1828.59326172,control
1519,sourcemiss_hi,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap109,1398.71264648,control
1547,M,lh,49.0,epi,DefaultC_Rsp,unsmoothed,ap109,-77.3239135742,control
1548,M,rh,43.0,epi,DefaultC_Rsp,unsmoothed,ap109,-89.7350006104,control
1576,CR,lh,58.0,epi,DefaultC_Rsp,unsmoothed,ap110,-1545.48620605,control
1577,CR,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap110,-1534.77099609,control
1605,FA,lh,58.0,epi,DefaultC_Rsp,unsmoothed,ap110,-604.183105469,control
1606,FA,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap110,-604.141357422,control
1634,sourcehit,lh,58.0,epi,DefaultC_Rsp,unsmoothed,ap110,462.671630859,control
1635,sourcehit,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap110,361.750061035,control
1663,itemhit_lo,lh,58.0,epi,DefaultC_Rsp,unsmoothed,ap110,-715.506286621,control
1664,itemhit_lo,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap110,-1214.78942871,control
1692,sourcemiss_hi,lh,58.0,epi,DefaultC_Rsp,unsmoothed,ap110,2805.0859375,control
