,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
2852,sourcehit,lh,62.0,epi,DefaultC_Rsp,unsmoothed,ap118,2629.71777344,control
2853,sourcehit,rh,48.0,epi,DefaultC_Rsp,unsmoothed,ap118,2329.52514648,control
2881,itemhit_lo,lh,62.0,epi,DefaultC_Rsp,unsmoothed,ap118,142.125656128,control
2882,itemhit_lo,rh,48.0,epi,DefaultC_Rsp,unsmoothed,ap118,-488.698577881,control
2910,sourcemiss_hi,lh,62.0,epi,DefaultC_Rsp,unsmoothed,ap118,1763.89172363,control
2911,sourcemiss_hi,rh,48.0,epi,DefaultC_Rsp,unsmoothed,ap118,1441.79748535,control
2939,M,lh,62.0,epi,DefaultC_Rsp,unsmoothed,ap118,-165.514724731,control
2940,M,rh,48.0,epi,DefaultC_Rsp,unsmoothed,ap118,-537.461547852,control
2968,CR,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap119,-1705.23815918,control
2969,CR,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap119,-2069.59619141,control
2997,FA,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap119,469.288696289,control
2998,FA,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap119,-305.721282959,control
3026,sourcehit,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap119,1497.3659668,control
3027,sourcehit,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap119,1678.98608398,control
3055,itemhit_lo,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap119,-86.6621627808,control
3056,itemhit_lo,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap119,45.2425880432,control
3084,sourcemiss_hi,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap119,1943.19616699,control
3085,sourcemiss_hi,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap119,2458.15405273,control
3113,M,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap119,-1530.14929199,control
3114,M,rh,52.0,epi,DefaultC_Rsp,unsmoothed,ap119,-2224.35473633,control
3142,CR,lh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-264.131744385,control
3143,CR,rh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-232.106719971,control
