,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
51,itemhit_lo,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap109,370.582397461,control
52,sourcemiss_hi,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap109,650.680358887,control
53,M,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap109,-408.432220459,control
54,CR,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap110,-1345.3963623,control
55,FA,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap110,-995.041748047,control
56,sourcehit,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap110,-322.435394287,control
57,itemhit_lo,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap110,-1044.15600586,control
58,sourcemiss_hi,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap110,-73.2440261841,control
59,M,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap110,-1130.37426758,control
60,CR,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap111,-1456.65930176,control
61,FA,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap111,-1192.28039551,control
62,sourcehit,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap111,945.74407959,control
63,itemhit_lo,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap111,-362.846588135,control
64,sourcemiss_hi,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap111,868.214355469,control
65,M,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap111,-1720.60119629,control
66,CR,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap113,-137.109085083,control
67,FA,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap113,3.30612897873,control
68,sourcehit,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap113,896.767028809,control
69,itemhit_lo,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap113,415.577209473,control
70,sourcemiss_hi,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap113,569.590087891,control
