,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
870,CR,lh,30.0,epi,hippocampus-tail,unsmoothed,ap105,314.317474365,control
871,CR,rh,26.0,epi,hippocampus-tail,unsmoothed,ap105,820.806213379,control
899,FA,lh,30.0,epi,hippocampus-tail,unsmoothed,ap105,479.498748779,control
900,FA,rh,26.0,epi,hippocampus-tail,unsmoothed,ap105,1089.9473877,control
928,sourcehit,lh,30.0,epi,hippocampus-tail,unsmoothed,ap105,774.915100098,control
929,sourcehit,rh,26.0,epi,hippocampus-tail,unsmoothed,ap105,1273.64379883,control
957,itemhit_lo,lh,30.0,epi,hippocampus-tail,unsmoothed,ap105,305.557525635,control
958,itemhit_lo,rh,26.0,epi,hippocampus-tail,unsmoothed,ap105,598.983642578,control
986,sourcemiss_hi,lh,30.0,epi,hippocampus-tail,unsmoothed,ap105,783.706420898,control
987,sourcemiss_hi,rh,26.0,epi,hippocampus-tail,unsmoothed,ap105,1706.9576416,control
1015,M,lh,30.0,epi,hippocampus-tail,unsmoothed,ap105,198.636291504,control
1016,M,rh,26.0,epi,hippocampus-tail,unsmoothed,ap105,679.617919922,control
1044,CR,lh,22.0,epi,hippocampus-tail,unsmoothed,ap107,-311.679748535,control
1045,CR,rh,27.0,epi,hippocampus-tail,unsmoothed,ap107,-359.696655273,control
1073,FA,lh,22.0,epi,hippocampus-tail,unsmoothed,ap107,-482.818878174,control
1074,FA,rh,27.0,epi,hippocampus-tail,unsmoothed,ap107,-248.942474365,control
1102,sourcehit,lh,22.0,epi,hippocampus-tail,unsmoothed,ap107,372.536804199,control
1103,sourcehit,rh,27.0,epi,hippocampus-tail,unsmoothed,ap107,377.640838623,control
1131,itemhit_lo,lh,22.0,epi,hippocampus-tail,unsmoothed,ap107,-115.825317383,control
1132,itemhit_lo,rh,27.0,epi,hippocampus-tail,unsmoothed,ap107,610.352050781,control
1160,sourcemiss_hi,lh,22.0,epi,hippocampus-tail,unsmoothed,ap107,-56.8150405884,control
1161,sourcemiss_hi,rh,27.0,epi,hippocampus-tail,unsmoothed,ap107,197.537124634,control
1189,M,lh,22.0,epi,hippocampus-tail,unsmoothed,ap107,-773.440368652,control
1190,M,rh,27.0,epi,hippocampus-tail,unsmoothed,ap107,-981.019042969,control
