,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
615,itemhit_lo,lh,131.0,epi,hippocampus,unsmoothed,ap103,-358.844085693,control
616,itemhit_lo,rh,126.0,epi,hippocampus,unsmoothed,ap103,-685.128540039,control
617,itemhit_lo,bilat,257.0,epi,hippocampus,unsmoothed,ap103,-518.81237793,control
644,sourcemiss_hi,lh,131.0,epi,hippocampus,unsmoothed,ap103,-506.520751953,control
645,sourcemiss_hi,rh,126.0,epi,hippocampus,unsmoothed,ap103,-588.617858887,control
646,sourcemiss_hi,bilat,257.0,epi,hippocampus,unsmoothed,ap103,-546.770690918,control
673,M,lh,131.0,epi,hippocampus,unsmoothed,ap103,-745.934265137,control
674,M,rh,126.0,epi,hippocampus,unsmoothed,ap103,-857.643493652,control
675,M,bilat,257.0,epi,hippocampus,unsmoothed,ap103,-800.702209473,control
702,CR,lh,150.0,epi,hippocampus,unsmoothed,ap104,-601.577392578,control
703,CR,rh,143.0,epi,hippocampus,unsmoothed,ap104,-646.571899414,control
704,CR,bilat,293.0,epi,hippocampus,unsmoothed,ap104,-623.537231445,control
731,FA,lh,150.0,epi,hippocampus,unsmoothed,ap104,-804.165222168,control
732,FA,rh,143.0,epi,hippocampus,unsmoothed,ap104,-1177.07324219,control
733,FA,bilat,293.0,epi,hippocampus,unsmoothed,ap104,-986.164672852,control
760,sourcehit,lh,150.0,epi,hippocampus,unsmoothed,ap104,-193.292037964,control
761,sourcehit,rh,143.0,epi,hippocampus,unsmoothed,ap104,-277.207122803,control
762,sourcehit,bilat,293.0,epi,hippocampus,unsmoothed,ap104,-234.247177124,control
789,itemhit_lo,lh,150.0,epi,hippocampus,unsmoothed,ap104,0.0,control
790,itemhit_lo,rh,143.0,epi,hippocampus,unsmoothed,ap104,6.37647365465e-11,control
791,itemhit_lo,bilat,293.0,epi,hippocampus,unsmoothed,ap104,3.11206754811e-11,control
818,sourcemiss_hi,lh,150.0,epi,hippocampus,unsmoothed,ap104,-570.787353516,control
819,sourcemiss_hi,rh,143.0,epi,hippocampus,unsmoothed,ap104,-778.783752441,control
820,sourcemiss_hi,bilat,293.0,epi,hippocampus,unsmoothed,ap104,-672.301025391,control
847,M,lh,150.0,epi,hippocampus,unsmoothed,ap104,-911.804382324,control
848,M,rh,143.0,epi,hippocampus,unsmoothed,ap104,-931.345275879,control
849,M,bilat,293.0,epi,hippocampus,unsmoothed,ap104,-921.341430664,control
876,CR,lh,124.0,epi,hippocampus,unsmoothed,ap105,71.4712219238,control
877,CR,rh,126.0,epi,hippocampus,unsmoothed,ap105,265.874267578,control
878,CR,bilat,250.0,epi,hippocampus,unsmoothed,ap105,169.4503479,control
905,FA,lh,124.0,epi,hippocampus,unsmoothed,ap105,-440.943664551,control
906,FA,rh,126.0,epi,hippocampus,unsmoothed,ap105,-111.041679382,control
907,FA,bilat,250.0,epi,hippocampus,unsmoothed,ap105,-274.673065186,control
934,sourcehit,lh,124.0,epi,hippocampus,unsmoothed,ap105,453.891082764,control
935,sourcehit,rh,126.0,epi,hippocampus,unsmoothed,ap105,628.513122559,control
936,sourcehit,bilat,250.0,epi,hippocampus,unsmoothed,ap105,541.90057373,control
963,itemhit_lo,lh,124.0,epi,hippocampus,unsmoothed,ap105,-351.068725586,control
964,itemhit_lo,rh,126.0,epi,hippocampus,unsmoothed,ap105,-104.770896912,control
965,itemhit_lo,bilat,250.0,epi,hippocampus,unsmoothed,ap105,-226.934616089,control
992,sourcemiss_hi,lh,124.0,epi,hippocampus,unsmoothed,ap105,141.332611084,control
993,sourcemiss_hi,rh,126.0,epi,hippocampus,unsmoothed,ap105,421.612365723,control
994,sourcemiss_hi,bilat,250.0,epi,hippocampus,unsmoothed,ap105,282.593566895,control
1021,M,lh,124.0,epi,hippocampus,unsmoothed,ap105,-422.298919678,control
1022,M,rh,126.0,epi,hippocampus,unsmoothed,ap105,-109.377662659,control
1023,M,bilat,250.0,epi,hippocampus,unsmoothed,ap105,-264.586639404,control
1050,CR,lh,112.0,epi,hippocampus,unsmoothed,ap107,-629.267700195,control
1051,CR,rh,129.0,epi,hippocampus,unsmoothed,ap107,-679.888061523,control
1052,CR,bilat,241.0,epi,hippocampus,unsmoothed,ap107,-656.36328125,control
1079,FA,lh,112.0,epi,hippocampus,unsmoothed,ap107,-849.031066895,control
1080,FA,rh,129.0,epi,hippocampus,unsmoothed,ap107,-853.287597656,control
1081,FA,bilat,241.0,epi,hippocampus,unsmoothed,ap107,-851.309448242,control
