,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
883,CR,rh,1645.0,epi,frontoparietal,unsmoothed,ap105,332.612548828,control
911,FA,lh,1320.0,epi,frontoparietal,unsmoothed,ap105,812.164306641,control
912,FA,rh,1645.0,epi,frontoparietal,unsmoothed,ap105,409.771972656,control
940,sourcehit,lh,1320.0,epi,frontoparietal,unsmoothed,ap105,1340.8984375,control
941,sourcehit,rh,1645.0,epi,frontoparietal,unsmoothed,ap105,-12.1677055359,control
969,itemhit_lo,lh,1320.0,epi,frontoparietal,unsmoothed,ap105,907.030090332,control
970,itemhit_lo,rh,1645.0,epi,frontoparietal,unsmoothed,ap105,-153.054382324,control
998,sourcemiss_hi,lh,1320.0,epi,frontoparietal,unsmoothed,ap105,1362.76403809,control
999,sourcemiss_hi,rh,1645.0,epi,frontoparietal,unsmoothed,ap105,244.794433594,control
1027,M,lh,1320.0,epi,frontoparietal,unsmoothed,ap105,507.562774658,control
1028,M,rh,1645.0,epi,frontoparietal,unsmoothed,ap105,305.389678955,control
1056,CR,lh,1502.0,epi,frontoparietal,unsmoothed,ap107,-486.187591553,control
1057,CR,rh,1565.0,epi,frontoparietal,unsmoothed,ap107,-1013.9319458,control
1085,FA,lh,1502.0,epi,frontoparietal,unsmoothed,ap107,16.9557666779,control
1086,FA,rh,1565.0,epi,frontoparietal,unsmoothed,ap107,-931.297851562,control
1114,sourcehit,lh,1502.0,epi,frontoparietal,unsmoothed,ap107,599.416564941,control
1115,sourcehit,rh,1565.0,epi,frontoparietal,unsmoothed,ap107,-539.092773438,control
1143,itemhit_lo,lh,1502.0,epi,frontoparietal,unsmoothed,ap107,871.179931641,control
1144,itemhit_lo,rh,1565.0,epi,frontoparietal,unsmoothed,ap107,-98.7956161499,control
1172,sourcemiss_hi,lh,1502.0,epi,frontoparietal,unsmoothed,ap107,629.372192383,control
1173,sourcemiss_hi,rh,1565.0,epi,frontoparietal,unsmoothed,ap107,-880.74822998,control
1201,M,lh,1502.0,epi,frontoparietal,unsmoothed,ap107,-1610.63415527,control
1202,M,rh,1565.0,epi,frontoparietal,unsmoothed,ap107,-2335.88525391,control
1230,CR,lh,1392.0,epi,frontoparietal,unsmoothed,ap108,-58.1468505859,control
1231,CR,rh,1698.0,epi,frontoparietal,unsmoothed,ap108,-514.619506836,control
1259,FA,lh,1392.0,epi,frontoparietal,unsmoothed,ap108,594.181396484,control
1260,FA,rh,1698.0,epi,frontoparietal,unsmoothed,ap108,-434.855926514,control
1288,sourcehit,lh,1392.0,epi,frontoparietal,unsmoothed,ap108,873.010864258,control
1289,sourcehit,rh,1698.0,epi,frontoparietal,unsmoothed,ap108,19.8128681183,control
1317,itemhit_lo,lh,1392.0,epi,frontoparietal,unsmoothed,ap108,615.004577637,control
1318,itemhit_lo,rh,1698.0,epi,frontoparietal,unsmoothed,ap108,-80.3481292725,control
1346,sourcemiss_hi,lh,1392.0,epi,frontoparietal,unsmoothed,ap108,427.901489258,control
1347,sourcemiss_hi,rh,1698.0,epi,frontoparietal,unsmoothed,ap108,-339.933502197,control
1375,M,lh,1392.0,epi,frontoparietal,unsmoothed,ap108,336.380645752,control
1376,M,rh,1698.0,epi,frontoparietal,unsmoothed,ap108,-506.631744385,control
1404,CR,lh,1159.0,epi,frontoparietal,unsmoothed,ap109,354.127349854,control
1405,CR,rh,1400.0,epi,frontoparietal,unsmoothed,ap109,334.356079102,control
1433,FA,lh,1159.0,epi,frontoparietal,unsmoothed,ap109,384.703948975,control
1434,FA,rh,1400.0,epi,frontoparietal,unsmoothed,ap109,416.249206543,control
1462,sourcehit,lh,1159.0,epi,frontoparietal,unsmoothed,ap109,721.213867188,control
1463,sourcehit,rh,1400.0,epi,frontoparietal,unsmoothed,ap109,724.051208496,control
1491,itemhit_lo,lh,1159.0,epi,frontoparietal,unsmoothed,ap109,702.455078125,control
1492,itemhit_lo,rh,1400.0,epi,frontoparietal,unsmoothed,ap109,709.124572754,control
1520,sourcemiss_hi,lh,1159.0,epi,frontoparietal,unsmoothed,ap109,923.278564453,control
1521,sourcemiss_hi,rh,1400.0,epi,frontoparietal,unsmoothed,ap109,669.879211426,control
1549,M,lh,1159.0,epi,frontoparietal,unsmoothed,ap109,167.432418823,control
1550,M,rh,1400.0,epi,frontoparietal,unsmoothed,ap109,518.204345703,control
1578,CR,lh,1673.0,epi,frontoparietal,unsmoothed,ap110,-174.304580688,control
1579,CR,rh,1937.0,epi,frontoparietal,unsmoothed,ap110,32.2509689331,control
1607,FA,lh,1673.0,epi,frontoparietal,unsmoothed,ap110,13.4702253342,control
