,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
1680,itemhit_lo,lh,146.0,epi,DefaultA_IPL,unsmoothed,ap110,-1958.82446289,control
1709,sourcemiss_hi,lh,146.0,epi,DefaultA_IPL,unsmoothed,ap110,3178.97045898,control
1738,M,lh,146.0,epi,DefaultA_IPL,unsmoothed,ap110,-765.088317871,control
1767,CR,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap111,-2850.41821289,control
1796,FA,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap111,-2066.21386719,control
1825,sourcehit,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap111,-1093.6784668,control
1854,itemhit_lo,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap111,-2411.91113281,control
1883,sourcemiss_hi,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap111,330.330871582,control
1912,M,lh,104.0,epi,DefaultA_IPL,unsmoothed,ap111,-3280.20483398,control
1941,CR,lh,187.0,epi,DefaultA_IPL,unsmoothed,ap113,-2004.47192383,control
1970,FA,lh,187.0,epi,DefaultA_IPL,unsmoothed,ap113,-1485.21960449,control
1999,sourcehit,lh,187.0,epi,DefaultA_IPL,unsmoothed,ap113,-640.43560791,control
2028,itemhit_lo,lh,187.0,epi,DefaultA_IPL,unsmoothed,ap113,-1193.08618164,control
2057,sourcemiss_hi,lh,187.0,epi,DefaultA_IPL,unsmoothed,ap113,-850.094848633,control
2086,M,lh,187.0,epi,DefaultA_IPL,unsmoothed,ap113,-1651.80065918,control
2115,CR,lh,168.0,epi,DefaultA_IPL,unsmoothed,ap114,-416.248413086,control
2144,FA,lh,168.0,epi,DefaultA_IPL,unsmoothed,ap114,-370.540405273,control
2173,sourcehit,lh,168.0,epi,DefaultA_IPL,unsmoothed,ap114,35.6176872253,control
2202,itemhit_lo,lh,168.0,epi,DefaultA_IPL,unsmoothed,ap114,-518.46270752,control
2231,sourcemiss_hi,lh,168.0,epi,DefaultA_IPL,unsmoothed,ap114,-269.141693115,control
2260,M,lh,168.0,epi,DefaultA_IPL,unsmoothed,ap114,-399.019775391,control
2289,CR,lh,125.0,epi,DefaultA_IPL,unsmoothed,ap115,-2504.00537109,control
2318,FA,lh,125.0,epi,DefaultA_IPL,unsmoothed,ap115,-1587.60632324,control
2347,sourcehit,lh,125.0,epi,DefaultA_IPL,unsmoothed,ap115,619.676574707,control
2376,itemhit_lo,lh,125.0,epi,DefaultA_IPL,unsmoothed,ap115,-1586.90185547,control
2405,sourcemiss_hi,lh,125.0,epi,DefaultA_IPL,unsmoothed,ap115,-284.481903076,control
2434,M,lh,125.0,epi,DefaultA_IPL,unsmoothed,ap115,-3736.68676758,control
2463,CR,lh,173.0,epi,DefaultA_IPL,unsmoothed,ap116,-3081.76147461,control
2492,FA,lh,173.0,epi,DefaultA_IPL,unsmoothed,ap116,-3475.26733398,control
2521,sourcehit,lh,173.0,epi,DefaultA_IPL,unsmoothed,ap116,-1980.78381348,control
2550,itemhit_lo,lh,173.0,epi,DefaultA_IPL,unsmoothed,ap116,-2619.97021484,control
