index,run,trial,onset,duration,cond,subcond,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
1,1,1,12.0028,1.4989,object,manmade,NR,0,999.0000,manmade,1,0.8184
2,1,2,13.5020,1.4983,object,natural,NR,0,999.0000,NR,0,999.0000
3,1,3,15.0005,1.4999,object,natural,NR,0,999.0000,natural,1,0.0081
4,1,4,16.5007,1.6980,object,manmade,NR,0,999.0000,NR,0,999.0000
5,1,5,18.1989,1.3012,object,manmade,NR,0,999.0000,NR,0,999.0000
6,1,6,19.5003,1.5003,object,natural,NR,0,999.0000,natural,1,0.0097
7,1,7,21.0008,8.0496,object,manmade,NR,0,999.0000,NR,0,999.0000
8,1,8,29.0507,0.0329,object,natural,NR,0,999.0000,NR,0,999.0000
9,1,9,29.0838,0.0332,object,manmade,NR,0,999.0000,NR,0,999.0000
10,1,10,29.1172,0.0334,object,natural,NR,0,999.0000,NR,0,999.0000
11,1,11,29.1633,8.3379,rest,rest,rest,1,999.0000,NR,1,0.0000
12,1,12,37.5016,1.4994,place,outdoor,NR,0,999.0000,NR,0,999.0000
13,1,13,39.0012,1.4990,place,outdoor,NR,0,999.0000,outdoor,1,0.0976
14,1,14,40.5004,1.5006,place,indoor,NR,0,999.0000,indoor,1,0.1471
15,1,15,42.0013,1.4990,place,indoor,NR,0,999.0000,outdoor,0,0.0273
16,1,16,43.5005,1.5006,place,indoor,NR,0,999.0000,NR,0,999.0000
17,1,17,45.0013,1.4989,place,outdoor,NR,0,999.0000,NR,0,999.0000
18,1,18,46.5004,1.4999,place,outdoor,NR,0,999.0000,NR,0,999.0000
19,1,19,48.0006,1.5001,place,indoor,outdoor,0,0.3979,NR,0,999.0000
20,1,20,49.5009,1.4999,place,outdoor,NR,0,999.0000,outdoor,1,0.0593
21,1,21,51.0011,1.4995,place,indoor,NR,0,999.0000,indoor,1,0.0442
22,1,22,52.5133,10.4874,rest,rest,rest,1,999.0000,NR,1,0.0000
23,1,23,63.0009,1.5004,face,male,NR,0,999.0000,male,1,0.5192
24,1,24,64.5016,1.5006,face,female,NR,0,999.0000,NR,0,999.0000
25,1,25,66.0024,1.4985,face,male,NR,0,999.0000,male,1,0.0129
26,1,26,67.5012,1.4999,face,female,NR,0,999.0000,female,1,0.1436
27,1,27,69.0013,1.4991,face,female,NR,0,999.0000,female,1,0.0406
28,1,28,70.5006,1.5003,face,male,male,1,0.4879,NR,0,999.0000
29,1,29,72.0012,1.4999,face,male,male,1,0.4601,NR,0,999.0000
30,1,30,73.5013,1.4988,face,female,female,1,0.4826,NR,0,999.0000
31,1,31,75.0004,1.5009,face,female,NR,0,999.0000,female,1,0.0032
32,1,32,76.5015,1.4993,face,male,male,1,0.4525,NR,0,999.0000
33,1,33,78.0139,10.4864,rest,rest,rest,1,999.0000,NR,1,0.0000
34,1,34,88.5005,1.5006,face,male,NR,0,999.0000,male,1,0.2162
35,1,35,90.0014,1.4996,face,female,female,1,0.4658,NR,0,999.0000
36,1,36,91.5013,1.4989,face,male,male,1,0.4344,NR,0,999.0000
37,1,37,93.0004,1.5006,face,female,NR,0,999.0000,female,1,0.1229
38,1,38,94.5012,1.4990,face,female,NR,0,999.0000,female,1,0.1640
39,1,39,96.0005,1.5005,face,male,male,1,0.3952,NR,0,999.0000
40,1,40,97.5012,1.4995,face,male,NR,0,999.0000,male,1,0.0267
41,1,41,99.0010,1.4998,face,female,NR,0,999.0000,female,1,0.1167
42,1,42,100.5011,1.4992,face,male,NR,0,999.0000,NR,0,999.0000
43,1,43,102.0005,1.5004,face,female,NR,0,999.0000,female,1,0.0610
44,1,44,103.5145,10.4859,rest,rest,rest,1,999.0000,NR,1,0.0000
45,1,45,114.0006,1.5003,place,outdoor,NR,0,999.0000,outdoor,1,0.3309
