index	block	cond	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType	repCount
53	2	WI	WI	Indoor	WI_18	W166	wwFAN	Indoor22	bazaar	indoor_bazaar.jpg	indoor	indoor	4	1
54	2	WO	WO	Outdoor	WO_19	W220	wwWHIP	Outdoor4	arch	outdoor_arch.jpg	outdoor	manmade	2	1
55	2	WO	WO	Outdoor	WO_21	W151	wwHONEY	Outdoor63	herb_garden	outdoor_herb_garden.jpg	outdoor	natural	2	1
56	2	WI	WI	Indoor	WI_24	W232	wwMAGICIAN	Indoor73	kennel	indoor_kennel.jpg	indoor	indoor	4	1
57	2	WI	WI	Indoor	WI_22	W119	wwLIME	Indoor60	florist_shop	indoor_florist_shop.jpg	indoor	indoor	4	1
58	2	WO	WO	Outdoor	WO_27	W216	wwJUGGLER	Outdoor62	heliport	outdoor_heliport.jpg	outdoor	manmade	2	1
59	2	WO	WO	Outdoor	WO_18	W215	wwBLANKET	Outdoor112	promenade_deck	outdoor_promenade_deck.jpg	outdoor	manmade	4	2
60	2	WI	WI	Indoor	WI_26	W173	wwPENCIL	Indoor61	galley	indoor_galley.jpg	indoor	indoor	4	2
61	2	WO	WO	Outdoor	WO_17	W81	wwCHERRY	Outdoor70	ice_floe	outdoor_ice_floe.jpg	outdoor	natural	2	1
62	2	WI	WI	Indoor	WI_25	W9	wwMAP	Indoor39	cathedral	indoor_cathedral.jpg	indoor	indoor	2	1
63	2	WO	WO	Outdoor	WO_25	W125	wwSCISSORS	Outdoor99	observatory	outdoor_observatory.jpg	outdoor	manmade	2	1
64	2	WI	WI	Indoor	WI_27	W226	wwLION	Indoor49	courtroom	indoor_courtroom.jpg	indoor	indoor	2	1
65	2	WI	WI	Indoor	WI_17	W167	wwSOAP	Indoor97	playroom	indoor_playroom.jpg	indoor	indoor	2	1
66	2	WO	WO	Outdoor	WO_23	W205	wwBOWL	Outdoor82	lock_chamber	outdoor_lock_chamber.jpg	outdoor	manmade	2	1
67	2	WO	WO	Outdoor	WO_26	W183	wwSCOTCH	Outdoor52	formal_garden	outdoor_formal_garden.jpg	outdoor	natural	4	2
68	2	WI	WI	Indoor	WI_28	W137	wwKEG	Indoor117	throne_room	indoor_throne_room.jpg	indoor	indoor	4	1
69	2	WI	WI	Indoor	WI_24	W232	wwMAGICIAN	Indoor73	kennel	indoor_kennel.jpg	indoor	indoor	4	2
70	2	WO	WO	Outdoor	WO_24	W90	wwCARROT	Outdoor24	campsite	outdoor_campsite.jpg	outdoor	manmade	4	1
71	2	WO	WO	Outdoor	WO_22	W222	wwRING	Outdoor8	bamboo_forest	outdoor_bamboo_forest.jpg	outdoor	natural	4	2
72	2	WI	WI	Indoor	WI_20	W149	wwOWL	Indoor24	bedroom	indoor_bedroom.jpg	indoor	indoor	4	2
73	2	WO	WO	Outdoor	WO_24	W90	wwCARROT	Outdoor24	campsite	outdoor_campsite.jpg	outdoor	manmade	4	2
74	2	WI	WI	Indoor	WI_16	W246	wwMOTH	Indoor110	subway_interior	indoor_subway_interior.jpg	indoor	indoor	4	1
75	2	WI	WI	Indoor	WI_21	W11	wwPOWDER	Indoor8	assembly_line	indoor_assembly_line.jpg	indoor	indoor	2	1
76	2	WI	WI	Indoor	WI_28	W137	wwKEG	Indoor117	throne_room	indoor_throne_room.jpg	indoor	indoor	4	2
77	2	WO	WO	Outdoor	WO_20	W242	wwPOSTER	Outdoor29	cemetery	outdoor_cemetery.jpg	outdoor	manmade	4	2
78	2	WO	WO	Outdoor	WO_16	W189	wwSCORPION	Outdoor85	marsh	outdoor_marsh.jpg	outdoor	natural	4	2
79	2	WI	WI	Indoor	WI_18	W166	wwFAN	Indoor22	bazaar	indoor_bazaar.jpg	indoor	indoor	4	2
80	2	WI	WI	Indoor	WI_22	W119	wwLIME	Indoor60	florist_shop	indoor_florist_shop.jpg	indoor	indoor	4	2
81	2	WO	WO	Outdoor	WO_28	W40	wwNAPKIN	Outdoor56	gazebo	outdoor_gazebo.jpg	outdoor	manmade	4	1
82	2	WI	WI	Indoor	WI_16	W246	wwMOTH	Indoor110	subway_interior	indoor_subway_interior.jpg	indoor	indoor	4	2
83	2	WO	WO	Outdoor	WO_28	W40	wwNAPKIN	Outdoor56	gazebo	outdoor_gazebo.jpg	outdoor	manmade	4	2
84	2	WI	WI	Indoor	WI_19	W131	wwEYE	Indoor50	cubicle	indoor_cubicle.jpg	indoor	indoor	2	1
85	3	WO	WO	Outdoor	WO_39	W62	wwSHOVEL	Outdoor92	nuclear_power_plant	outdoor_nuclear_power_plant.jpg	outdoor	manmade	2	1
86	3	WI	WI	Indoor	WI_39	W203	wwCANE	Indoor18	banquet_hall	indoor_banquet_hall.jpg	indoor	indoor	2	1
87	3	WI	WI	Indoor	WI_30	W239	wwSPONGE	Indoor91	office	indoor_office.jpg	indoor	indoor	4	1
88	3	WI	WI	Indoor	WI_33	W228	wwSCREWDRIVER	Indoor64	gymnasium	indoor_gymnasium.jpg	indoor	indoor	2	1
89	3	WO	WO	Outdoor	WO_40	W71	wwDUST	Outdoor37	crevasse	outdoor_crevasse.jpg	outdoor	natural	4	1
90	3	WI	WI	Indoor	WI_38	W83	wwBRAIN	Indoor96	parlor	indoor_parlor.jpg	indoor	indoor	4	1
91	3	WO	WO	Outdoor	WO_35	W200	wwTULIP	Outdoor108	playground	outdoor_playground.jpg	outdoor	natural	2	1
92	3	WI	WI	Indoor	WI_38	W83	wwBRAIN	Indoor96	parlor	indoor_parlor.jpg	indoor	indoor	4	2
93	3	WI	WI	Indoor	WI_34	W100	wwCANARY	Indoor37	casino	indoor_casino.jpg	indoor	indoor	4	1
94	3	WO	WO	Outdoor	WO_34	W67	wwFIDDLE	Outdoor87	moat	outdoor_moat.jpg	outdoor	manmade	4	1
95	3	WI	WI	Indoor	WI_36	W204	wwSAIL	Indoor99	reception	indoor_reception.jpg	indoor	indoor	4	1
96	3	WO	WO	Outdoor	WO_30	W126	wwHARPOON	Outdoor51	forest_path	outdoor_forest_path.jpg	outdoor	natural	4	1
97	3	WO	WO	Outdoor	WO_31	W211	wwTROPHY	Outdoor71	ice_shelf	outdoor_ice_shelf.jpg	outdoor	natural	2	1
98	3	WI	WI	Indoor	WI_35	W208	wwSEAWEED	Indoor53	dining_room	indoor_dining_room.jpg	indoor	indoor	2	1
99	3	WO	WO	Outdoor	WO_32	W22	wwDOUGHNUT	Outdoor47	fire_escape	outdoor_fire_escape.jpg	outdoor	manmade	4	1
100	3	WI	WI	Indoor	WI_36	W204	wwSAIL	Indoor99	reception	indoor_reception.jpg	indoor	indoor	4	2
101	3	WO	WO	Outdoor	WO_41	W2	wwSLIPPER	Outdoor80	lift_bridge	outdoor_lift_bridge.jpg	outdoor	manmade	2	1
102	3	WO	WO	Outdoor	WO_30	W126	wwHARPOON	Outdoor51	forest_path	outdoor_forest_path.jpg	outdoor	natural	4	2
103	3	WO	WO	Outdoor	WO_34	W67	wwFIDDLE	Outdoor87	moat	outdoor_moat.jpg	outdoor	manmade	4	2
104	3	WI	WI	Indoor	WI_31	W225	wwCUCUMBER	Indoor47	computer_room	indoor_computer_room.jpg	indoor	indoor	2	1
105	3	WI	WI	Indoor	WI_40	W237	wwTHONG	Indoor107	squash_court	indoor_squash_court.jpg	indoor	indoor	4	1
106	3	WI	WI	Indoor	WI_42	W235	wwBRACELET	Indoor80	limousine_interior	indoor_limousine_interior.jpg	indoor	indoor	4	1
107	3	WO	WO	Outdoor	WO_36	W193	wwCLAM	Outdoor23	cabin	outdoor_cabin.jpg	outdoor	manmade	4	1
108	3	WI	WI	Indoor	WI_32	W195	wwRIFLE	Indoor111	supermarket	indoor_supermarket.jpg	indoor	indoor	4	1
109	3	WO	WO	Outdoor	WO_36	W193	wwCLAM	Outdoor23	cabin	outdoor_cabin.jpg	outdoor	manmade	4	2
110	3	WI	WI	Indoor	WI_29	W133	wwPUDDLE	Indoor66	hospital_room	indoor_hospital_room.jpg	indoor	indoor	2	1
111	3	WO	WO	Outdoor	WO_42	W112	wwMUSSEL	Outdoor3	aqueduct	outdoor_aqueduct.jpg	outdoor	natural	4	1
