index	block	cond	shockCond	shockTrial	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType
1	1	TI_2	threat	0	TI_2	Indoor	WI_3	W92	wwBONE	Indoor44	closet	indoor_closet.jpg	indoor	indoor	2
2	1	TI_4	threat	0	TI_4	Indoor	WI_14	W134	wwICICLE	Indoor103	sauna	indoor_sauna.jpg	indoor	indoor	4
3	1	TI_2	threat	0	TI_2	Indoor	WI_5	W199	wwBANDAGE	Indoor13	badminton_court	indoor_badminton_court.jpg	indoor	indoor	2
4	1	TO_4	threat	0	TO_4	Outdoor	WO_6	W62	wwSHOVEL	Outdoor16	boardwalk	outdoor_boardwalk.jpg	outdoor	natural	4
5	1	F	threat	0	F	FOIL	F_4	W81	wwCHERRY	FOIL	FOIL	FOIL	FOIL	FOIL	0
6	1	TO_2	threat	0	TO_2	Outdoor	WO_11	W88	wwGOAT	Outdoor114	raceway	outdoor_raceway.jpg	outdoor	manmade	2
7	1	TI_2	threat	1	TI_2	Indoor	WI_13	W229	wwLANTERN	Indoor66	hospital_room	indoor_hospital_room.jpg	indoor	indoor	2
8	1	F	threat	0	F	FOIL	F_12	W185	wwBABY	FOIL	FOIL	FOIL	FOIL	FOIL	0
9	1	TO_2	threat	0	TO_2	Outdoor	WO_5	W69	wwWALRUS	Outdoor95	oilrig	outdoor_oilrig.jpg	outdoor	manmade	2
10	1	TI_4	threat	0	TI_4	Indoor	WI_6	W190	wwKALE	Indoor110	subway_interior	indoor_subway_interior.jpg	indoor	indoor	4
11	1	TO_4	threat	0	TO_4	Outdoor	WO_10	W14	wwACROBAT	Outdoor120	ruin	outdoor_ruin.jpg	outdoor	natural	4
12	1	TI_4	threat	0	TI_4	Indoor	WI_2	W138	wwVODKA	Indoor60	florist_shop	indoor_florist_shop.jpg	indoor	indoor	4
13	1	TO_4	threat	0	TO_4	Outdoor	WO_14	W191	wwANCHOR	Outdoor87	moat	outdoor_moat.jpg	outdoor	manmade	4
14	1	TI_2	threat	0	TI_2	Indoor	WI_7	W77	wwCAMEL	Indoor105	shopping_mall	indoor_shopping_mall.jpg	indoor	indoor	2
15	1	F	threat	0	F	FOIL	F_14	W142	wwSUBMARINE	FOIL	FOIL	FOIL	FOIL	FOIL	0
16	1	F	threat	0	F	FOIL	F_13	W125	wwSCISSORS	FOIL	FOIL	FOIL	FOIL	FOIL	0
17	1	F	threat	0	F	FOIL	F_10	W150	wwMONKEY	FOIL	FOIL	FOIL	FOIL	FOIL	0
18	1	TO_4	threat	0	TO_4	Outdoor	WO_4	W94	wwORANGE	Outdoor19	botanical_garden	outdoor_botanical_garden.jpg	outdoor	natural	4
19	1	TO_2	threat	0	TO_2	Outdoor	WO_3	W234	wwLAMB	Outdoor58	greenhouse	outdoor_greenhouse.jpg	outdoor	manmade	2
20	1	TO_2	threat	0	TO_2	Outdoor	WO_7	W119	wwLIME	Outdoor64	highway	outdoor_highway.jpg	outdoor	natural	2
21	1	F	threat	0	F	FOIL	F_11	W7	wwRABBIT	FOIL	FOIL	FOIL	FOIL	FOIL	0
22	1	TO_4	threat	0	TO_4	Outdoor	WO_12	W214	wwWALLET	Outdoor31	cliff	outdoor_cliff.jpg	outdoor	natural	4
23	1	TI_4	threat	0	TI_4	Indoor	WI_4	W75	wwDOVE	Indoor101	restaurant_kitchen	indoor_restaurant_kitchen.jpg	indoor	indoor	4
24	1	F	threat	0	F	FOIL	F_5	W101	wwRUDDER	FOIL	FOIL	FOIL	FOIL	FOIL	0
25	1	TO_2	threat	0	TO_2	Outdoor	WO_13	W104	wwBANANA	Outdoor73	igloo	outdoor_igloo.jpg	outdoor	natural	2
26	1	F	threat	0	F	FOIL	F_3	W178	wwZIPPER	FOIL	FOIL	FOIL	FOIL	FOIL	0
27	1	F	threat	0	F	FOIL	F_2	W60	wwSUNBURN	FOIL	FOIL	FOIL	FOIL	FOIL	0
28	1	TO_4	threat	0	TO_4	Outdoor	WO_8	W151	wwHONEY	Outdoor89	motel	outdoor_motel.jpg	outdoor	manmade	4
29	1	TI_2	threat	0	TI_2	Indoor	WI_1	W206	wwTRIBE	Indoor77	laundromat	indoor_laundromat.jpg	indoor	indoor	2
30	1	F	threat	0	F	FOIL	F_6	W32	wwSTORK	FOIL	FOIL	FOIL	FOIL	FOIL	0
31	1	F	threat	0	F	FOIL	F_9	W175	wwBATON	FOIL	FOIL	FOIL	FOIL	FOIL	0
32	1	TI_4	threat	0	TI_4	Indoor	WI_10	W177	wwCHOCOLATE	Indoor2	amusement_arcade	indoor_amusement_arcade.jpg	indoor	indoor	4
33	1	TO_2	threat	0	TO_2	Outdoor	WO_1	W47	wwKNIFE	Outdoor97	outhouse	outdoor_outhouse.jpg	outdoor	natural	2
34	1	TI_2	threat	0	TI_2	Indoor	WI_9	W203	wwCANE	Indoor25	biology_laboratory	indoor_biology_laboratory.jpg	indoor	indoor	2
35	1	TO_4	threat	0	TO_4	Outdoor	WO_2	W99	wwTIGER	Outdoor46	field_wild	outdoor_field_wild.jpg	outdoor	manmade	4
36	1	TI_4	threat	0	TI_4	Indoor	WI_12	W219	wwOATMEAL	Indoor6	art_gallery	indoor_art_gallery.jpg	indoor	indoor	4
37	1	TI_4	threat	0	TI_4	Indoor	WI_8	W49	wwRASH	Indoor34	cafeteria	indoor_cafeteria.jpg	indoor	indoor	4
38	1	F	threat	0	F	FOIL	F_1	W216	wwJUGGLER	FOIL	FOIL	FOIL	FOIL	FOIL	0
39	1	F	threat	0	F	FOIL	F_7	W246	wwMOTH	FOIL	FOIL	FOIL	FOIL	FOIL	0
40	1	TI_2	threat	0	TI_2	Indoor	WI_11	W176	wwHIGHWAY	Indoor76	kitchenette	indoor_kitchenette.jpg	indoor	indoor	2
41	1	TO_2	threat	0	TO_2	Outdoor	WO_9	W146	wwMEDAL	Outdoor55	gas_station	outdoor_gas_station.jpg	outdoor	manmade	2
42	1	F	threat	0	F	FOIL	F_8	W210	wwAPPLE	FOIL	FOIL	FOIL	FOIL	FOIL	0
43	2	TO_4	safe	0	TO_4	Outdoor	WO_24	W19	wwROPE	Outdoor61	hayfield	outdoor_hayfield.jpg	outdoor	natural	4
44	2	TI_4	safe	0	TI_4	Indoor	WI_16	W242	wwPOSTER	Indoor119	train_station	indoor_train_station.jpg	indoor	indoor	4
45	2	TI_4	safe	0	TI_4	Indoor	WI_28	W56	wwBROWNIE	Indoor104	shoe_shop	indoor_shoe_shop.jpg	indoor	indoor	4
46	2	TO_2	safe	0	TO_2	Outdoor	WO_17	W152	wwPUMPKIN	Outdoor44	excavation	outdoor_excavation.jpg	outdoor	manmade	2
47	2	TO_4	safe	0	TO_4	Outdoor	WO_26	W8	wwKILT	Outdoor1	amphitheater	outdoor_amphitheater.jpg	outdoor	manmade	4
48	2	F	safe	0	F	FOIL	F_19	W158	wwVINE	FOIL	FOIL	FOIL	FOIL	FOIL	0
49	2	TO_2	safe	0	TO_2	Outdoor	WO_15	W13	wwSTOMACH	Outdoor52	formal_garden	outdoor_formal_garden.jpg	outdoor	natural	2
50	2	TI_2	safe	0	TI_2	Indoor	WI_17	W180	wwCANDY	Indoor39	cathedral	indoor_cathedral.jpg	indoor	indoor	2
51	2	F	safe	0	F	FOIL	F_20	W154	wwMOUSE	FOIL	FOIL	FOIL	FOIL	FOIL	0
52	2	F	safe	0	F	FOIL	F_21	W213	wwDRUM	FOIL	FOIL	FOIL	FOIL	FOIL	0
53	2	TO_4	safe	0	TO_4	Outdoor	WO_18	W179	wwHOOK	Outdoor27	carrousel	outdoor_carrousel.jpg	outdoor	manmade	4
54	2	F	safe	0	F	FOIL	F_17	W33	wwENVELOPE	FOIL	FOIL	FOIL	FOIL	FOIL	0
55	2	TI_4	safe	0	TI_4	Indoor	WI_20	W197	wwGLOBE	Indoor28	bowling_alley	indoor_bowling_alley.jpg	indoor	indoor	4
56	2	TO_2	safe	0	TO_2	Outdoor	WO_21	W116	wwOLIVE	Outdoor18	boathouse	outdoor_boathouse.jpg	outdoor	natural	2
57	2	F	safe	0	F	FOIL	F_25	W123	wwTWEEZERS	FOIL	FOIL	FOIL	FOIL	FOIL	0
58	2	TI_2	safe	0	TI_2	Indoor	WI_25	W80	wwDETECTIVE	Indoor107	squash_court	indoor_squash_court.jpg	indoor	indoor	2
59	2	F	safe	0	F	FOIL	F_18	W36	wwDAISY	FOIL	FOIL	FOIL	FOIL	FOIL	0
60	2	TO_2	safe	0	TO_2	Outdoor	WO_25	W122	wwPEDAL	Outdoor113	putting_green	outdoor_putting_green.jpg	outdoor	natural	2
61	2	TI_2	safe	0	TI_2	Indoor	WI_15	W95	wwQUAIL	Indoor100	restaurant	indoor_restaurant.jpg	indoor	indoor	2
62	2	TI_4	safe	0	TI_4	Indoor	WI_18	W208	wwSEAWEED	Indoor29	boxing_ring	indoor_boxing_ring.jpg	indoor	indoor	4
63	2	TI_2	safe	0	TI_2	Indoor	WI_27	W159	wwSQUIRREL	Indoor62	game_room	indoor_game_room.jpg	indoor	indoor	2
64	2	TO_4	safe	0	TO_4	Outdoor	WO_20	W145	wwBIBLE	Outdoor35	cottage_garden	outdoor_cottage_garden.jpg	outdoor	natural	4
65	2	F	safe	0	F	FOIL	F_28	W55	wwBASKET	FOIL	FOIL	FOIL	FOIL	FOIL	0
66	2	F	safe	0	F	FOIL	F_22	W114	wwBUTTER	FOIL	FOIL	FOIL	FOIL	FOIL	0
67	2	TI_4	safe	0	TI_4	Indoor	WI_24	W237	wwTHONG	Indoor72	jewelry_shop	indoor_jewelry_shop.jpg	indoor	indoor	4
