index	block	cond	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType	repCount
1	1	WI	WI	Indoor	WI_6	W178	wwZIPPER	Indoor42	classroom	indoor_classroom.jpg	indoor	indoor	4	1
2	1	WO	WO	Outdoor	WO_5	W75	wwDOVE	Outdoor6	badlands	outdoor_badlands.jpg	outdoor	natural	2	1
3	1	WI	WI	Indoor	WI_14	W91	wwFROG	Indoor76	kitchenette	indoor_kitchenette.jpg	indoor	indoor	4	1
4	1	WO	WO	Outdoor	WO_9	W86	wwSYRUP	Outdoor39	dam	outdoor_dam.jpg	outdoor	natural	2	1
5	1	WI	WI	Indoor	WI_6	W178	wwZIPPER	Indoor42	classroom	indoor_classroom.jpg	indoor	indoor	4	2
6	1	WO	WO	Outdoor	WO_14	W198	wwANT	Outdoor15	watering_hole	outdoor_watering_hole.jpg	outdoor	natural	4	1
7	1	WO	WO	Outdoor	WO_1	W251	wwBENCH	Outdoor40	desert	outdoor_desert.jpg	outdoor	natural	2	1
8	1	WO	WO	Outdoor	WO_10	W229	wwLANTERN	Outdoor37	crevasse	outdoor_crevasse.jpg	outdoor	natural	4	1
9	1	WI	WI	Indoor	WI_12	W118	wwWHEAT	Indoor102	riding_arena	indoor_riding_arena.jpg	indoor	indoor	4	1
10	1	WO	WO	Outdoor	WO_11	W121	wwCANNON	Outdoor48	fire_station	outdoor_fire_station.jpg	outdoor	manmade	2	1
11	1	WI	WI	Indoor	WI_2	W206	wwTRIBE	Indoor98	pulpit	indoor_pulpit.jpg	indoor	indoor	4	1
12	1	WO	WO	Outdoor	WO_3	W212	wwDAMSEL	Outdoor106	phone_booth	outdoor_phone_booth.jpg	outdoor	manmade	2	1
13	1	WI	WI	Indoor	WI_9	W186	wwTURTLE	Indoor20	basement	indoor_basement.jpg	indoor	indoor	2	1
14	1	WI	WI	Indoor	WI_10	W235	wwBRACELET	Indoor39	cathedral	indoor_cathedral.jpg	indoor	indoor	4	1
15	1	WO	WO	Outdoor	WO_13	W34	wwFLASK	Outdoor79	lido_deck	outdoor_lido_deck.jpg	outdoor	manmade	2	1
16	1	WO	WO	Outdoor	WO_12	W221	wwCOFFEE	Outdoor33	corn_field	outdoor_corn_field.jpg	outdoor	natural	4	1
17	1	WI	WI	Indoor	WI_8	W102	wwCLARINET	Indoor114	television_studio	indoor_television_studio.jpg	indoor	indoor	4	1
18	1	WO	WO	Outdoor	WO_4	W210	wwAPPLE	Outdoor91	mountain_snowy	outdoor_mountain_snowy.jpg	outdoor	natural	4	1
19	1	WI	WI	Indoor	WI_10	W235	wwBRACELET	Indoor39	cathedral	indoor_cathedral.jpg	indoor	indoor	4	2
20	1	WO	WO	Outdoor	WO_7	W252	wwNIGHTGOWN	Outdoor119	rope_bridge	outdoor_rope_bridge.jpg	outdoor	natural	2	1
21	1	WI	WI	Indoor	WI_5	W93	wwALLIGATOR	Indoor27	bookstore	indoor_bookstore.jpg	indoor	indoor	2	1
22	1	WI	WI	Indoor	WI_3	W119	wwLIME	Indoor67	hotel_room	indoor_hotel_room.jpg	indoor	indoor	2	1
23	1	WO	WO	Outdoor	WO_2	W227	wwROCK	Outdoor11	basilica	outdoor_basilica.jpg	outdoor	manmade	4	1
24	1	WI	WI	Indoor	WI_7	W123	wwTWEEZERS	Indoor36	car_interior	indoor_car_interior.jpg	indoor	indoor	2	1
25	1	WI	WI	Indoor	WI_4	W209	wwORNAMENT	Indoor26	bistro	indoor_bistro.jpg	indoor	indoor	4	1
26	1	WI	WI	Indoor	WI_1	W184	wwQUARTER	Indoor2	amusement_arcade	indoor_amusement_arcade.jpg	indoor	indoor	2	1
27	1	WO	WO	Outdoor	WO_2	W227	wwROCK	Outdoor11	basilica	outdoor_basilica.jpg	outdoor	manmade	4	2
28	1	WI	WI	Indoor	WI_4	W209	wwORNAMENT	Indoor26	bistro	indoor_bistro.jpg	indoor	indoor	4	2
29	1	WI	WI	Indoor	WI_14	W91	wwFROG	Indoor76	kitchenette	indoor_kitchenette.jpg	indoor	indoor	4	2
30	1	WO	WO	Outdoor	WO_6	W29	wwSTOOL	Outdoor28	castle	outdoor_castle.jpg	outdoor	manmade	4	1
31	1	WO	WO	Outdoor	WO_8	W142	wwSUBMARINE	Outdoor42	driving_range	outdoor_driving_range.jpg	outdoor	manmade	4	1
32	1	WI	WI	Indoor	WI_11	W214	wwWALLET	Indoor119	train_station	indoor_train_station.jpg	indoor	indoor	2	1
33	1	WI	WI	Indoor	WI_12	W118	wwWHEAT	Indoor102	riding_arena	indoor_riding_arena.jpg	indoor	indoor	4	2
34	1	WO	WO	Outdoor	WO_12	W221	wwCOFFEE	Outdoor33	corn_field	outdoor_corn_field.jpg	outdoor	natural	4	2
35	1	WO	WO	Outdoor	WO_10	W229	wwLANTERN	Outdoor37	crevasse	outdoor_crevasse.jpg	outdoor	natural	4	2
36	1	WI	WI	Indoor	WI_8	W102	wwCLARINET	Indoor114	television_studio	indoor_television_studio.jpg	indoor	indoor	4	2
37	1	WO	WO	Outdoor	WO_6	W29	wwSTOOL	Outdoor28	castle	outdoor_castle.jpg	outdoor	manmade	4	2
38	1	WI	WI	Indoor	WI_2	W206	wwTRIBE	Indoor98	pulpit	indoor_pulpit.jpg	indoor	indoor	4	2
39	1	WO	WO	Outdoor	WO_14	W198	wwANT	Outdoor15	watering_hole	outdoor_watering_hole.jpg	outdoor	natural	4	2
40	1	WO	WO	Outdoor	WO_4	W210	wwAPPLE	Outdoor91	mountain_snowy	outdoor_mountain_snowy.jpg	outdoor	natural	4	2
